Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triceraspyris antarctica,Stylatractus universus,Prunopyle titan,Lychnocanium grande,Lampromitra coronata,Helotholus vema,Eucyrtidium calvertense,Desmospyris spongiosa,Cycladophora pliocenica,Cycladophora davisiana,Antarctissa cylindrica,Amphymenium challengerae,Acrosphaera labrata,Saturnalis circularis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 10,R,CC,  12.00,     83.3600,Weinheimer,Radiolarians                                 ,T              ,P                 ,                        ,                      ,               ,                   ,                    ,               ,                       ,                     ,                       ,                      ,T                     ,                        ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 12,R,CC,  10.00,    103.8500,Weinheimer,Radiolarians                                 ,T              ,P                 ,                        ,                      ,T              ,                   ,                    ,               ,                       ,                     ,                       ,                      ,                      ,                        ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 14,R,CC,  12.00,    117.2300,Weinheimer,Radiolarians                                 ,R              ,P                 ,                        ,                      ,               ,                   ,                    ,               ,                       ,T                    ,                       ,                      ,                      ,                        ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 15,R,CC,   9.00,    122.8200,Weinheimer,Radiolarians                                 ,R              ,P                 ,-                       ,-                     ,-              ,                   ,-                   ,-              ,-                      ,-                    ,-                      ,-                     ,-                     ,                        ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 16,R,CC,  10.00,    126.4100,Weinheimer,Radiolarians                                 ,R              ,P                 ,-                       ,-                     ,-              ,                   ,-                   ,-              ,-                      ,R                    ,-                      ,-                     ,-                     ,                        ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 18,R,CC,  10.00,    141.2100,Weinheimer,Radiolarians                                 ,T              ,P                 ,-                       ,-                     ,-              ,                   ,-                   ,-              ,-                      ,-                    ,-                      ,-                     ,-                     ,                        ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1097,A, 19,R,CC,   6.00,    151.0800,Weinheimer,Radiolarians                                 ,F              ,P                 ,-                       ,-                     ,T              ,R                  ,T                   ,-              ,-                      ,T                    ,-                      ,-                     ,-                     ,                        ,                   ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
