leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
77,535,,UPPER PLEISTOCENE,,0.0,147.7,,NO AGE GIVEN,,NO AGE GIVEN, 0.01,  0.7,0.355,DSDP INITIAL REPORTS
77,535,,UPPER ALBIAN,,147.7,154.5,,NO AGE GIVEN,,NO AGE GIVEN,  100,  104,  102,DSDP INITIAL REPORTS
77,535,,ALBIAN,,154.5,316.0,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,  100,  108,  104,DSDP INITIAL REPORTS
77,535,,LOWER ALBIAN,,316.0,325.5,,NO AGE GIVEN,,NO AGE GIVEN,  106,  108,  107,DSDP INITIAL REPORTS
77,535,,ALBIAN,,325.5,392.0,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,  100,  108,  104,DSDP INITIAL REPORTS
77,535,,LOWER ALBIAN,APTIAN,392.0,401.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  106,  110,  108,DSDP INITIAL REPORTS
77,535,,APTIAN,,401.0,419.0,,NO AGE GIVEN,,NO AGE GIVEN,  108,  110,  109,DSDP INITIAL REPORTS
77,535,,APTIAN,UPPER BARREMIAN,419.0,428.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  108,  118,  113,DSDP INITIAL REPORTS
77,535,,LOWER BARREMIAN,UPPER HAUTERIVIAN,428.0,464.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  118,  123,120.5,DSDP INITIAL REPORTS
77,535,,LOWER HAUTERIVIAN,LOWER VALANGINIAN,464.0,655.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  123,  131,  127,DSDP INITIAL REPORTS
77,535,,LOWER VALANGINIAN,UPPER BERRIASIAN,655.5,714.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,128.5,  133,130.8,DSDP INITIAL REPORTS
