Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tessarastrum thiedei,Stichocorys delmontensis,Spongurus cauleti,Spongotrochus vitabilis,Spongocore puella,Siphocampe arachnea,Pterocanium korotnevi,Pseudodictyophimus horrida,Pseudodictyophimus gracilipes tetracanthus,Pseudodictyophimus amundseni,Phorticium clevei,Phormospyris thespios,Lophospyris pentagona quadriforis,Liriospyris cricus,Larcospira bulbosa,Hexalonche esmarki,Hexalonche ? nakasekoi,Hexacontium pachydermum,Euphysetta  elegans,Eucyrtidium saccoi,Eucyrtidium calvertense,Eucoronis fridtjofnanseni,Cyrtocapsella tetrapera,Cyrtocapsella kladaros,Cyrtocapsella japonica,Cyrtocapsella eldholmi,Cyrtocapsella ampullacea,Cycladophora davisiana cornutoides,Corythospyris reuschi,Corythospyris hispida,Corythospyris fiscella,Clathrospyris sandellae,Challengeron diodon,Ceratocyrtis stoermeri,Ceratocyrtis histricosa,Ceratocyrtis broeggeri,Botryostrobus auritus group,Artostrobus jorgenseni,Antarctissa whitei,Actinomma plasticum,Actinomma mirabile,Actinomma holtedahli,Acrosphaera spinosa echinoides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. grac. tetracanth.,              ,104, 642,C,  9,H, 1,  69.00,     61.3900,Goll     ,Radiolarians                                 ,F              ,G                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,SP                                        ,-                           ,-                ,-                    ,SP                               ,-                 ,-                 ,-                 ,-                     ,R                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,R                      ,-                     ,R                          ,T                     ,T                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. grac. tetracanth.,              ,104, 642,C,  9,H, 2,  69.00,     62.8900,Goll     ,Radiolarians                                 ,A              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,SP                                        ,-                           ,T                ,-                    ,SP                               ,-                 ,-                 ,-                 ,-                     ,SP                     ,R                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,SP                     ,-                     ,R                          ,T                     ,-                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. grac. tetracanth.,              ,104, 642,C,  9,H,CC,  13.00,     63.4700,Goll     ,Radiolarians                                 ,A              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,R                                         ,-                           ,R                ,-                    ,SP                               ,-                 ,-                 ,-                 ,-                     ,VA                     ,SP                 ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,SP                     ,-                     ,R                          ,SP                    ,SP                ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P. grac. tetracanth.,              ,104, 642,C, 10,H, 3,  63.00,     67.1300,Goll     ,Radiolarians                                 ,C              ,M                 ,-                   ,-                       ,-                ,-                      ,-                ,-                  ,-                    ,-                         ,R                                         ,-                           ,-                ,-                    ,SP                               ,-                 ,-                 ,-                 ,-                     ,T                      ,-                  ,-                 ,-                      ,-                        ,-                      ,-                     ,-                     ,-                     ,-                       ,-                                 ,-                    ,-                    ,-                     ,-                      ,-                  ,-                     ,R                      ,-                     ,SP                         ,R                     ,R                 ,-                  ,-                 ,-                   ,-                             ,from ODP 104 SR Chapter 35 Table 3 p 708-709
