Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zelkova taxa	Ulmus taxa	Tsuga taxa	Tilia taxa	Quercus (evergreen) taxa	Quercus (deciduous)  taxa	Pterocarya taxa	Pinus taxa	Picea taxa	Pasania  taxa	Myrica taxa	Liquidambar taxa	Fupingopollenites taxa	Fagus taxa	Engelhardia taxa	Cyperaceae taxa	Cupressaceae taxa	Corylus taxa	Castanea taxa	Carya taxa	Carpinus taxa	Betula taxa	Alnus taxa	Acer taxa	Taxodiaceae taxa	Rhus taxa	Lagerstroemia taxa	Juglans taxa	Ilex taxa	Ephedra taxa	Chenopodiaceae taxa	Metasequoia  taxa	Gramineae taxa	Symplocos taxa	Dacrydium taxa	Celtis taxa	Aesculus  taxa	Carduoideae  taxa	Sapium  taxa	Nyssa  taxa	Elaeagnus taxa	Ericaceae taxa	Quercus taxa	Cryptomeria  taxa	Compositae taxa	Abies taxa	Ranunculaceae taxa	Trapa taxa	Comment



  SR	                 	                 	                  	              	127	 797	B	  2	H	 1	 121.00	      7.1100	Heusser  	Pollen/Spores                                	               	                  	            	0         	1         	0         	                        	                         	0              	12        	8         	             	           	0               	                      	0         	                	3              	                 	            	             	0         	             	0          	7         	0        	15              	         	                  	0           	         	0           	0                  	                 	1             	              	              	           	              	                 	            	0          	              	              	1           	53               	2              	0         	                  	          	from ODP Legs 127&128 Chapter 19 Appendix C back pocket

  SR	                 	                 	                  	              	127	 797	B	  2	H	 3	 124.00	     10.1400	Heusser  	Pollen/Spores                                	               	                  	            	0         	12        	0         	                        	                         	0              	27        	60        	             	           	0               	                      	0         	                	1              	                 	            	             	0         	             	0          	1         	0        	7               	         	                  	0           	         	0           	1                  	                 	0             	              	              	           	              	                 	            	0          	              	              	0           	6                	0              	6         	                  	          	from ODP Legs 127&128 Chapter 19 Appendix C back pocket

  SR	                 	                 	                  	              	127	 797	B	  2	H	 5	 121.00	     13.1100	Heusser  	Pollen/Spores                                	               	                  	            	1         	1         	0         	                        	                         	0              	16        	6         	             	           	0               	                      	1         	                	1              	                 	            	             	0         	             	3          	3         	0        	24              	         	                  	0           	         	1           	1                  	                 	0             	              	              	           	              	                 	            	0          	              	              	7           	44               	2              	1         	                  	          	from ODP Legs 127&128 Chapter 19 Appendix C back pocket

  SR	                 	                 	                  	              	127	 797	B	  3	H	 1	 120.00	     16.6000	Heusser  	Pollen/Spores                                	               	                  	            	0         	1         	0         	                        	                         	0              	39        	6         	             	           	0               	                      	1         	                	5              	                 	            	             	0         	             	0          	3         	0        	11              	         	                  	0           	         	1           	0                  	                 	0             	              	              	           	              	                 	            	0          	              	              	6           	32               	2              	0         	                  	          	from ODP Legs 127&128 Chapter 19 Appendix C back pocket

