Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Xiphosphaera tesseractis,Theocorythium trachelium trachelium,Tetrapyle octacantha,Stylodictya validispina,Stylacontarium acquilonium,Spongocore puella,Spongobrachium ellipticus,Siphonosphaera polysiphonia,Siphonosphaera cyathina,Sethophormis pentalactis,Saturnalis circularis,Pterocorys hertwigii,Pterocanium trilobum,Pterocanium praetextum praetextum,Phormostichoartus corbula,Peripyramis circumtexta,Ommatodiscus murrayi,Lithopera bacca,Liriospyris reticulata,Lamprocyclas maritalis maritalis,Hexacontium enthacanthum,Heliodiscus asteriscus,Eucyrtidium hexagonatum,Eucyrtidium anomalum,Euchitonia furcata,Euchitonia elegans,Didymocyrtis tetrathalamus tetrathalamus,Dictyocoryne truncatum,Dictyocoryne profunda,Cycladophora spp.,Cornutella profunda,Collosphaera macropora,Carpocanistrum spp.,Botryostrobus auritus/australis,Anthocyrtidium sp. aff. zanguebaricum,Anthocyrtidium ophirense,Amphirhopalum ypsilon,Acrosphaera spinosa,Acrosphaera lappacea,Spongobrachium  sp. aff. S. ellipticum,Hymeniastrum euclidis,Giraffospyris angulata,Dictyocodon sp.,Axoprunum angelinum,Theopilium tricostatum,Spongotrochus (?) venustum,Spongaster tetras tetras,Plectopyramis dodecomma,Phormospyris stabilis stabilis,Lamprocyclas hannai,Dictyophimus crisiae,Circodiscus microporus,Stylatractus giganteus,Pterocorys sabae,Lithocampe sp.,Axoprunum stauraxonium,Acrosphaera flammabunda,Tholospyris spp.,Tholospyris fornicata,Tessarastrum straussi,Stylatractus sp.,Stichopera pectinata group,Otosphaera polymorpha,Lamprocyclas maritalis sp. aff. L.m. polypora,Lamprocyclas maritalis polypora,Eucyrtidium sp. aff. E. acuminatum,Disolenia sp.,Cycladophora (?) sp.,Cycladophora sp. cf. C. conica,Collosphaera tuberosa,Collosphaera orthoconus,Botryostrobus sp. cf. B. aquilonarius,Archipilium sp. aff. A. macropus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,136, 843,C,  1,H, 1,  34.00,      0.3400,Hull     ,Radiolarians                                 ,A              ,G                 ,                        ,                                   ,F                   ,F                      ,R                         ,F                ,                         ,C                          ,R                      ,                        ,R                    ,C                   ,C                   ,F                                ,F                        ,R                      ,                    ,C              ,F                     ,F                               ,C                       ,C                     ,C                      ,F                   ,A                 ,A                 ,C                                       ,C                     ,A                    ,A                ,F                  ,F                     ,C                  ,R                              ,                                     ,F                       ,F                    ,C                  ,R                   ,                                      ,R                    ,R                     ,               ,                   ,F                     ,R                         ,R                       ,                       ,R                             ,R                  ,F                   ,R                     ,R                     ,                ,              ,F                     ,                       ,+               ,R                    ,F                    ,R               ,F                         ,R                    ,+                                            ,R                              ,+                                 ,R            ,R                   ,R                             ,R                    ,C                      ,R                                    ,R                               ,from ODP Leg 136 SR Ch 1 Table 1 pp 6-9 & pp10-12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,136, 843,C,  1,H, 1, 119.00,      1.1900,Hull     ,Radiolarians                                 ,A              ,M-G               ,                        ,R                                  ,F                   ,F                      ,R                         ,F                ,                         ,                           ,                       ,                        ,R                    ,                    ,F                   ,R                                ,R                        ,F                      ,                    ,F              ,R                     ,R                               ,F                       ,F                     ,R                      ,                    ,F                 ,C                 ,F                                       ,A                     ,C                    ,C                ,A                  ,                      ,F                  ,R                              ,                                     ,R                       ,                     ,C                  ,R                   ,                                      ,R                    ,                      ,               ,R                  ,                      ,F                         ,F                       ,R                      ,                              ,                   ,F                   ,F                     ,R                     ,R               ,R             ,R                     ,R                      ,                ,                     ,                     ,                ,                          ,                     ,                                             ,                               ,                                  ,             ,                    ,                              ,                     ,                       ,                                     ,                                ,from ODP Leg 136 SR Ch 1 Table 1 pp 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,136, 843,C,  1,H, 2,  19.00,      1.6900,Hull     ,Radiolarians                                 ,A              ,M-G               ,                        ,F                                  ,F                   ,F                      ,R                         ,                 ,                         ,F                          ,R                      ,                        ,F                    ,                    ,F                   ,                                 ,R                        ,F                      ,                    ,               ,F                     ,C                               ,                        ,                      ,C                      ,                    ,R                 ,C                 ,C                                       ,C                     ,C                    ,C                ,A                  ,R                     ,R                  ,F                              ,                                     ,F                       ,A                    ,C                  ,F                   ,                                      ,C                    ,                      ,               ,R                  ,R                     ,F                         ,R                       ,F                      ,R                             ,F                  ,F                   ,F                     ,                      ,                ,              ,                      ,                       ,                ,                     ,                     ,                ,                          ,                     ,                                             ,                               ,                                  ,             ,                    ,                              ,                     ,                       ,                                     ,                                ,from ODP Leg 136 SR Ch 1 Table 1 pp 6-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,136, 843,C,  1,H, 2, 129.00,      2.7900,Hull     ,Radiolarians                                 ,C              ,P-M               ,                        ,                                   ,                    ,F                      ,                          ,                 ,                         ,R                          ,                       ,R                       ,                     ,                    ,                    ,R                                ,                         ,                       ,                    ,               ,F                     ,                                ,                        ,                      ,F                      ,                    ,                  ,C                 ,                                        ,C                     ,F                    ,                 ,F                  ,                      ,R                  ,                               ,                                     ,R                       ,R                    ,                   ,                    ,R                                     ,R                    ,R                     ,R              ,R                  ,                      ,                          ,                        ,                       ,                              ,                   ,                    ,                      ,                      ,                ,              ,                      ,                       ,                ,                     ,                     ,                ,                          ,                     ,                                             ,                               ,                                  ,             ,                    ,                              ,                     ,                       ,                                     ,                                ,from ODP Leg 136 SR Ch 1 Table 1 pp 6-9
