Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Poseidonamicus? sp.,Krithe spp.,Henryhowella? reticulata,Actinocythereis orientalis,Abyssocypris sp.,Eucythere sp.,Cytherella spp.,Actinocythereis n.s. sp.,Pelecocythere sp.,Henryhowella sp.,Cytherelloidea sp.,Bradleya ossa,Bairdioidea (inspecified taxon or taxa),Rockallia sp.,Cytheropteron sp.,Pseudocythere sp.,Bythoceratina sp.,Bradleya cf. B. thomasi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,A,  1,H, 4,   1.00,      4.5100,Guernet  ,Ostracodes                                   ,               ,                  ,+                  ,+          ,                        ,                          ,                ,             ,               ,                        ,                 ,                ,                  ,             ,                                       ,             ,                 ,                 ,                 ,                       ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,A,  2,H, 1,  82.00,      5.7200,Guernet  ,Ostracodes                                   ,               ,                  ,                   ,+          ,                        ,                          ,                ,             ,               ,                        ,                 ,                ,                  ,             ,                                       ,             ,                 ,                 ,                 ,                       ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,A,  3,H, 3,  89.00,     18.2900,Guernet  ,Ostracodes                                   ,               ,                  ,                   ,           ,                        ,                          ,                ,             ,               ,                        ,                 ,                ,                  ,             ,                                       ,             ,                 ,                 ,                 ,+                      ,questionable identity of B. thomasi; from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,A,  4,H, 3,  93.00,     27.8300,Guernet  ,Ostracodes                                   ,               ,                  ,+                  ,+          ,                        ,                          ,                ,             ,               ,                        ,                 ,                ,                  ,             ,                                       ,             ,                 ,                 ,                 ,+                      ,questionable identities of Poseidonamicus? sp. And B. thomasi; from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,A,  5,H, 3,  81.00,     37.2100,Guernet  ,Ostracodes                                   ,               ,                  ,+                  ,+          ,                        ,                          ,                ,             ,               ,+                       ,                 ,                ,                  ,             ,+                                      ,             ,                 ,                 ,                 ,                       ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
