Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Hastigerina digitata,Globorotalia tumida flexuosa,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globorotalia fimbriata,Globorotalia crassaformis viola,Globorotalia crassaformis hessi,Globorotalia crassaformis crassaformis,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerina calida calida,Globigerina bulloides,Bolliella adamsi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 943,A,  1,H, 1,   5.00,      0.0500,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,F                           ,C                         ,-                   ,-                           ,F                  ,-                            ,-                     ,C                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,C                                  ,C                            ,F                           ,-                        ,-                    ,-               ,S; from Leg 155 p. 580 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 943,A,  1,H, 1,  10.00,      0.1000,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,R                           ,C                         ,-                   ,-                           ,F                  ,-                            ,-                     ,C                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,F                                ,F                                  ,C                            ,F                           ,-                        ,-                    ,-               ,from Leg 155 p. 580 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 943,A,  1,H, 1,  33.00,      0.3300,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155 p. 580 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 943,A,  1,H, 1,  50.00,      0.5000,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,R                           ,F                         ,-                   ,-                           ,-                  ,F                            ,-                     ,R                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,-                                  ,C                            ,-                           ,-                        ,-                    ,-               ,M; from Leg 155 p. 580 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
