leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
40,363,,UPPER MIOCENE,MIDDLE MIOCENE,31.0,32.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,    5,   16, 10.5,DSDP INITIAL REPORTS
40,363,,MIDDLE MIOCENE,,32.5,38.0,,NO AGE GIVEN,,NO AGE GIVEN, 10.5,   16,13.25,DSDP INITIAL REPORTS
40,363,,LOWER MIOCENE,,38.0,40.5,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
40,363,,LOWER MIOCENE,UPPER OLIGOCENE,50.0,52.7,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   16,   30,   23,DSDP INITIAL REPORTS
40,363,,UPPER OLIGOCENE,,52.7,59.5,,NO AGE GIVEN,,NO AGE GIVEN, 22.5,   30,26.25,DSDP INITIAL REPORTS
40,363,,UPPER OLIGOCENE,MIDDLE OLIGOCENE,69.0,78.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 22.5,   32,27.25,DSDP INITIAL REPORTS
40,363,,MIDDLE OLIGOCENE,,88.0,116.5,,NO AGE GIVEN,,NO AGE GIVEN,   29,   32, 30.5,DSDP INITIAL REPORTS
40,363,,MIDDLE OLIGOCENE,LOWER OLIGOCENE,126.0,167.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   29, 37.5,33.25,DSDP INITIAL REPORTS
40,363,,LOWER OLIGOCENE,,167.0,185.9,,NO AGE GIVEN,,NO AGE GIVEN,   30, 37.5,33.75,DSDP INITIAL REPORTS
40,363,,UPPER EOCENE,,185.9,204.9,,NO AGE GIVEN,,NO AGE GIVEN, 37.5,   43,40.25,DSDP INITIAL REPORTS
40,363,,MIDDLE EOCENE,,204.9,211.5,,NO AGE GIVEN,,NO AGE GIVEN,   43,   49,   46,DSDP INITIAL REPORTS
40,363,,MIDDLE EOCENE,LOWER EOCENE,221.0,230.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   43, 53.5,48.25,DSDP INITIAL REPORTS
40,363,,LOWER EOCENE,,240.0,287.5,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,DSDP INITIAL REPORTS
40,363,,UPPER PALEOCENE,,297.5,302.0,,NO AGE GIVEN,,NO AGE GIVEN, 53.5,   60,56.75,DSDP INITIAL REPORTS
40,363,,MIDDLE PALEOCENE,,302.0,317.5,,NO AGE GIVEN,,NO AGE GIVEN,   58,   60,   59,DSDP INITIAL REPORTS
40,363,,LOWER PALEOCENE,,317.5,327.5,,NO AGE GIVEN,,NO AGE GIVEN,   60,   65, 62.5,DSDP INITIAL REPORTS
40,363,,UPPER MAESTRICHTIAN ,,327.5,337.7,,NO AGE GIVEN,,NO AGE GIVEN,   65, 67.5,66.25,DSDP INITIAL REPORTS
40,363,,MIDDLE MAESTRICHTIAN,,337.7,354.0,,NO AGE GIVEN,,NO AGE GIVEN,   66,   67, 66.5,DSDP INITIAL REPORTS
40,363,,LOWER MAESTRICHTIAN ,,363.5,373.0,,NO AGE GIVEN,,NO AGE GIVEN, 67.5,   70,68.75,DSDP INITIAL REPORTS
40,363,,CAMPANIAN,,373.0,411.0,,NO AGE GIVEN,,NO AGE GIVEN,   70,   78,   74,DSDP INITIAL REPORTS
40,363,,LOWER SANTONIAN,UPPER CONIACIAN,420.5,430.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   80,   84,   82,DSDP INITIAL REPORTS
40,363,,UPPER ALBIAN,MIDDLE ALBIAN,439.5,506.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  100,  106,  103,DSDP INITIAL REPORTS
40,363,,UPPER ALBIAN,LOWER ALBIAN,515.5,543.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  100,  108,  104,DSDP INITIAL REPORTS
40,363,,LOWER ALBIAN,UPPER APTIAN,543.5,544.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  106,  112,  109,DSDP INITIAL REPORTS
40,363,,UPPER ALBIAN,UPPER APTIAN,553.5,601.0,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  100,  112,  106,DSDP INITIAL REPORTS
40,363,,MIDDLE ALBIAN,UPPER APTIAN,610.5,677.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  104,  112,  108,DSDP INITIAL REPORTS
40,363,,LOWER ALBIAN,UPPER APTIAN,686.5,696.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,  106,  112,  109,DSDP INITIAL REPORTS
40,363,,UPPER APTIAN,,705.5,707.0,,NO AGE GIVEN,,NO AGE GIVEN,  108,  112,  110,DSDP INITIAL REPORTS
