Sample,top depth,bottom depth,Radiolarian zone,Abundance,Preservation,Mixing,Acrocubus octopylus,Amphirhopalum ypsilon,Anthocyrtidium angulare,Anthocyrtidum pliocenica,Botryostrobus miralestensis,Calocycletta caepa,Calocycletta costata,Calocycletta robusta,Calocycletta virginis,Carpocanopsis bramlettei,Carpocanopsis cingulata,Carpocanopsis cristata,Centrobotris petrushevskayae,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Diartus petterssoni,Didymocyrtis bassanii,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis prismatica,Didymocyrtis tetratharamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris scambos,Eucyrtidium diaphanes,Lamaprocyrtis nigriniae,Liriospyris parkerae,Liriospyris stauropora,Lithopera neotera,Lithopera renzae,Lychnocanoma elongata,Lychnodictyum audax,Nephrospyris renila,Phormostichoartus doliolum,Phormostichoartus fistula,Spongaster tetras tetras,Stichocorys armata,Stichocorys delmontensis,Stichocorys wolffii,Theocorythium trachelium
321-U1337C-1H-CC,1.87,1.92,RN 14,A,G,,,R,,,,,,,,,,,,R,,,,,,,,,C,,,,,,,R,,,,,,,,,,C,,,,R
321-U1337C-2H-CC,11.54,11.59,RN13,C,M,,,R,R,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,R,,,R,,,,R
321-U1337C-4H-CC,178.8,178.85,RN6,C,M,,,,,,R,R,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,R,,R,,,,R,R,
321-U1337C-5H-CC,188.88,188.93,RN6,C,M,,,,,,R,R,,,,,,,,,,R,,R,,R,,,,,,,,,,,,,R,,,,,,,,,R,R,
321-U1337C-6H-CC,192.78,192.83,RN6,R,G,,,,,R,,R,,,,,,,,,,R,,R,,R,,,,,,,,,,,,,R,,,,,,,,,R,R,
321-U1337C-7H-CC,202.62,202.67,RN6,A,G,,,,,R,R,R,,,,,,,,,,R,,R,,R,,,,,,,,,,,,,F,,,R,,R,R,,,C,R,
321-U1337C-8H-CC,212.12,212.17,RN6,A,G,,,,,R,R,R,,,,,,,,,,R,,R,,R,,,,,,,,,,,,,R,,,R,,,R,,,C,R,
321-U1337C-9H-CC,221.66,221.71,RN6,A,G,,,,,,R,R,,,,,,R,,,,C,,R,,R,,,,,,,,,,,,,F,,,,,R,,,,C,R,
321-U1337C-10X-CC,230.65,230.7,RN6,A,M,,,,,R,R,R,,,,,,,,,,R,,R,,R,,,,,,,,,,,,,R,,,R,,R,R,,,C,R,
321-U1337C-11X-CC,238.91,238.96,RN6,C,G,,,,,R,,,,,,,,R,,,R,R,R,R,,,,,,,,,,,,,,,,,,R,,,,,,R,R,
