Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Theocotylissa ficus	Theocotyle venezuelensis	Theocotyle cryptocephala	Theocotyle conica	Sethochytris bablylonis	Podocyrtis sinuosa	Podocyrtis dorus	Phormocyrtis striata striata	Periphaena tripyramis triangula	Lophocyrtis biaurita	Lithocyclia ocellus	Lithochytris vespertilio	Lamptonium fabaeforme fabaeforme	Lamptonium fabaeforme constrictum	Lamptonium fabaeforme chaunothorax	Eusyringium lagena	Dictyoprora mongolfieri	Calocyclas hispida	Lychnocanoma bellum	Eusyringium fistuligerum	Podocyrtis fasciolata	Sethochytris triconiscus	Podocyrtis mitra	Podocyrtis trachodes	Podocyrtis chalara	Cryptoprora ornata	Podocyrtis goetheana	Lithocyclia aristotelis	Carpocanistrum azyx	Calocyclas turris	Lophocyrtis jacchia	Dictyoprora pirum	Calocyclas bandyca	Lithocyclia angusta	Artophormis barbadensis	Lithocyclia crux	Artophormis gracilis	Comment



  SR	                 	                 	RP20              	              	115	 711	A	 16	X	 3	  70.00	    147.0000	Johnson  	Radiolarians                                 	R              	M                 	                   	                        	                        	                 	-                      	                  	                	                            	                               	                    	                   	                        	                                	                                 	                                  	                  	-                      	                  	-                  	                        	                     	                        	                	                    	                  	-                 	                    	-                      	                   	                 	-                  	R                	-                 	R                  	-                      	R               	R                   	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	RP20              	              	115	 711	A	 16	X	 4	  70.00	    148.5000	Johnson  	Radiolarians                                 	F              	P                 	                   	                        	                        	                 	-                      	                  	                	                            	                               	                    	                   	                        	                                	                                 	                                  	                  	-                      	                  	-                  	                        	                     	                        	                	                    	                  	-                 	                    	-                      	                   	                 	-                  	R                	-                 	R                  	-                      	                	R                   	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	RP20              	              	115	 711	A	 16	X	 6	  70.00	    151.5000	Johnson  	Radiolarians                                 	C              	M                 	                   	                        	                        	                 	-                      	                  	                	                            	                               	                    	                   	                        	                                	                                 	                                  	                  	-                      	                  	-                  	                        	                     	                        	                	                    	                  	-                 	                    	-                      	                   	                 	-                  	R                	-                 	F                  	-                      	R               	F                   	from 115 SR. Chapter 22. Table 6. page 400.

  SR	                 	                 	RP20              	              	115	 711	A	 16	X	CC	   0.00	    152.6000	Johnson  	Radiolarians                                 	C              	G                 	                   	                        	                        	                 	-                      	                  	                	                            	                               	                    	                   	                        	                                	                                 	                                  	                  	-                      	                  	-                  	-                       	                     	                        	                	                    	                  	-                 	                    	-                      	-                  	-                	-                  	R                	-                 	R                  	R                      	R               	C                   	from 115 SR. Chapter 22. Table 6. page 400.

