Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist		Fossil Group                                 	Group Abundance	Group Preservation	Turborotalia pseudoampliapertura/increbescens	Turborotalia pseudoampliapertura	Turborotalia increbescens	Tenuitella munda	Tenuitella gemma	Tenuitella clemenciae	Tenuitella angustiumbilicata	Subbotina utilisindex	Subbotina angiporoides angiporoides	Subbotina angiporoides	Paragloborotalia pseudocontinuosa	Paragloborotalia opima opima	Paragloborotalia opima nana	Globorotaloides variabilis	Globorotaloides suteri	Globoquadrina tripartita	Globoquadrina tapuriensis	Globoquadrina sellii	Globoquadrina rohri	Globoquadrina praedehiscens	Dentoglobigerina sp. aff. D. larmeui	Dentoglobigerina galavisi	Dentoglobigerina baroemoenensis	Chiloguembelinid (unspecified taxon or taxa)	Catapsydrax unicavus	Catapsydrax sp.	Catapsydrax dissimilis dissimilis	Subbotina praeturritilina	Paragloborotalia sp.	Paragloborotalia siakensis	Globorotaloides sp. 1	Globorotalia obesa	Globigerina venezuelana	Globigerina sp. aff. G. ampliapertura	Globigerina sp. 1	Globigerina prasaepis	Globigerina ciperoensis	Globigerina ampliapertura	Dentoglobigerina larmeui	Dentoglobigerina globularis	Catapsydrax martini	Cassigerinella chipolensis	Globorotaloides permicus	Globigerina officinalis	Catapsydrax dissimilis ciperoensis	Subbotina brazieri	Globigerina praebulloides	Dentoglobigerina globularis/altispira globosa	Protentella sp.	Paragloborotalia semivera	Globorotaloides sp. 2	Globorotalia pseudokugleri (ancestral form)	Globigerinita juvenilis	Dentoglobigerina altispira globosa	Protentella sp. aff. P. prolixa	Protentella clavaticamerata	Globorotalia pseudokugleri	Globorotalia obesa/praesiphonifera	Globigerinella? sp.	Globigerina ouachitaensis	Globigerina ciperoensis ottnangiensis	Globigerina anguliofficinalis	Globorotalia mayeri/siakensis	Globoquadrina venezuelana	Catapsydrax dissimilis	Globorotalia opima nana	Globoquadrina binaiensis	Globoquadrina praedehiscens/dehiscens	Globoquadrina dehiscens	Globigerina woodi	Globigerina anguliofficinalis/angulisuturalis	Globorotalia kugleri	Dentoglobigerina altispira altispira	Globigerinoides primordius	Catapsydrax stainforthi	Globigerinoides quadrilobatus s.l.	Sphaeroidinellopsis disjuncta	Praeorbulina sp.	Globorotalia praescitula	Globigerinoides bisphericus	Globigerinatella insueta	Globoquadrina baroemoenensis	Globorotalia fohsi fohsi	Orbulina sp.	Sphaeroidinellopsis seminulina	Globoturborotalita nepenthes	Globorotalia limbata	Globigerinoides obliquus obliquus	Globigerinella siphonifera	Globigerinoides obliquus extremus	Neogloboquadrina acostaensis	Neogloboquadrina humerosa	Globorotalia plesiotumida	Globigerinoides conglobatus	Sphaeroidinella dehiscens	Pulleniatina sp.	Globorotalia tumida tumida	Globigerinoides elongatus	Globorotalia crassaformis	Globigerinoides ruber s.l.	Globigerinoides fistulosus	Neogloboquadrina dutertrei	Globorotalia scitula	Globoquadrina conglomerata	Globorotaloides hexagona	Globorotalia tosaensis	Candeina nitida	Globorotalia menardii s.l.	Globorotalia truncatulinoides	Globorotalia inflata	Comment

  SR	Pleistocene      	                 	N22               	              	115	 710	A	  1	H	 5	 105.00	      7.0500	Vincent  		Planktonic Foraminifers                      	               	MG                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	                         	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	+                                 	                             	                	                        	                           	                        	                            	                        	+           	                              	                            	                    	                                 	+                         	                                 	                            	+                        	                         	+                          	+                        	+               	+                         	                         	+                        	+                         	                          	+                         	                    	                          	+                       	+                     	               	+                         	+                            	+                   	benthic foraminifers few. radiolarians abundant. sponge spicules common. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Late Pliocene    	                 	N21               	              	115	 710	A	  1	H	 6	 105.00	      8.5500	Vincent  		Planktonic Foraminifers                      	               	MG                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	                         	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	+                                 	                             	                	                        	                           	                        	                            	                        	+           	                              	                            	                    	                                 	+                         	                                 	                            	+                        	                         	+                          	+                        	+               	+                         	                         	+                        	                          	                          	+                         	                    	                          	                        	+?                    	               	+                         	                             	                    	benthic foraminifers few. radiolarians abundant. sponge spicules common. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Late Pliocene    	                 	N21               	              	115	 710	A	  1	H	CC	  14.00	      9.4600	Vincent  		Planktonic Foraminifers                      	               	G                 	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	                         	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	+                                 	                             	                	                        	                           	                        	                            	                        	+           	                              	                            	                    	                                 	                          	                                 	                            	+                        	                         	+                          	+                        	+               	+                         	                         	+                        	+                         	                          	+                         	+                   	+                         	+                       	+                     	               	+                         	                             	                    	benthic foraminifers few. radiolarians common. sponge spicules few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Late Pliocene    	                 	N21               	              	115	 710	A	  2	H	 1	 105.00	     10.5500	Vincent  		Planktonic Foraminifers                      	               	MG                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	                         	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	+                                 	                             	                	                        	                           	                        	                            	                        	+           	                              	                            	                    	                                 	+                         	                                 	                            	+                        	                         	+                          	+                        	+               	+                         	                         	                         	+                         	+?                        	+                         	+                   	+                         	+                       	+?                    	               	+                         	                             	                    	benthic foraminifers few. radiolarians few. sponge spicules rare. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Late Pliocene    	                 	N21               	              	115	 710	A	  2	H	 2	 105.00	     12.0500	Vincent  		Planktonic Foraminifers                      	               	VP                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	                         	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	+                                 	                             	                	                        	                           	                        	                            	                        	+           	                              	                            	+                   	                                 	+                         	                                 	                            	+                        	                         	+                          	+                        	+               	+                         	                         	                         	+                         	                          	+                         	                    	                          	                        	+?                    	+?             	                          	                             	                    	benthic foraminifers rare. radiolarians abundant. sponge spicules common. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Late Pliocene    	                 	N21               	              	115	 710	A	  2	H	 3	 105.00	     13.5500	Vincent  		Planktonic Foraminifers                      	               	VP                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	                         	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	+                                 	                             	                	                        	                           	                        	                            	                        	+           	                              	                            	+                   	                                 	                          	                                 	                            	+                        	                         	+                          	+                        	+               	+                         	                         	+                        	+                         	                          	+                         	                    	                          	+                       	                      	               	                          	                             	                    	benthic foraminifers rare. radiolarians abundant. sponge spicules common. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Late Pliocene    	                 	N21               	              	115	 710	A	  2	H	 4	 105.00	     15.0500	Vincent  		Planktonic Foraminifers                      	               	MG                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	                         	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	+                                 	                             	                	                        	                           	                        	                            	                        	+           	                              	                            	+                   	                                 	+                         	                                 	                            	+                        	                         	+                          	+                        	+               	+                         	                         	                         	+                         	+                         	+                         	                    	                          	+                       	                      	               	                          	                             	                    	benthic foraminifers rare. radiolarians few. sponge spicules few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Late Pliocene    	                 	N21               	              	115	 710	A	  2	H	 5	 105.00	     16.5500	Vincent  		Planktonic Foraminifers                      	               	MG                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	                         	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	+                                 	                             	                	                        	                           	                        	                            	                        	+           	                              	                            	+                   	                                 	                          	                                 	                            	+                        	                         	+                          	+                        	+               	+                         	                         	+                        	+                         	+                         	+?                        	+                   	+?                        	                        	                      	               	                          	                             	                    	benthic foraminifers rare. radiolarians abundant. sponge spicules few. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 8. pages 814-815.

  SR	Late Pliocene    	                 	N21               	              	115	 710	A	  2	H	 6	 105.00	     18.0500	Vincent  		Planktonic Foraminifers                      	               	MG                	                                             	                                	                         	                	                	                     	                            	                     	                                   	                      	                                 	                            	                           	                          	                      	                        	                         	                    	                   	                           	                                    	                         	                               	                                            	                    	               	                                 	                         	                    	                          	                     	                  	                       	                                     	                 	                     	                       	                         	                        	                           	                   	                          	                        	                       	                                  	                  	                         	                                             	               	                         	                     	                                           	                       	                                  	                               	                           	                          	                                  	                   	                         	                                     	                             	                             	                         	                      	                       	                        	                                     	                       	                 	                                             	                    	                                    	                          	                       	+                                 	                             	                	                        	                           	                        	                            	                        	+           	                              	                            	+                   	                                 	                          	                                 	                            	+                        	                         	+                          	+                        	+               	+                         	                         	+                        	                          	                          	+?                        	                    	                          	                        	                      	               	                          	                             	                    	benthic foraminifers few. radiolarians abundant. sponge spicules common. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 8. pages 814-815.
