Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vulvulina spinosa,Uvigerina spp.,Uvigerina cf. proboscidea,Trifarina occidentalis,Stilostomella subspinosa,Stilostomella spp.,Stilostomella lepidula,Stilostomella cf. antillea,Saracenaria spp.,Rectuvigerina striata,Ramulina spp.,Pullenia quinqueloba,Pullenia osloensis,Pullenia bulloides,Planulina spp.,Osangularia mexicana,Orthomorphina himerensis,Oridorsalis umbonatus,Oolina spp.,Nonionella spp.,Nonion havanensis,Nodosaria spp.,Nodosarella spp.,Martinottiella scabra,Lenticulina spp.,Lagena spp.,Hanzawaia ammophila,Gyroidina soldanii,Globocassidulina subglobosa (s.l.)+globosa,Ellipsoidina spp.,Dentalina spp.,Cibicidoides spp.,Cibicidoides mexicanus,Cibicidoides laurisae,Cibicidoides havanensis,Cibicidoides cf. mundulus,Cibicidoides alazanensis,Bulimina tuxpamensis,Bulimina impendens,Anomalinoides semicribratus,Allomorphina sp.,Uvigerina proboscidea,Stilostomella fistuca,Pullenia spp.,Pleurostomella spp.,Pleurostomella acuta,Orthomorphina spp.,Marginulinopsis spp.,Marginulina spp.,Karreriella bradyi,Eggerella spp.,Cibicides spp.,Anomalinoides cf. flintii,Valvulineria sp.,Uvigerina havanensis,Orthomorphina glandigena,Gyroidina spp.,Dorothia brevis,Astacolus spp.,Stilostomella cf. annulifera,Pleurostomella alternans,Heronallenina spp.,Glandulina spp.,Epistominella spp.,Bulimina spp.,Anomalinoides pseudogrosserugosus,Vaginulina spp.,Pleurostomella bierigi,Planulina costata,Orthomorphina richardsi,Orthomorphina challengeriana,Fissurina spp.,Ellipsoidella spp.,Dorothia cf. brevis,Bulimina rostrata,Brizalina pusilla,Bulimina sp. B,Astrononion echolsi,Anomalinoides spp.,Valvulineria cf. V. laevigata,Stilostomella modesta,Pullenia subcarinata,Paracassidulina spp.,Lingulina spp.,Epistominella cf. umbonifera,Dorothia spp.,Sphaeroidina bulloides,Pleurostomella obtusa,Pleurostomella acuminata,Planulina renzi,Orthomorphina perversa,Epistominella umbonifera,Anomalina spp.,Stilostomella antillea,Quinqueloculina sp.,Parafissurina spp.,Lenticulina subcarinata,Laticarinina pauperata,Kyphopyxa spp.,Uvigerina spinulosa,Cibicidina cf. walli,Uvigerina sp. A,Spiroplectammina spp.,Eggerella bradyi,Cibicidoides mundulus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,C,  4,X, 1,  70.00,    101.6000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,2                ,              ,                         ,                      ,                        ,3                 ,11                    ,                          ,                ,                     ,             ,2                   ,                  ,4                 ,1             ,                    ,2                       ,12                   ,1          ,               ,                 ,              ,                ,1                    ,8               ,1          ,                   ,7                 ,13                                        ,                 ,              ,6                ,9                     ,                     ,                       ,                         ,                        ,                    ,1                 ,                           ,                ,                     ,                     ,             ,                   ,                    ,                  ,                    ,                ,                  ,              ,6             ,                         ,                ,                    ,                        ,2             ,2              ,              ,9                           ,1                       ,                  ,1              ,                  ,             ,                                 ,               ,                      ,                 ,                       ,                            ,1             ,                  ,                   ,6                ,6                ,              ,3                  ,                  ,                             ,                     ,                    ,                    ,              ,                            ,             ,                      ,                     ,                        ,               ,                      ,20                      ,              ,                      ,                   ,                  ,                       ,2                     ,              ,                   ,                    ,1              ,1                    ,3               ,9                    ,"Total number of specimens 164  Calcareous misc. 7 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,7"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,C,  4,X, 3,  70.00,    104.6000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,3                ,              ,                         ,1                     ,                        ,2                 ,                      ,12                        ,                ,                     ,             ,1                   ,2                 ,6                 ,2             ,1                   ,2                       ,23                   ,1          ,1              ,13               ,              ,1               ,1                    ,5               ,           ,                   ,17                ,33                                        ,                 ,2             ,5                ,                      ,                     ,                       ,14                       ,                        ,                    ,                  ,                           ,                ,                     ,                     ,             ,                   ,                    ,                  ,                    ,                ,                  ,2             ,              ,                         ,                ,                    ,                        ,              ,4              ,              ,                            ,3                       ,                  ,2              ,                  ,             ,                                 ,               ,                      ,                 ,                       ,2                           ,3             ,                  ,                   ,1                ,1                ,3             ,33                 ,                  ,                             ,1                    ,                    ,                    ,              ,                            ,             ,                      ,                     ,                        ,4              ,                      ,                        ,              ,                      ,                   ,                  ,                       ,1                     ,              ,1                  ,15                  ,               ,                     ,                ,                     ,"Total number of specimens 226 Agglutinated misc. 2 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,2"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,C,  4,X, 5,  70.00,    107.6000,Nomura   ,Benthic Foraminifers                         ,               ,                  ,2                ,1             ,                         ,3                     ,                        ,1                 ,5                     ,2                         ,                ,                     ,             ,5                   ,3                 ,4                 ,1             ,                    ,1                       ,22                   ,1          ,               ,1                ,              ,                ,                     ,3               ,2          ,1                  ,15                ,32                                        ,                 ,3             ,                 ,4                     ,                     ,                       ,31                       ,                        ,9                   ,1                 ,2                          ,                ,                     ,                     ,             ,1                  ,                    ,                  ,                    ,                ,                  ,2             ,              ,                         ,                ,                    ,1                       ,              ,5              ,              ,                            ,                        ,2                 ,               ,                  ,1            ,                                 ,               ,                      ,                 ,                       ,1                           ,              ,3                 ,                   ,                 ,                 ,3             ,6                  ,                  ,                             ,3                    ,                    ,                    ,              ,                            ,             ,                      ,                     ,1                       ,7              ,                      ,3                       ,              ,2                     ,1                  ,1                 ,4                      ,1                     ,1             ,                   ,                    ,               ,                     ,                ,                     ,"Total number of specimens 214  Calcareous misc. 10 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,10"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,121, 756,C,  5,X, 2,  65.00,    111.4700,Nomura   ,Benthic Foraminifers                         ,               ,                  ,6                ,              ,                         ,                      ,                        ,                  ,7                     ,9                         ,3               ,                     ,             ,2                   ,3                 ,3                 ,              ,8                   ,                        ,24                   ,           ,               ,7                ,              ,                ,1                    ,8               ,           ,                   ,20                ,36                                        ,                 ,3             ,3                ,                      ,14                   ,4                      ,26                       ,                        ,                    ,8                 ,                           ,                ,1                    ,                     ,             ,1                  ,                    ,2                 ,                    ,1               ,5                 ,              ,              ,                         ,                ,                    ,1                       ,              ,               ,              ,                            ,                        ,                  ,               ,                  ,             ,                                 ,               ,2                     ,1                ,                       ,                            ,              ,                  ,                   ,3                ,                 ,              ,8                  ,                  ,                             ,2                    ,                    ,6                   ,              ,                            ,2            ,3                     ,1                    ,2                       ,3              ,5                     ,1                       ,3             ,                      ,                   ,                  ,                       ,                      ,              ,                   ,                    ,               ,                     ,                ,                     ,"Total number of specimens 252  Calcareous misc. 4 from ODP Leg 121 SR Chapter 2 Table 2 p 44-51,,4"
