Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylosphaera minor,Periphaena (?) duplus,Stylotrochus charlestonensis,Spongurus spatulaeformis,Stichocorys greeni,Spongodiscus cruciferus,Spongatractus balbis,Lychnocanoma aff. trifolium,Theocorys robusta,Lychnocanoma conica,Lophophaena tekopua,Lamprocyclas matakohe,Eucyrtidium antiquum,Cycladophora cosma cosma,Axoprunum irregularis,Theocorys saginata,Lithomelissa gelasinus,Zealithapium mitra,Theocorys semipolita,Dictyocoryne gibsoni,Buryella aff. kaikoura,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D,  1,R,CC,  11.00,    427.2700,rads     ,Radiolarians                                 ,C              ,M                 ,T                 ,                     ,                            ,                        ,                  ,                       ,                    ,                           ,F                ,R                  ,R                  ,F                    ,                    ,R                       ,                     ,F                 ,R                     ,R                 ,R                   ,R                   ,R                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D,  2,R,CC,  14.00,    437.5000,rads     ,Radiolarians                                 ,C              ,M                 ,T                 ,                     ,                            ,                        ,                  ,                       ,                    ,                           ,F                ,R                  ,                   ,                     ,                    ,R                       ,                     ,F                 ,R                     ,                  ,                    ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D,  3,R,CC,  15.00,    444.9500,rads     ,Radiolarians                                 ,C              ,G                 ,T                 ,                     ,                            ,                        ,                  ,                       ,                    ,                           ,F                ,R                  ,R                  ,                     ,                    ,R                       ,T                    ,F                 ,R                     ,                  ,                    ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D,  4,R,CC,  19.00,    454.9900,rads     ,Radiolarians                                 ,F              ,M                 ,T                 ,                     ,                            ,                        ,                  ,                       ,                    ,                           ,F                ,R                  ,R                  ,F                    ,R                   ,R                       ,T                    ,                  ,                      ,                  ,                    ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D,  7,R,CC,  17.00,    479.8500,rads     ,Radiolarians                                 ,F              ,P                 ,                  ,                     ,                            ,                        ,                  ,                       ,T                   ,T                          ,                 ,                   ,                   ,                     ,                    ,                        ,                     ,                  ,                      ,                  ,                    ,                    ,                      ,Reworked balbis. range49.0-52.9 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
