Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira spp. (native type),Sponge spicules,Rhizosolenia barboi,Actinocyclus ingens,Actinocyclus ingens  var. nodus,Thalassiothrix longissima,Coscinodiscus marginatus,Grammatophora sp.,Coscinodiscus temperei,Denticulopsis hustedtii,Coscinodiscus nodulifer,Thalassionema nitzschioides,Denticulopsis hyalina,Synedra sp.,Denticulopsis lauta s.l.,Stephanopyxis turris,Diploneis sp.,Coscinodiscus cf. C. marginatus,Denticulopsis sp.,Coscinodiscus sp.,Synedra jouseana,Denticulopsis lauta,Coscinodiscus radiatus,Actinocyclus tsugaruensis,Thalassionema schraderi,Neodenticula seminae,Denticulopsis dimorpha,Aulacosira granulata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B,  1,H,CC,  20.00,      3.1100,Maruyama ,Diatoms                                      ,T              ,P                 ,                                ,               ,                   ,                   ,                               ,                         ,                        ,                 ,                      ,                       ,                       ,                           ,                     ,           ,+                       ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,+                   ,from IR. Ch 8. Tables 6+7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B,  2,H,CC,  21.00,     13.0700,Maruyama ,Diatoms                                      ,T              ,P                 ,+                               ,+              ,                   ,                   ,                               ,                         ,                        ,                 ,                      ,                       ,                       ,+                          ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,diatom fragments present. from IR. Ch 8. Tables 6+7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B,  3,H,CC,  34.00,     22.4000,Maruyama ,Diatoms                                      ,T              ,P                 ,                                ,+              ,                   ,                   ,                               ,                         ,                        ,                 ,                      ,                       ,                       ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,diatom fragments present. from IR. Ch 8. Tables 6+8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1014,B,  4,H,CC,  33.00,     32.0000,Maruyama ,Diatoms                                      ,T              ,P                 ,                                ,+              ,                   ,+                  ,                               ,                         ,+                       ,                 ,                      ,                       ,                       ,                           ,                     ,           ,                        ,                    ,             ,                               ,                 ,                 ,                ,                   ,                      ,                         ,                       ,                    ,                      ,                    ,diatom fragments present. from IR. Ch 8. Tables 6+9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
