taxon_group,verbatim_name,name,Comment,Notes (temp; JAS will remove when finished with dinos),Notes (change to Internal only notes?),Any taxon above genus modifier,Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,comments,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,Corrections to pbdb_taxon,species_taxon_id,species_taxon_name,genus_taxon_id,genus_taxon_name,family_taxon_id,family_taxon_name,order_taxon_id,order_taxon_name,subclass_taxon_id,subclass_taxon_name,class_taxon_id,class_taxon_name,phylum_taxon_id,phylum_taxon_name,kingdom_taxon_id,kingdom_taxon_name,unranked clade_taxon_id,unranked clade_taxon_name
dinoflagellates,?Labyrinthodinium sp. 1,? Labyrinthodinium sp. 1,,,"Updated taxon_group from ""Dinoflagellates/Acritarchs/Prasinophytes"" to ""dinoflagellates"" for congruency with LIMS",,,?,Labyrinthodinium,,,,sp. 1,,,,,443826,Labyrinthodinium,genus,,,,443826,Labyrinthodinium,,,321606,Gonyaulacales,,,321578,Dinophyceae,,,,,,
dinoflagellates,?Maduradinium sp.,? Maduradinium sp.,,,"Updated taxon_group from ""Dinoflagellates/Acritarchs/Prasinophytes"" to ""dinoflagellates"" for congruency with LIMS",,,?,Maduradinium,,,,sp.,,,,,325673,Maduradinium,genus,,,,325673,Maduradinium,277915,Peridiniaceae,277919,Peridiniales,,,321578,Dinophyceae,,,,,,
dinoflagellates,?Pyxidiella sp. 1,? Pyxidiella sp. 1,,,"Updated taxon_group from ""Dinoflagellates/Acritarchs/Prasinophytes"" to ""dinoflagellates"" for congruency with LIMS",,,?,Pyxidiella,,,,sp. 1,,,,,336773,Pyxidiella,genus,,,,336773,Pyxidiella,277915,Peridiniaceae,277919,Peridiniales,,,321578,Dinophyceae,,,,,,
dinoflagellates,Aandalusiella ivoirensis,Andalusiella ivoirensis,genus missplled,,"Updated taxon_group from ""Dinoflagellates/Acritarchs/Prasinophytes"" to ""dinoflagellates"" for congruency with LIMS",,,,Andalusiella,,,,ivoirensis,,,,,,,,,,,,,,,,,,,,,,,,,,
dinoflagellates,Abratopdinium cardioforme,,,,"Updated taxon_group from ""Dinoflagellates/Acritarchs/Prasinophytes"" to ""dinoflagellates"" for congruency with LIMS. In PBDB so it should be classified correctly (AM Fall 2023)",,,,Abratopdinium,,,,cardioforme,,,,,,,,,,,,,,,,,,,,,,,,,,
dinoflagellates,Abratopdinium kerguelense,,,,"Updated taxon_group from ""Dinoflagellates/Acritarchs/Prasinophytes"" to ""dinoflagellates"" for congruency with LIMS",,,,Abratopdinium,,,,kerguelense,,,,,,,,,,,,,,,,,,,,,,,,,,
dinoflagellates,Acanthaulax granulata,,,,"Updated taxon_group from ""Dinoflagellates/Acritarchs/Prasinophytes"" to ""dinoflagellates"" for congruency with LIMS. In PBDB so it should be classified correctly (AM Fall 2023)",,,,Acanthaulax,,,,granulata,,,,,276986,Acanthaulax,genus,,,,276986,Acanthaulax,,,,,,,,,,,,,,
dinoflagellates,Acanthaulax wilsonii,,,,"Updated taxon_group from ""Dinoflagellates/Acritarchs/Prasinophytes"" to ""dinoflagellates"" for congruency with LIMS",,,,Acanthaulax,,,,wilsonii,,,,,276986,Acanthaulax,genus,,,,276986,Acanthaulax,,,,,,,,,,,,,,
dinoflagellates,Achilleodinium bianii,,,,"Updated taxon_group from ""Dinoflagellates/Acritarchs/Prasinophytes"" to ""dinoflagellates"" for congruency with LIMS",,,,Achilleodinium,,,,bianii,,,,,323992,Achilleodinium bianii,species,,323992,Achilleodinium bianii,323991,Achilleodinium,321603,Gonyaulacaceae,321606,Gonyaulacales,,,321578,Dinophyceae,,,,,,
dinoflagellates,Achilleodinium biformoides,,,,"Updated taxon_group from ""Dinoflagellates/Acritarchs/Prasinophytes"" to ""dinoflagellates"" for congruency with LIMS",,,,Achilleodinium,,,,biformoides,,,,,323991,Achilleodinium,genus,,,,323991,Achilleodinium,321603,Gonyaulacaceae,321606,Gonyaulacales,,,321578,Dinophyceae,,,,,,
