Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys spp. group,Stichocorys peregrina,Stichocorys delmontensis,Spongoplegma churchii,Lychnocanoma grande,Axoprunum angelinum,Anthocyrtidium ehrenbergi,Acrosphaera murrayana,Stylacontarium acquilonium,Theocorys semipolita,Stylosphaera minor,Phormostichoartus fistula,Lipmanella deflandrei,Haliommetta miocenica,Eucyrtidium biconicum,Druppatractus irregularis,Dictyophimus splendens,Theocorythium vetulum,Sphaeropyle langii,Lithelius nautiloides,Eucyrtidium teuscheri group,Stylatractus neptunus,Spongoplegma variabile,Saturnalis circularis,Eucyrtidium cienkowskii,Cycladophora pliocenica,Carpocanistrum ob,Cycladophora spongothorax,Cycladophora davisiana,Botryostrobus bramlettei pretumidulus,Spongoplegma medianum,Pterocanium charybdeum trilobum,Lamprocyrtis heteroporos,Cycladophora humerus,Botryostrobus auritus/australis,Thecosphaera japonica,Spongoplegma antarcticum,Sphaeropyle robusta,Desmospyris spongiosa,Stylatractus universus,Lamprocyrtis neoheteroporos,Spongotrochus glacialis,Eucyrtidium calvertense,Triceraspyris antarctica,Pseudocubus vema,Eucyrtidium teuscheri orthoporus,Botryostrobus bramlettei tumidulus,Botryostrobus aquilonaris,Actinomma popofskii,Saccospyris antarctica,Antarctissa strelkovi,Antarctissa sp. G,Antarctissa denticulata,Sphaeropyle boreale,Lamprocyrtis nigriniae,Botryostrobus bramlettei seriatus,Sphaeropyle antarctica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C,  1,H,CC,  10.00,      9.0200,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                     ,                        ,                     ,                   ,R                  ,                         ,                     ,                          ,                    ,                  ,                         ,                     ,                     ,                     ,                         ,                      ,                     ,                  ,                     ,T                          ,                     ,                      ,                     ,                       ,F                      ,                 ,                         ,R                     ,                                     ,                     ,                               ,                        ,                    ,                               ,                     ,A                       ,                   ,                     ,C                     ,                           ,R                      ,                       ,                        ,                ,                                ,                                  ,                         ,R                  ,T                     ,R                    ,R                ,C                      ,                   ,                      ,                                 ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C,  2,H,CC,  20.00,     18.0400,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,T                    ,                        ,                     ,                   ,                   ,                         ,                     ,R                         ,                    ,                  ,                         ,                     ,                     ,                     ,                         ,                      ,T                    ,R                 ,                     ,R                          ,T                    ,                      ,                     ,                       ,                       ,                 ,                         ,F                     ,                                     ,                     ,C                              ,                        ,R                   ,R                              ,                     ,A                       ,                   ,                     ,T                     ,                           ,                       ,                       ,                        ,                ,                                ,C                                 ,                         ,C                  ,T                     ,                     ,                 ,C                      ,                   ,                      ,                                 ,R                     ,1/2 Lo Pt. cha. trac
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C,  3,H,CC,  10.00,     28.5100,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                     ,                        ,                     ,                   ,                   ,                         ,                     ,R                         ,                    ,                  ,                         ,                     ,                     ,                     ,                         ,                      ,T                    ,                  ,R                    ,T                          ,T                    ,                      ,                     ,                       ,T                      ,                 ,                         ,F                     ,                                     ,                     ,R                              ,                        ,                    ,T                              ,                     ,C                       ,                   ,                     ,C                     ,R                          ,                       ,                       ,                        ,                ,                                ,R                                 ,F                        ,                   ,F                     ,C                    ,R                ,C                      ,R                  ,                      ,                                 ,T                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,C,  4,H,CC,  17.00,     35.7700,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                     ,                        ,                     ,                   ,                   ,                         ,                     ,T                         ,                    ,                  ,                         ,                     ,                     ,R                    ,                         ,                      ,T                    ,R                 ,T                    ,T                          ,R                    ,                      ,T                    ,                       ,R                      ,                 ,                         ,F                     ,R                                    ,                     ,                               ,                        ,                    ,                               ,                     ,C                       ,                   ,                     ,                      ,                           ,                       ,                       ,                        ,                ,                                ,                                  ,F                        ,                   ,T                     ,F                    ,R                ,C                      ,F                  ,                      ,                                 ,R                     ,       
