Exp,Site,Hole,Core,Type,Section,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Dinocysts,Org .linnings of foraminifers,Bitectatodinium tepikiense,Brigantedinium cariacoense,Brigantedinium simplex,Brigantedinium spp.,Echinidinium aculeatum,Impagidinium spp.,Islandinium imnutum,Islandinium Morphtype Cesare,Islandinium ium cf. brevispinosum,Operculodinium centrocarpum,O. centrocarpum-Arctic morphotype,O. centrocarpum var. short processes,Pentapharsodinium dalei,Polykrikos - Arctic morphotype,Polykrikos schwartzii,Protoperidinium americanum,Quinquecuspis concreta,Spiniferites elongatus,A/W,Sample
323,U1345,B,1,H,1,0,0,0,0,G,A,C,,R,R,A,R,,D,,,R,R,,,,,R,,,,323-U1345B-1H-1-nan
323,U1345,A,1,H,CC,,,4.3,4.4,G,A,F,,R,A,D,,R,A,,,A,,R,,,,R,,R,,323-U1345A-1H-CC-nan
323,U1345,A,2,H,CC,,,14.0,14.1,G,A,C,,R,A,D,R,,A,R,,R,,,,,,,,,,323-U1345A-2H-CC-nan
323,U1345,A,3,H,CC,,,23.8,23.9,G,C,F,,F,A,D,,,A,,,R,R,,,,R,,,,,323-U1345A-3H-CC-nan
323,U1345,A,4,H,CC,,,33.3,33.4,G,A,R,R,R,A,D,,,A,,,R,,,,,,,,,,323-U1345A-4H-CC-nan
323,U1345,A,5,H,CC,,,42.9,43.0,G,A,C,,R,F,A,,,D,R,R,,,,,,,,,,,323-U1345A-5H-CC-nan
323,U1345,A,6,H,CC,,,51.5,51.6,G,A,F,,R,A,D,,,A,,,F,,R,,,,,,R,,323-U1345A-6H-CC-nan
323,U1345,A,7,H,CC,,,61.7,61.8,M,A,R,,R,A,D,,,A,,,R,,,,,,,,,,323-U1345A-7H-CC-nan
323,U1345,A,8,H,CC,,,71.0,71.1,G,C,R,,R,A,D,,,R,,,,,R,,,,,R,,,323-U1345A-8H-CC-nan
323,U1345,A,9,H,CC,,,80.5,80.6,G,C,R,,F,A,D,,,A,,R,,,,,,,,,,,323-U1345A-9H-CC-nan
323,U1345,A,10,H,CC,,,88.3,88.4,G,C,C,,R,D,D,,,R,,,,,,R,,,,,R,,323-U1345A-10H-CC-nan
323,U1345,A,11,H,CC,,,98.4,98.5,M,C,R,,R,A,D,,,R,,,,,,,,,,,,,323-U1345A-11H-CC-nan
323,U1345,A,12,H,CC,,,108.4,108.5,G,C,R,,R,A,D,,,D,,,,,,,,,,R,,,323-U1345A-12H-CC-nan
323,U1345,A,13,H,CC,,,118.9,119.0,G,A,,,F,D,D,,,R,,,,,,,,,,R,,,323-U1345A-13H-CC-nan
323,U1345,A,14,H,CC,,,128.0,128.1,M,C,R,,R,A,D,,,A,,,,,,,,,,,,,323-U1345A-14H-CC-nan
323,U1345,A,15,H,CC,,,138.0,138.1,G,A,F,,F,A,D,,,A,,,R,,,,,,,F,,,323-U1345A-15H-CC-nan
323,U1345,A,16,H,CC,,,147.3,147.4,G,C,C,,,A,D,,,F,,,F,R,R,,,,,,,,323-U1345A-16H-CC-nan
323,U1345,C,2,H,CC,,,15.7,15.8,G,C,F,R,,A,D,,,A,,,,,,,F,,,,,,323-U1345C-2H-CC-nan
323,U1345,C,4,H,CC,,,35.0,35.1,G,A,C,,R,A,D,,,A,,,,,,,,,,F,,,323-U1345C-4H-CC-nan
323,U1345,C,6,H,CC,,,53.8,53.9,G,C,R,,R,F,D,,,A,,,,,,,,,,,,,323-U1345C-6H-CC-nan
323,U1345,C,8,H,CC,,,72.5,72.6,M,C,R,,,A,D,,R,,,,F,,,,,,,,,,323-U1345C-8H-CC-nan
323,U1345,C,10,H,CC,,,91.8,91.9,G,C,R,R,F,A,D,,,A,,R,,,,,,,,,,,323-U1345C-10H-CC-nan
323,U1345,C,12,H,CC,,,111.0,111.1,M,F,R,,F,A,D,,,A,,,,,,,,,,,,,323-U1345C-12H-CC-nan
323,U1345,C,14,H,CC,,,129.8,129.9,G,A,,,,F,A,,,D,,,,,,,,,,R,,,323-U1345C-14H-CC-nan
323,U1345,C,16,H,CC,,,148.4,148.5,M,C,R,,F,A,D,,,A,,,,,,,,,,,,,323-U1345C-16H-CC-nan
