Exp,Site,Hole,"Core,    section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus ochotensis,Actinoptychus senarius,Asteromphalus robustus,Bacterosira fragilis,Chaetoceros furcellatum spores,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Cymbella spp.,Delphineis surirella,Delphineis kippae,Detonula confervacea,Diploneis spp.,Eunotia spp.,Fragilariopsis cylindrus,Fragilariopsis oceanica,Fragilariopsis spp.,Gomphonema spp.,Navicula distans,Navicula spp.,Neodenticula seminae,Nitzschia spp.,Odontella aurita,Paralia sulcata,Pinnularia spp.,Porosira glacialis,Proboscia barboi,Proboscia curvirostris,Paralia sol,Pyxidicula zabelinae,Pyxidicula turris,Pyxidicula spp.,Rhabdonema japonicum,Rhabdonema spp.,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia hebetata f. semispina,Rhizosolenia spp.,Tetracyclus spp.,Thalassionema nitzschioides,Thalassiosira antarctica spores,Thalassiosira eccentrica,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira lacustris,Thalassiosira jouseae,Thalassiosira latimarginata,Thalassiosira nordenskioeldii,Thalassiosira oestrupii,Thalassiosira spp.,Thalassiothrix longissima,Diatom Zone (NPD) in Yanagisawa and Akiba (1998),Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1345,A,1H-CC,4.29,4.39,A,G,F,,,,C,C,,R,,C,,,,,C,C,F,,,,C,C,R,,,F,,,,,R,,,,,,R,,,F,C,R,,C,C,,F,,F,C,,Neodenticula seminae (NPD12),1,CC,H,,,,323-U1345A-1H-CC-nan,18c4aa4b7d048dc265a6f8351feeb96a
323,U1345,A,2H-CC,13.98,14.09,C,G,C,,F,,F,F,,,,F,,,R,,,R,R,,R,R,C,R,R,C,F,,,,R,,,,,,R,,R,,,,A,,,R,,,C,R,F,R,,Neodenticula seminae (NPD12),2,CC,H,,,,323-U1345A-2H-CC-nan,b288fa0dfed62d10056444f21dcf9922
323,U1345,A,3H-CC,23.82,23.92,C,G,,,,,A,C,,,,F,,,,,R,R,F,,,R,R,F,,F,R,,,,,,,,,,,,,,,,A,,,C,,,R,R,F,,,Neodenticula seminae (NPD12),3,CC,H,,,,323-U1345A-3H-CC-nan,2a99e0e126b922b3b6920ad205a1be20
323,U1345,A,4H-CC,33.34,33.44,F,M-G,F,,R,,C,,,,,,,,R,R,,,,,R,,C,F,,,,,,,R,,,R,,,R,F,,R,,R,A,,,R,,,C,,,,R,Neodenticula seminae (NPD12),4,CC,H,,,,323-U1345A-4H-CC-nan,aac45ff9dd2276d562ce3eca5bd14443
323,U1345,A,5H-CC,42.85,42.95,C,G,C,,,,F,,,,R,,,R,,,,C,,,,,C,C,,R,R,R,,,,,,,,,,,,,,F,C,,F,F,,,A,,,R,R,Neodenticula seminae (NPD12),5,CC,H,,,,323-U1345A-5H-CC-nan,2455f61d30f1ed3f105badc6f8d24225
323,U1345,A,6H-CC,51.51,51.61,C,G,F,,,,R,,,,,R,,R,R,,,,,,,,,,,A,,,,,,,,,,,,,,,,,D,,,,,,C,,,,,Neodenticula seminae (NPD12),6,CC,H,,,,323-U1345A-6H-CC-nan,b62b4394faaccc0adfaa91f4825f6e51
323,U1345,A,7H-CC,61.74,61.84,C,M,C,,,,C,,C,,R,,,R,R,,,C,,,,,C,,,F,,R,,,,,R,,,,R,F,,C,,,A,,R,R,,,C,,,C,,Neodenticula seminae (NPD12),7,CC,H,,,,323-U1345A-7H-CC-nan,b3b2b65428768456d0fca13ea3a6bac9
323,U1345,A,8H-CC,71.01,71.11,F,M,F,,,,C,F,,,,,,,R,,,C,R,,,,R,C,F,F,F,,F,F,F,,R,,,,F,R,R,,,F,A,,,,R,R,C,,R,,R,Proboscia curvirostris (NPD11),8,CC,H,,,,323-U1345A-8H-CC-nan,d60a051d3d0b2cb3659443328437b00c
323,U1345,A,9H-CC,80.54,80.64,R,M,F,,,,R,,,,,,,,,,,R,,,,,R,,,A,,,R,F,F,,R,,,,,,,,,R,A,,,,,,C,,,R,F,Proboscia curvirostris (NPD11),9,CC,H,,,,323-U1345A-9H-CC-nan,82f19e683438ac44fc705462731fc112
323,U1345,A,10H-CC,88.26,88.36,C,M-G,R,,,,C,,,,,,,,,,,F,,R,,,C,R,,R,R,F,,R,,,,R,,,R,,,,,C,A,,C,C,,C,F,F,,F,R,Proboscia curvirostris (NPD11),10,CC,H,,,,323-U1345A-10H-CC-nan,11b2fc2de7866ec049df305e25b64c22
