Exp,Hole,Core,Type,Section,Top Depth [m],Preservation,Group Abundance,Coastal,Paralia sulcata,Triceratium sp.,Resting spores of Chaetoceros,Comments,,,,,,Site,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample,eodp_id
317,A,1,H,CC,3.78,,B,,,,,,,,,,,U1354,,,,,317-U1354A-1H-CC,2c2bf1461b686ef25abb91bfcd787ac5
317,A,2,H,CC,12.26,M,C,,C,X,X,,,,,,,U1354,,,,,317-U1354A-2H-CC,26052f6599b68ab8e7844f2d3a34faea
317,A,3,H,CC,13.99,,B,,,,,,,,,,,U1354,,,,,317-U1354A-3H-CC,b8a7243e57014077085197ba307993b3
317,A,4,H,CC,14.30,,B,,X,,,,,,,,,U1354,,,,,317-U1354A-4H-CC,a53f8d54c6fddcdae2d98946169cc31a
317,A,5,H,CC,14.69,,B,,,,,,,,,,,U1354,,,,,317-U1354A-5H-CC,d512ed77d7a01676042fa9194e205669
317,A,6,H,CC,24.25,,B,,,,,,,,,,,U1354,,,,,317-U1354A-6H-CC,83b497e4d12ffdb3566bad55c6320d66
317,A,7,H,CC,31.33,,B,,,,,,,,,,,U1354,,,,,317-U1354A-7H-CC,797f54054468d86448a186aa0c814085
317,A,8,H,CC,38.14,,B,,,,,,,,,,,U1354,,,,,317-U1354A-8H-CC,d7c3096752f4bf414af52b2daff71f95
317,A,9,H,CC,46.88,P,P,,X,,,,,,,,,U1354,,,,,317-U1354A-9H-CC,1e6e8ea265e98973f4f7a585830c81ea
317,A,10,H,CC,52.41,P,P,,,,,,,,,,,U1354,,,,,317-U1354A-10H-CC,a51b98a4b91ddf1e78919817aa78d82e
317,A,11,H,CC,60.14,P,P,,,,,,,,,,,U1354,,,,,317-U1354A-11H-CC,5c674315a10d29faa9826742d774b73d
317,A,12,H,CC,64.90,,B,,,,,,,,,,,U1354,,,,,317-U1354A-12H-CC,c5cb98e225daa02a7a1cddf1621b035d
317,A,13,H,CC,73.44,,B,,,,,,,,,,,U1354,,,,,317-U1354A-13H-CC,dc1bee4e289057716144a366f20ee677
317,A,14,H,CC,75.41,P,P,,,,X,,,,,,,U1354,,,,,317-U1354A-14H-CC,9a4a799ecdf22b1c7e44724e04a44cea
317,A,15,H,CC,76.20,,B,,,,,,,,,,,U1354,,,,,317-U1354A-15H-CC,fd4af84443622045f7afa3cc7293ae92
317,A,17,H,CC,80.16,,B,,,,,,,,,,,U1354,,,,,317-U1354A-17H-CC,28de26646457079b00b11f0d24dd523e
317,A,18,H,CC,80.33,,B,,,,,,,,,,,U1354,,,,,317-U1354A-18H-CC,45fe142b60c968b33c48ee6bbab51270
317,A,19,H,CC,85.38,,B,,,,,,,,,,,U1354,,,,,317-U1354A-19H-CC,4909fb656a863958ce3e4d13e0ec3c65
317,B,1,H,CC,4.07,,B,,,,,,,,,,,U1354,,,,,317-U1354B-1H-CC,4921bf5ab193214079143f9d78f3957f
317,B,2,H,CC,11.69,,B,,,,,,,,,,,U1354,,,,,317-U1354B-2H-CC,385ad621451e8e6ec918e74b25b8acca
317,B,3,H,CC,12.09,,B,,,,,,,,,,,U1354,,,,,317-U1354B-3H-CC,e274873c8518915128b521eb6d5b4b31
317,B,4,H,CC,17.65,,B,,,,,,,,,,,U1354,,,,,317-U1354B-4H-CC,6765d59d90567c53e196735983fdc2c2
317,B,5,H,CC,20.32,,B,,,,,,,,,,,U1354,,,,,317-U1354B-5H-CC,38b4a718e57618c2c3a22814d81f52d0
317,B,6,H,CC,20.89,,B,,,,,,,,,,,U1354,,,,,317-U1354B-6H-CC,3a92eb6a9a1ba2407f24ca5f5701fe59
317,B,7,H,CC,26.51,,B,,,,,,,,,,,U1354,,,,,317-U1354B-7H-CC,101576377a3dd3b841b7efcfdf885de8
317,B,8,H,CC,33.46,,B,,,,,,,,,,,U1354,,,,,317-U1354B-8H-CC,374a2a4304d696f41b939b6ff287f608
317,B,9,H,CC,41.47,,B,,,,,,,,,,,U1354,,,,,317-U1354B-9H-CC,2741c0ef36a2925792c0e3c84fb0e88f
317,B,10,H,CC,50.30,,B,,,,,,,,,,,U1354,,,,,317-U1354B-10H-CC,406dfc8057c8433d5f9bbb689fa01fdf
317,B,11,H,CC,57.74,P,P,,X,,,,,,,,,U1354,,,,,317-U1354B-11H-CC,a90896e325ebc62ec92655bb9391b962
317,B,12,H,CC,62.45,,B,,,,,,,,,,,U1354,,,,,317-U1354B-12H-CC,d7fb2b9b22f9505cd830ab3b59dc23b4
317,B,13,H,CC,70.41,,B,,,,,,,,,,,U1354,,,,,317-U1354B-13H-CC,549ee844a8b07d54cfc8ac5fc2dfe598
317,B,14,X,CC,73.57,,B,,,,,,,,,,,U1354,,,,,317-U1354B-14X-CC,9add65cb68d558a375f9f6352f38b63b
317,B,15,X,CC,77.26,,B,,,,,,,,,,,U1354,,,,,317-U1354B-15X-CC,29e6d104223550c9a9441202d7c4aaf6
317,C,2,H,CC,142.86,,B,,,,,,,,,,,U1354,,,,,317-U1354C-2H-CC,09b9aa0cf8f8bde31e83cb602410b4ad
317,C,3,H,CC,147.39,,B,,,,,,,,,,,U1354,,,,,317-U1354C-3H-CC,96a409135f70c994ed4c9b5da89a48db
317,C,4,X,CC,149.68,,B,,,,,,,,,,,U1354,,,,,317-U1354C-4X-CC,d70b802be4ac0ff698d0fe5faaba296c
317,C,5,X,CC,152.95,,B,,,,,,,,,,,U1354,,,,,317-U1354C-5X-CC,a4177815043c7842eaa342d809d777e1
317,C,6,X,CC,158.06,,B,,,,,,,,,,,U1354,,,,,317-U1354C-6X-CC,c21f59e3d7ace472defa48c7d0d677dd
317,C,7,X,CC,161.36,,B,,,,,,,,,,,U1354,,,,,317-U1354C-7X-CC,3aaf4b61b11454ce175b5c8430806fcd
317,C,8,X,CC,161.67,,B,,,,,,,,,,,U1354,,,,,317-U1354C-8X-CC,c1210cb5e1db35c2d2f5b6945c62fce6
317,C,9,X,CC,164.10,,B,,,,,,,,,,,U1354,,,,,317-U1354C-9X-CC,463d7cec454f48b03ec6a3c676fb773b
317,C,10,X,CC,177.00,,B,,,,,,,,,,,U1354,,,,,317-U1354C-10X-CC,73c67f183cd5fc07d79be88d6f8efad8
317,C,11,X,CC,181.79,,B,,,,,,,,,,,U1354,,,,,317-U1354C-11X-CC,1b4075eaa8f99508deed0d26294ea50d
317,C,12,X,CC,182.50,,B,,,,,,,,,,,U1354,,,,,317-U1354C-12X-CC,d05688377bff30aecc84b453fa3be6c6
317,C,13,X,CC,187.79,,B,,,,,,,,,,,U1354,,,,,317-U1354C-13X-CC,c54e2e207cd3117733f43591398f37f9
317,C,14,X,CC,190.06,,B,,,,,,,,,,,U1354,,,,,317-U1354C-14X-CC,3ab709ae189de304000bdc84b162a500
317,C,15,X,CC,192.96,,B,,,,,,,,,,,U1354,,,,,317-U1354C-15X-CC,f330ca19c748b5fb74fec0f87f77bbc5
317,C,16,X,CC,196.38,,B,,,,,,,,,,,U1354,,,,,317-U1354C-16X-CC,4d29b7002c6c0a3c7987c253514cdef9
