Site,Hole,Core,Type,Section,Top Depth [m],Bottom Depth [m],preservation,Dinoflagellate cysts,Organic lining of forams,Bitectatodinium tepikiense,Brigantedinium cariacoense,Brigantedinium simplex,Brigantedinium spp.,Impagidinium spp.,Echinidinium aculeatum,cf. Hytrichosphaeropsis obscura,Islandinium minutum,Islandinium Morphtype Cesare,Operculodinium centrocarpum,O. centrocarpum var. Arctic,O. centrocarpum var. short processes,Pentapharsodinium dalei,Protoperidinium americanum,Pyxidiniopsis reticulata,Quinquecuspis concreta,Spiniferites elongatus,Spiniferites frigidus,Spiniferites spp.,Trinovantedinium variabile,Votadinium calvum,Exp,Top [cm],Bottom [cm],A/W,Sample,eodp_id
U1349,A,1,H,CC,4.8,4.9,G,A,C,,R,F,D,,,,A,,R,,R,R,R,R,,,R,R,,,323,,,,323-U1349A-1H-CC-nan,6113f16e07650231b0d7143aa3873e3d
U1349,A,2,H,CC,14.6,14.7,G,A,A,R,R,A,D,,,,A,,,,F,A,R,,,,,,,,323,,,,323-U1349A-2H-CC-nan,30a52713e5be9a4e13354f3f74ec3c09
U1349,A,3,H,CC,24.2,24.3,G,A,F,,F,A,D,,,,F,,,,,R,,,,,,,,,323,,,,323-U1349A-3H-CC-nan,b188adb2584a543885d36fe7b4ad6a79
U1349,A,4,H,CC,33.8,33.9,G,C,F,,R,A,D,,,,,,R,R,,,,,,R,R,,,,323,,,,323-U1349A-4H-CC-nan,7ba691b989b06e72572e9902924d09fe
U1349,B,1,H,CC,3.9,4,G,A,F,,P,R,A,R,,,D,R,,,,R,P,,,,R,,,,323,,,,323-U1349B-1H-CC-nan,83d237d29e4f81e1b4b6dbf69927d1ff
U1349,B,3,H,CC,23.4,23.4,G,A,C,,R,A,A,,R,,D,,R,,,R,,,P,,,,,,323,,,,323-U1349B-3H-CC-nan,1a72195336c558a34850dfc9c2c1139a
U1349,B,5,H,CC,42.2,42.3,G,C,F,,R,A,D,,,,F,,R,,,,,,,,,,,R,323,,,,323-U1349B-5H-CC-nan,0aa1b470c6b90f3d2625262b81ac2ded
U1349,B,7,H,CC,61.5,61.6,M,C,F,,,A,D,,,,R,,F,F,,R,,,,,R,,,,323,,,,323-U1349B-7H-CC-nan,dd5acadc0b7c15dc1370e1254cba9565
U1349,B,9,H,CC,80.4,80.5,G,A,B,,R,A,D,,,,R,,,,,,,,,,,,,,323,,,,323-U1349B-9H-CC-nan,7bfdcb1d3acb923b963018e29747ab65
U1349,B,11,H,CC,99.3,99.4,M,A,R,,,A,D,,,,F,,,,F,,,,,,,,,,323,,,,323-U1349B-11H-CC-nan,a5a9cd3f40ee1c64c66fd2a4f3cbb5c9
U1349,B,13,H,CC,108.9,109,G,A,R,,F,F,D,,,,,,,,,R,,,,,,,,,323,,,,323-U1349B-13H-CC-nan,4a1ad0f1a615e5b03d537300cd15f1db
U1349,B,15,H,CC,130,130.1,M,C,R,,,F,D,,,,,,F,,,,,,,,,,,,323,,,,323-U1349B-15H-CC-nan,5d39baf8a902efd60ec1d1ab21714eb7
U1349,B,17,H,CC,148.6,148.7,G,C,F,,A,A,D,,,,R,,F,R,,,,,,,,,,,323,,,,323-U1349B-17H-CC-nan,2593e70fa8e555e39fee11ae9f27ef44
U1349,B,19,H,CC,167.9,168,M,C,R,,,F,D,,,,,,A,,,F,,,,,,,,,323,,,,323-U1349B-19H-CC-nan,def4e7c920145ec62700a636ac9af32f
U1349,B,21,H,CC,187.6,187.7,M,A,F,,,A,D,,,,R,,,,,,,,,,,,,,323,,,,323-U1349B-21H-CC-nan,f75da9d9f52866469851325d0e7d90b9
U1349,B,22,H,CC,196.8,196.9,G,A,F,,R,A,D,,,R,F,,R,,,,,,,,,,,,323,,,,323-U1349B-22H-CC-nan,830aa027c122a73bd82ad6f53a14a72a
U1349,D,1,H,CC,6.5,6.6,G,A,F,,F,A,D,,,,A,R,,,,R,F,,,,,,,,323,,,,323-U1349D-1H-CC-nan,63044534129877c49e6dbca437e9743e
U1349,D,2,H,CC,16,16.1,M,A,F,,,A,D,,,,A,,,,,,,,,,,,,,323,,,,323-U1349D-2H-CC-nan,5360b9f28cf9ccaf0c222df77a398529
U1349,D,3,H,CC,25.6,25.7,M,C,F,,,A,D,,,,F,,R,,,,,,,,,,,,323,,,,323-U1349D-3H-CC-nan,fcbfb2086c976aa641ed07a21810759d
U1349,D,4,H,CC,33.4,33.5,M,C,F,,,F,D,,,,R,,,,,,,,,,,,,,323,,,,323-U1349D-4H-CC-nan,c2eac393781120f79525ddd2be53ef3e
U1349,D,5,H,CC,43.2,43.3,M,C,F,,,A,D,,,,A,,,,,,R,,,,,,,,323,,,,323-U1349D-5H-CC-nan,9959dcf8cde9803a9aed01f12ca69c7a
U1349,D,6,H,CC,53,53.1,G,A,F,,R,A,D,,,,,,,,,,,,F,,,,,,323,,,,323-U1349D-6H-CC-nan,7e05bb4b75100c363afd6e01726c2b8c
U1349,D,19,H,CC,176.8,176.9,M,C,F,,,,D,,,,F,,,,,,,,,,,,,,323,,,,323-U1349D-19H-CC-nan,82503ff546144316c64c50722665eb26
U1349,D,20,H,CC,186,186.1,G,A,F,,,A,D,,,,A,,,,,,,,,,,,,,323,,,,323-U1349D-20H-CC-nan,d1c6290c9de955cbdeb7e6faa0284d7b
U1349,D,21,H,CC,194.1,194.2,M,C,F,,R,R,D,,,,,,R,,,,,,,,,,,,323,,,,323-U1349D-21H-CC-nan,8759a21f3d3c59785cecb8dd43bac923
U1349,D,22,H,CC,200.8,200.8,M,A,C,,F,A,D,,,,F,,,,,,,,,,,,A,,323,,,,323-U1349D-22H-CC-nan,062406bcd711a9a8d2471ab0005b6896
