Exp,Site,Hole,"Core,    section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus oculatus,Amphora spp.,Aulacoseira spp.,Bacterosira fragilis,Cocconeis costata,Cocconeis vitrea,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Delphineis cf. angustata,Delphineis kippae,Delphineis surirella,Detonula confervacea,Diploneis spp.,Eunotia spp.,Fragilaria sp.,Fragilariopsis cylindrus,Fragilariopsis oceanica,Fraglariopsis spp.,Gonphonema spp.,Navicula distans,Navicula spp.,Neodenticula seminae,Nitzschia spp.,Odontella aurita,Paralia sol,Paralia sulcata,Pinnularia spp.,Porosira glacialis,Proboscia barboi,Proboscia curvirostris,Pyxidicula turris,Rhabdonema spp.,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia hebetata f. semispina,Rhizosolenia spp.,Rhizosolenia styliformis,Thalassionema nitzschioides,Thalassiosira antarctica spores,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira jouseae,Thalassiosira latimarginata,Thalassiosira lacustris,Thalassiosira nordenskioeldii,Thalassiosira spp.,Thalassiothrix longissima,Diatom Zone (NPD) in Yanagisawa and Akiba (1998),Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1345,D,1H-CC,9.66,9.76,C-A,M,F,,,,,,,,,F,,C,,,,,,R,,,,,C,F,,C,C,R,,,,,,,,,,,,A,F,R,,C,,,,F,Neodenticula seminae (NPD12),1,CC,H,,,,323-U1345D-1H-CC,2b59549647595ee4a8aa53ce6530d9e1
323,U1345,D,2H-CC,19.13,19.23,C,P-M,F,,,R,F,,,,,,,,,,,,F,C,,,R,F,F,,R,R,F,,,,,,,R,,,,,,A,F,R,,C,,,,,Neodenticula seminae (NPD12),2,CC,H,,,,323-U1345D-2H-CC,6ab728a7e4aab70f942947fb68c04854
323,U1345,D,3H-CC,29.09,29.19,F,P,R,,F,F,F,,,,R,,,,R,R,,R,,C,,,R,R,F,,,F,F,,,,,,R,,F,,,,R,A,,F,,C,,R,,R,Neodenticula seminae (NPD12),3,CC,H,,,,323-U1345D-3H-CC,b766065de23f085e256e504342e07ec2
323,U1345,D,4H-CC,38.58,38.68,C,M,F,,,,,,,,,,,C,,R,,,F,C,,,R,,C,R,,C,C,,R,,,,,,,,R,,,A,R,F,,C,,R,,,Neodenticula seminae (NPD12),4,CC,H,,,,323-U1345D-4H-CC,47dbcf71a277dad0e4add4ff7a2af248
323,U1345,D,5H-CC,47.44,47.54,A,M-G,F,,,,F,,,F,,,,,,,,,C,C,,,,F,C,C,,F,,,R,,,R,,,F,,F,,F,A,F,R,,C,,,,R,Neodenticula seminae (NPD12),5,CC,H,,,,323-U1345D-5H-CC,9861b67a80109f0fb153e6b631336e59
323,U1345,D,7H-CC,66.26,66.36,C,M,,,,,C,R,R,F,,F,,F,R,R,,,F,C,C,,,R,R,F,F,C,C,,,,,,,F,R,,F,,,C,R,R,F,,,,F,R,Neodenticula seminae (NPD12),7,CC,H,,,,323-U1345D-7H-CC,6c062b3cc475c92eb914f2a76d1a58c8
323,U1345,D,8H-CC,73.22,73.32,C,M,F,,,,F,F,,,,,R,F,,,,,C,C,R,,R,R,F,,F,F,R,F,,,R,F,,C,R,,,,,A,,,R,F,,R,F,R,Proboscia curvirostris (NPD11),8,CC,H,,,,323-U1345D-8H-CC,e66d7df1efa2bdd9a50bd7db9ce272ea
323,U1345,D,10H-CC,93.37,93.47,C,P-M,F,,,,F,,,,,,,R,,,,,R,C,,,,,,F,R,F,F,,,,,R,,F,,,,,,A,R,,F,C,,,,R,Proboscia curvirostris (NPD11),10,CC,H,,,,323-U1345D-10H-CC,d2a909f8d03571580848e257f91abbaf
323,U1345,D,11H-CC,102.67,102.77,F-C,P,,,,,F,,,,,,,F,R,,,,,C,,,R,,,F,R,C,C,,,,R,,,F,R,R,C,,,A,,,F,F,R,F,F,,Proboscia curvirostris (NPD11),11,CC,H,,,,323-U1345D-11H-CC,5e66759ed16582fd2675b54e5c43289a
323,U1345,D,12H-CC,111.93,112.03,C,M,C,R,,,R,,,R,,,,,R,,,,,F,,,,,F,R,,F,C,,,,,F,,R,,,,,,A,C,R,C,C,,R,,,Proboscia curvirostris (NPD11),12,CC,H,,,,323-U1345D-12H-CC,73a6bddca48661e7f704eee1ac41e618
323,U1345,D,13H-CC,122.55,122.65,C,M,F,,,,C,,,,,F,,R,F,,R,,C,C,,,,,F,F,,C,C,,,,R,,,F,,,,,,A,F,F,C,F,,,,R,Proboscia curvirostris (NPD11),13,CC,H,,,,323-U1345D-13H-CC,4296b2641ed8e4e5f591a4fc1d4ac03e
323,U1345,D,15H-CC,140.96,141.06,C,M,F,,,,R,,,F,,,,F,R,,F,,,F,,R,,,R,R,F,F,F,,,,F,R,,,,,R,R,,A,F,,R,C,,,,R,Proboscia curvirostris (NPD11),15,CC,H,,,,323-U1345D-15H-CC,49aae3e6bf92aab3427c9a6134905d91
323,U1345,D,16H-CC,150.41,150.51,C,M-G,R,,,,C,,,,,R,R,R,,,R,,F,C,,R,,,F,F,R,,A,,,R,,,,R,,,,,F,A,,,F,F,,F,C,,Proboscia curvirostris (NPD11),16,CC,H,,,,323-U1345D-16H-CC,50d79021a1129d74e0b6048cda102b95
