Exp,Site,Hole,"Core, Section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus ochotensis,Actinocyclus oculatus,Actinocyclus senarius,Asteromphalus brookei,Asteromphalus hyalinus,Asteromphalus robustus,Azpeitia nodulifera,Azpeitia tabularis,Azpeitia cf. tabularis,Bacterosira fragilis,Chaetoceros spp.,Chaetoceros spores,Cocconeis californica cf. kerguelensis,Cocconeis costata,Cocconeis pribilofensis,Cocconeis scutellum,Cocconeis vitrea?,Cocconeis sp. 1,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Coscinodiscus radiatus,Delpineis cf. angustata,Delphineis surirella,Delphineis kippae,Fragilariopsis cylindrus,Fragilariopsis oceanica,Kisseleviella calina,Navicula spp.,Neodenticula kamtschatica,Neodenticula koizumii,Neodenticula seminae,Nitzschia spp.,Odontella aurita,Paralia sulcata,Pinnularia spp.,Porosira glacialis,Proboscia barboi,Proboscia curvirostris,Proboscia spp.,Pyxidicula horridus,Pyxidicula turris,Pyxidicula pustulatus,Pyxidicula zabelinae,Pyxidicula sp. 2,Pyxidicula sp. 3,Pyxidicula sp. 6,Pyxilla americana,Raphoneis amphiceros,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia hebetata f. semispina,Rhizosolenia styliformis,Rhizosolenia sp.,Stauroneis sp.,Stellarima microtrias,Thalassionema nitzschioides,Thalassiosira antarctica Spore,Thalassiosira antiqua,Thalassiosira cf. jacksonii,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira jacksonii,Thalassiosira jouseae,Thalassiosira leptopus,Thalassiosira lineata,Thalassiosira nordenskioeldii,Thalassiosira oestrupii,Thalassiosira singularis,Thalassiosira trifulta,Thalassiosira cf. usatschevii,Thalassiosira spp.,Thalassiothrix longissima,Thalassionema hirosakiensis,Diatom Zone (NPD) in Yanagisawa and Akiba (1998),Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1340,A,1H-CC,3.80,3.90,C,M-G,C,F,,,,,,,,,,,R,,R,,,R,,R,R,,,F,,,,,,,,C,,R,C,,,,,,,,,,,,,,,C,,R,,,,,,C,,,,R,,,,,,,,C,,C,,,,,Neodenticula seminae (NPD 12),1,CC,H,,,,323-U1340A-1H-CC-nan,abf6227512627b9ee5f027ac970ae79c
323,U1340,A,2H-CC,13.82,13.92,A,G,F,,,,R,,,,,,,,,,,,,,,R,R,,,,,,,,,,,D,,R,R,,,,,,,,,,,,,,,F,,,,,,,,R,,,,,,,,,,,R,C,,C,,,,,,2,CC,H,,,,323-U1340A-2H-CC-nan,bafdca3ad40c95fe5795e726f323cc12
323,U1340,A,3H-CC,23.39,23.49,C,M-G,A,R,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,A,,F,,,,,,R,,,,F,,,,,,,,C,,C,,,F,,,3,CC,H,,,,323-U1340A-3H-CC-nan,26b4a6503856d45f45d779b7fd9e48ea
323,U1340,A,4H-CC,32.75,32.85,A,G,C,,,,,,,,,,,,,,,,,,,R,C,,,,,,,,,,,C,,R,,,,,,,,,,,,,,,,C,,F,,,,,,C,,,,F,,,,,,R,,C,,C,,,F,,,4,CC,H,,,,323-U1340A-4H-CC-nan,0419f4aa80ac3de1cb46be3e398e496c
323,U1340,A,5H-CC,42.35,42.45,A,M-G,C,,,,,,,,,,,F,F,,,,,,,,R,R,,,,,,,,,,C,,R,,,,R,F,,,,,,,,,,,F,,F,,,,,R,F,,,,,,,,R,,R,,C,,A,,,F,,Proboscia curvirostris (NPD 11),5,CC,H,,,,323-U1340A-5H-CC-nan,b085b7eb9cb81c6ac7e40f2c59d05972
323,U1340,A,6H-CC,51.92,52.02,A,M-G,C,C,,,,,,,,R,,F,C,,,,R,,,,R,,,,,,,,,,,C,,,,,,R,F,,,,,,,,,,,C,,R,,,R,,,C,,,,,,R,,F,,,,C,,C,,,R,,,6,CC,H,,,,323-U1340A-6H-CC-nan,75deaca2d81d82762a36e93e81ca21aa
323,U1340,A,7H-CC,61.41,61.51,A,M-G,A,,,F,R,,,F,F,,,,,,,,,,,F,,,,,,,,,,,,C,,R,R,,,F,F,,,,,,,,,,,,F,,R,,,,,C,,,,,F,,,,R,,,R,,A,,,F,,,7,CC,H,,,,323-U1340A-7H-CC-nan,e182578e204332f3dbc9176ad5d1e7bf
323,U1340,A,8H-CC,70.98,71.08,A,M-G,C,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,F,,,F,F,,,R,,,,,,,,,F,,R,R,,,,A,,,R,R,,R,,F,,,,,,C,,F,,,,8,CC,H,,,,323-U1340A-8H-CC-nan,0ddf8eab3dbb2d22a16c302c06f3410a
323,U1340,A,9H-CC,80.35,80.45,A,M-G,C,,,,,R,,,,,R,,,,,,,,,F,C,,,,,,,,,,,C,,,,,,R,F,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,C,,,9,CC,H,,,,323-U1340A-9H-CC-nan,14fcb43d2bd9d54ab8b24d9398208d7e
323,U1340,A,10H-CC,89.83,89.93,A,G,R,,,,,,,,,,,,,,,,,,,,C,,,,,,R,,,,,A,,,,,R,R,,,,,,,,,,,,F,,,,,,,R,C,,,,,,,,C,,,,C,,A,,,F,,,10,CC,H,,,,323-U1340A-10H-CC-nan,f141d09ea914fc5a0290df347fb415a3
