Exp,Hole,Core,Type,Section,Top Depth [m],Group Abundance,Preservation,Ammonia parkinsoniana f. aoteana,Anomalinoides parvumbilius,Anomalinoides sphericus,Astorononion spp.,Bolivina spp.,Bolivinita pliozea,Bulimina aculeata,Bulimina marginata,Cassidulina spp.,Cibicides spp.,Cibicidoides spp.,Elphidium advenum f. limbatum,Elphidium charlottense,Gavelinopsis spp.,Globocassidulina spp.,Globocassidulina subglobosa,Haynesina depressa,Nonionella flemingi,Nonionella spp.,Notorotalia aucklandica,Notorotalia clathrata (hornibrooki),Notorotalia depressa,Notorotalia finlayi,Notorotalia hurupiensis,Notorotalia inornata,Notorotalia profunda,Notorotalia taranakia,Notorotalia zealandica,Notorotalia spp.,Pullenia bulloides,Pyrgo anomala,Pyrgo spp.,Quinqueloculina auberiana,Quinqueloculina incisa,Quinqueloculina spp.,Rectobolivina parvula,Sigmoilopsis schlumbergeri,Siphotextularia wairoana,Sphaeroidina bulloides,Spirosigmoilopsis tenuis,Texturalia spp.,Trifarina anglosa,Trifarina spp.,Uvigerina rodleyi,Uvigerina spp.,Virgulopsis turris,Zeaflorilus parri,Others,Miscellaneous,Comments,Site,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample,eodp_id
317,A,1,H,CC,5.44,D,G,,,F,,,,,C,,,,,F,,R,,,D,,R,,,,,,R,,A,,,F,,C,,C,,,,,,,,,,,,,F,,,U1353,,,,,317-U1353A-1H-CC-nan,fd6aebd8fd90e8e784e792dd5f48c852
317,A,2,H,CC,9.33,C,G,,,,,,,,,,,,,C,,,,,,,,,,,,,,,A,,,,,A,,,,,,,,,,,,,,A,,,,U1353,,,,,317-U1353A-2H-CC-nan,5e35fadc83861e93200b53297ed5e8d5
317,A,3,H,CC,17.95,D,G,,,,F,,,,,R,,,C,C,,,,,C,,,,,,,,,,R,,,,,F,,A,,,,,,,R,,,,R,D,,,,U1353,,,,,317-U1353A-3H-CC-nan,617be8146c746542b27f271bded89b27
317,A,4,H,CC,26.72,D,M,,,C,R,,,,,,,,,R,,,,,A,,F,,,,,F,,,D,,,,R,A,,,,,,,F,,,,,,,,R,,,U1353,,,,,317-U1353A-4H-CC-nan,9e9042693eb8419ca98088e428300ff7
317,A,5,H,CC,34.08,D,G,R,,F,,,,,,R,,,,C,R,,,C,,,F,,F,,,,,,R,,,,,F,,D,,,,,,,,,,,F,A,R,,,U1353,,,,,317-U1353A-5H-CC-nan,a5b812bacaf605c160acfebcb60e7800
317,A,6,H,CC,41.37,D,G,,,C,D,,,,,,R,,,R,,,,,A,R,C,,,C,,,,,C,,,R,,R,,F,,,,,,,R,R,,,,,C,,,U1353,,,,,317-U1353A-6H-CC-nan,d7a72c2c8e676b80aa149e0520e4bf81
317,A,7,H,CC,48.33,D,G,,,,A,,,,,R,R,,,F,,,,,C,F,A,,,,,,,,,,,R,,A,,R,,,,,,,,,,,,,F,,,U1353,,,,,317-U1353A-7H-CC-nan,8b48286e06b2c32ac885b2de857a1b2a
317,A,8,H,CC,55.97,D,G,,,F,,,,,A,,,,,,F,,,,A,,,C,F,,,F,,,A,,,,,A,,F,,,,F,C,,,,,,,,,,,U1353,,,,,317-U1353A-8H-CC-nan,f727f47e61c7c0bd47a491bab2c57e47
317,B,1,H,CC,7.94,A,G,,,,,,,,,,,,,,,,,,D,,F,,,A,,,,,F,,,,,F,,C,,,,,F,,,,,,,F,,,,U1353,,,,,317-U1353B-1H-CC-nan,51743f901d545eb1247adf390afb4894
317,B,2,H,CC,16.90,D,G,,,,,,,,,,,,,C,,,,F,F,,F,,,,,,F,,,,,,,,D,F,,,,,,,,,,,,D,,,,U1353,,,,,317-U1353B-2H-CC-nan,f74c2b2b2835ec3b079a7caae2142763
