Exp,Site,Hole,"Core, section",Top Depth [m],Bottom Depth [m],Abundance,Preservation,Actinocyclus curvatulus,Actinocyclus ochotensis,Actinocyclus oculatus,Actinoptychus senarius,Amphora spp.,Asteromphalus brookei,Asteromphalus robustus,Aulacoseira spp.,Bacterosira fragilis,Cocconeis californica cf. kerguerensis,Cocconeis costata,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Delphineis cf. angustata,Delphineis kippae,Delphineis surirella,Detonula confervacea,Diploneis spp.,Encyonema spp.,Eunotia praerupta,Eunotia spp.,Fragilaria spp.,Fragilariopsis cylindrus,Fragilariopsis oceanica,Grammatophora angulata,Navicula distans,Navicula spp.,Neodenticula koizumii,Neodenticula seminae,Nitzschia spp.,Odontella aurita,Paralia sol,Paralia sulcata,Pinnularia spp.,Porosira glacialis,Proboscia curvirostris,Pyxidicula turris,Pyxidicula spp.,Pyxilla americana,Raphoneis amphiceros,Rhabdonema spp.,Rhizosolenia barboi,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. hiemalis,Rhizosolenia hebetata f. semispina,Rhizosolenia styliformis,Rhizosolenia spp.,Stauroneis spp.,Thalassionema bacillaris,Thalassionema nitzschioides,Thalassiosira antarctica spores,Thalassiosira cf. leptopus,Thalassiosira decipiens,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira jouseae,Thalassiosira latimarginata,Thalassiosira lineata,Thalassiosira nordenskioeldii,Thalassiosira oestrupii,Thalassiosira spp.,Thalassiothrix longissima,Diatom Zone (NPD) in Yanagisawa and Akiba (1998),Core,Section,Type,Top [cm],Bottom [cm],A/W,Sample,eodp_id
323,U1344,D,1H-CC,2.63,2.73,C,G,,,,R,,,,,C,,,R,R,,,,,,,,,,,,,,,T,C,F,,,C,,F,,,,,,,,F,,F,,,,,,A,,,,C,,C,,C,C,F,,Neodenticula seminae (NPD12),1,CC,H,,,,323-U1344D-1H-CC,12174c50e8a698df8e524864c51c0405
323,U1344,D,2H-CC,12.15,12.25,C,G,C,,,,,,,,F,,,,R,,F,R,,,,,,,,,,,,,F,,,,C,,R,,R,,,,,,,,,,,,,,A,,,,,,C,,,R,,,Neodenticula seminae (NPD12),2,CC,H,,,,323-U1344D-2H-CC,d35cae0174c626f39238b4b864af6d4d
323,U1344,D,3H-CC,21.52,21.62,C,G,R,,,R,,,,,C,,,,R,,,F,,,,,,,,F,,R,,,C,F,C,,C,,,,R,,,,,,,,F,,,,,,A,R,,,R,,C,,C,R,R,,Neodenticula seminae (NPD12),3,CC,H,,,,323-U1344D-3H-CC,e587ff0571a5bfa755cd7c6ad40f081b
323,U1344,D,4H-CC,31.57,31.67,C,M-G,C,F,,,,,,,F,,,,F,,,,,,,,,,,,,,,,C,,,,,,R,,,,,,R,,,,,,,,,,D,,,,,,A,,,,,F,Neodenticula seminae (NPD12),4,CC,H,,,,323-U1344D-4H-CC,59f151adbc67e0176a5827cb971839fa
323,U1344,D,5H-CC,38.05,38.21,C,M,F,,,R,,,,,F,,,,F,,,F,,,,,,,,R,,,,,F,F,,,C,R,,,,,,,,,F,,R,,,,,,A,,,,,,C,,,R,R,R,Neodenticula seminae (NPD12),5,CC,H,,,,323-U1344D-5H-CC,b348e50f7ba9f3610038186187a3f72e
323,U1344,D,6H-CC,50.11,50.21,A,G,F,,,,,R,,,C,,,,,,,,,,,,,,F,C,,,,,A,,F,,R,,R,,,,,,,,R,,,,,,,,A,,,,F,,C,,R,R,,,Neodenticula seminae (NPD12),6,CC,H,,,,323-U1344D-6H-CC,4348e23fbda44f028b30e2dfae5dc6ad
323,U1344,D,7H-CC,59.66,59.76,C,M-G,C,,,,,,,,F,,,,F,,,C,,R,,,,,,,,,F,,C,,R,C,C,F,R,,,,,,,,C,,,,,,,,C,,,,R,,C,,,,,F,Neodenticula seminae (NPD12),7,CC,H,,,,323-U1344D-7H-CC,d17b4f7dae850c0b99f19fba29593a0d
323,U1344,D,8H-CC,66.41,66.51,A,M-G,F,,,,,,,,C,,,,,,,,C,,,,,,F,C,,R,F,,C,C,,,,,F,,,,,,,,,,F,,,,,C,C,,,,R,,C,,R,,,R,Neodenticula seminae (NPD12),8,CC,H,,,,323-U1344D-8H-CC,a6633a8df2d761992f52683c24714bdd
323,U1344,D,9H-CC,78.27,78.37,C,M-G,R,,,,,,,,F,,,,,,,,R,,,F,,,,R,,,,,F,,,,A,R,R,,F,,,,,,F,R,F,,,,,,A,,,,,R,C,,,,,,Neodenticula seminae (NPD12),9,CC,H,,,,323-U1344D-9H-CC,7cdbff6c14698cdc3c3ecc6932df45cf
323,U1344,D,10H-CC,88.44,88.54,C,M,R,,,R,,,,,R,,,,,,F,C,,,R,,,R,,F,,,R,,F,C,,,A,F,,,,,,,,,,,F,,,,,F,C,,,,,,,,R,,,,Neodenticula seminae (NPD12),10,CC,H,,,,323-U1344D-10H-CC,dce3150f1dc5190d683052883bd56831
