Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Stephanopyxis turris,Rhizosolenia barboi,Nitzschia reinholdii,Neodenticula seminae,Thalassiothrix spp.,Thalassiosira oestrupii,Neodenticula koizumii,Diatom fragments (girdle bands),Neodenticula seminae (sensu Akiba),Navicula spp.,Thalassionema nitzschioides,Hemidiscus cuneiformis,Actinocyclus curvatulus,Actinocyclus oculatus,Nitzschia marina,Stephanopyxis sp.,Coscinodiscus radiatus,Cocconeis costata,Simonseniella curvirostris,Grammatophora sp.,Cymbella sp.,Cocconeis sp.,Biddulphia aurita,Coscinodiscus oculus-iridis,Rhizosolenia matuyamai,Actinoptychus senarius,Coscinodiscus sp.,Paralia sulcata,Cocconeis pellucida,Aulacosira granulata,Denticulopsis hyalina,Denticulopsis hustedtii,Rhaphoneis surirella,Neodenticula cf. N. seminae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1018,C,  1,H,CC,  11.00,      6.5200,Maruyama ,Diatoms                                      ,R              ,P                 ,                         ,F                   ,                   ,                    ,                    ,                   ,                       ,                     ,                               ,                                  ,             ,                           ,                      ,                       ,                     ,                ,                 ,                      ,R                ,                          ,                 ,            ,             ,                 ,                           ,                      ,                      ,                 ,               ,                   ,                    ,                     ,                       ,                    ,R                          ,from IR. Ch 12. Table 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1018,C,  2,H,CC,  19.00,     16.3200,Maruyama ,Diatoms                                      ,C              ,M                 ,                         ,A                   ,                   ,                    ,                    ,F                  ,                       ,                     ,C                              ,                                  ,             ,                           ,                      ,R                      ,                     ,                ,                 ,                      ,                 ,                          ,                 ,            ,             ,                 ,                           ,                      ,                      ,                 ,               ,                   ,                    ,                     ,                       ,R                   ,                           ,from IR. Ch 12. Table 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1018,C,  3,H,CC,  16.00,     25.8400,Maruyama ,Diatoms                                      ,R              ,P                 ,                         ,F                   ,                   ,                    ,                    ,                   ,                       ,                     ,                               ,                                  ,             ,                           ,                      ,                       ,                     ,                ,                 ,                      ,                 ,                          ,                 ,            ,             ,                 ,                           ,                      ,                      ,                 ,               ,                   ,                    ,                     ,                       ,R                   ,                           ,from IR. Ch 12. Table 7.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1018,C,  4,H,CC,  29.00,     35.7500,Maruyama ,Diatoms                                      ,F              ,P/M               ,                         ,A                   ,                   ,                    ,                    ,R                  ,                       ,                     ,                               ,                                  ,             ,                           ,                      ,                       ,                     ,                ,                 ,                      ,                 ,                          ,                 ,            ,             ,                 ,                           ,                      ,                      ,                 ,               ,                   ,                    ,                     ,                       ,                    ,                           ,from IR. Ch 12. Table 7.
