Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Stephanopyxis turris,Rhizosolenia barboi,Neodenticula seminae (sensu Akiba),Neodenticula koizumii,Neodenticula kamtschatica,Coscinodiscus marginatus,Thalassiosira convexa,Actinocyclus curvatulus,Actinoptychus senarius,Paralia sulcata,Nitzschia reinholdii,Neodenticula seminae,Actinocyclus oculatus,Diatom fragments (girdle bands),Thalassiosira cf. T. convexa,Simonseniella (R.) cf. S. curvirostris,Pseudoeunotia doliolus,Nitzschia marina,Neodenticula cf. N. koizumii,Hemidiscus cuneiformis,Thalassiosira eccentrica,Thalassiosira oestrupii,Rhopalodia gibba,Cocconeis scutellum,Aulacosira granulata,Actinocyclus cf. oculatus,Thalassiosira leptopus,Biddulphia aurita,Grammatophora sp.,Actinocyclus cf. curvatulus,Simonseniella curvirostris,Rhaphoneis surirella,Cymbella sp.,Aulacoseira cf. Italica,Thalassionema nitzschioides,Rhaphoneis sp.,Coscinodiscus radiatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1020,C,  1,H,CC,  11.00,      4.2700,Maruyama ,Diatoms                                      ,R              ,P/M               ,                         ,F                   ,                   ,                                  ,                     ,                         ,T                       ,                     ,T                      ,                      ,               ,                    ,T                   ,                     ,                               ,                            ,                                      ,T                     ,                ,                            ,                      ,                        ,                       ,                ,                   ,T                   ,                         ,                      ,                 ,                 ,                           ,                          ,                    ,            ,                       ,T                          ,T             ,T                     ,from IR. Ch 14. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1020,C,  2,H,CC,  14.00,     13.3600,Maruyama ,Diatoms                                      ,T              ,P                 ,                         ,T                   ,                   ,                                  ,                     ,                         ,                        ,                     ,                       ,                      ,               ,                    ,                    ,                     ,C                              ,                            ,                                      ,                      ,                ,                            ,                      ,                        ,                       ,                ,                   ,                    ,                         ,                      ,                 ,                 ,                           ,                          ,                    ,            ,                       ,                           ,              ,                      ,from IR. Ch 14. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1020,C,  3,H,CC,  26.00,     23.8700,Maruyama ,Diatoms                                      ,T              ,P                 ,                         ,F                   ,                   ,                                  ,                     ,                         ,                        ,                     ,                       ,                      ,               ,                    ,T                   ,                     ,                               ,                            ,                                      ,                      ,                ,                            ,                      ,                        ,                       ,                ,                   ,                    ,                         ,                      ,                 ,                 ,                           ,                          ,                    ,            ,                       ,                           ,              ,                      ,from IR. Ch 14. Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,NPD 12            ,              ,167,1020,C,  4,H,CC,  30.00,     33.4100,Maruyama ,Diatoms                                      ,T              ,P                 ,                         ,                    ,                   ,                                  ,                     ,                         ,                        ,                     ,                       ,                      ,T              ,                    ,T                   ,                     ,C                              ,                            ,                                      ,                      ,                ,                            ,                      ,                        ,                       ,                ,                   ,                    ,                         ,                      ,                 ,                 ,                           ,                          ,                    ,            ,                       ,                           ,              ,                      ,from IR. Ch 14. Table 6.
