Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinella dehiscens	Pulleniatina primalis	Pulleniatina obliquiloculata	Orbulina universa	Orbulina bilobata	Neogloboquadrina pseudopima/dutertrei	Neogloboquadrina pseudopima	Neogloboquadrina pachyderma	Neogloboquadrina dutertrei	Neogloboquadrina cf. N. dutertrei	Hastigerina pelagica	Globorotaloides hexagona	Globorotalia wilesi	Globorotalia viola	Globorotalia ungulata	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia scitula	Globorotalia ronda	Globorotalia puncticulata	Globorotalia menardii	Globorotalia inflata	Globorotalia incisa	Globorotalia hirsuta	Globorotalia hessi	Globorotalia fimbriata	Globorotalia exilis	Globorotalia crassula	Globorotalia crassaformis	Globorotalia bermudezi	Globorotalia aff. G. cavernula	Globoquadrina conglomerata	Globigerinoides tenellus	Globigerinoides sacculifer	Globigerinoides ruber	Globigerinoides quadrilobatus	Globigerinoides obliquus	Globigerinoides extremus	Globigerinoides conglobatus	Globigerinita glutinata	Globigerinella aequilateralis	Globigerina umbilicata	Globigerina rubescens	Globigerina quinqueloba	Globigerina falconensis	Globigerina decoraperta	Globigerina cf. G. foliata	Globigerina bulloides	Candeina nitida	Bolliella calida	Beella digitata	Comment



  SR	                 	                 	                  	              	164	 997	A	  1	H	 1	  39.00	      0.3900	Okada    	Planktonic Foraminifers                      	               	                  	.3%                      	1.4%                 	.7%                         	3.1%             	.0%              	.0%                                  	.0%                        	.0%                        	4.5%                      	.0%                              	.3%                 	.0%                     	.0%                	.3%               	1.4%                 	1.4%               	7.0%                         	.0%                   	.3%                 	.0%               	.0%                      	2.1%                 	.7%                 	1.0%               	2.1%                	.0%               	.3%                   	.0%                	.0%                  	.0%                      	.0%                   	.0%                           	.0%                       	.0%                     	14.6%                     	32.1%                	.0%                          	.0%                     	.0%                     	.3%                        	5.6%                   	12.5%                        	.0%                   	1.0%                 	.0%                    	2.8%                   	.0%                    	.0%                       	1.4%                 	.0%            	2.1%            	.3%            	Total Foram Count 287. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  1	H	 1	 114.00	      1.1400	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	3.4%                 	2.7%                        	.7%              	.0%              	.0%                                  	.0%                        	.0%                        	7.7%                      	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.3%                  	.0%                	3.0%                         	.0%                   	.7%                 	.0%               	.0%                      	.0%                  	14.4%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	2.3%                     	.0%                   	.0%                           	.0%                       	.0%                     	9.4%                      	40.6%                	.0%                          	.0%                     	.0%                     	1.3%                       	3.4%                   	4.0%                         	.0%                   	.0%                  	.0%                    	3.4%                   	.0%                    	.0%                       	2.7%                 	.0%            	.0%             	.0%            	Total Foram Count 298. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  1	H	 2	  39.00	      1.8900	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.0%                  	.0%                         	.7%              	.0%              	.0%                                  	.0%                        	.0%                        	11.6%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	7.9%                         	.0%                   	.0%                 	.0%               	.0%                      	.0%                  	16.5%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	3.4%                     	.0%                   	.0%                           	.0%                       	.0%                     	9.7%                      	31.8%                	.0%                          	.0%                     	.0%                     	.0%                        	6.4%                   	4.5%                         	.0%                   	.0%                  	.0%                    	2.2%                   	.0%                    	.0%                       	4.1%                 	.0%            	1.1%            	.0%            	Total Foram Count 267. From 164SR.Ch 34.Table 1.

  SR	                 	                 	                  	              	164	 997	A	  1	H	 2	 114.00	      2.6400	Okada    	Planktonic Foraminifers                      	               	                  	.0%                      	.0%                  	1.0%                        	1.2%             	.0%              	.0%                                  	.0%                        	.0%                        	16.0%                     	.0%                              	.0%                 	.0%                     	.0%                	.0%               	.0%                  	.0%                	5.8%                         	.0%                   	.0%                 	.0%               	.7%                      	.0%                  	11.4%               	.0%                	.0%                 	.0%               	.0%                   	.0%                	.0%                  	1.0%                     	.0%                   	.0%                           	.0%                       	.0%                     	4.1%                      	23.8%                	.0%                          	.0%                     	.0%                     	.5%                        	15.5%                  	6.6%                         	.0%                   	.7%                  	.0%                    	6.3%                   	.0%                    	.0%                       	3.2%                 	.0%            	1.9%            	.2%            	Total Foram Count 412. From 164SR.Ch 34.Table 1.
