Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygodiscus fissus,Zygodiscus elegans,Watznaueria communis,Watznaueria barnesae,Vagalapilla stradneri,Tubodiscus verenae,Thoracosphaera sp.,Parhabdolithus embergeri,Micrantholithus hoschulzii,Cyclagelosphaera deflandrei,Crucibiscutum salebrosum,Cretarhabdus conicus,Biscutum constans,Watznaueria ovata,Rotelapillus laffittei,Parhabdolithus asper,Manivitella pemmatoidea,Cretarhabdus surirellus,Conusphaera rothii,Bukrylithus ambiguus,Eiffellithus windii,Diazomatolithus lehmanii,Cyclagelosphaera margerelii,Axopodorhabdus dietzmannii,Ethmorhabdus gallicus,Assipetra infracretacea,Zygodiscus diplogrammus,Vagalapilla matalosa,Tegumentum stradneri,Percivalia fenestrata,Hemipodorhabdus gorkae,Grantarhabdus meddii,Watznaueria biporta,Tranolithus gabalus,Prediscosphaera arkhangelskyi,Corollithion ellipticum,Parhabdolithus splendens,Discorhabdus rotatorius,Broinsonia gammation,Microstaurus chiastius,Markalius circumradiatus,Scapholithus fossilis,Lithraphidites carniolensis,Parhabdolithus angustus,Eprolithus floralis,Chiastozygus litterarius,Parhabdolithus infinitus,Grantarhabdus coronadventis,Flabellites oblongus,Axopodorhabdus decorus,Octocyclus magnus,Cribrosphaerella primitiva,Cretarhabdus loriei,Lapideacassis sp.,Amphizygus brooksii,Rucinolithus irregularis,Prediscosphaera columnata,Sollasites falklandensis,Parhabdolithus achylostaurion,Zebrashapka sp.,Prediscosphaera spinosa,Broinsonia enormis,Hayesites albiensis,Corollithion achylosum,Pickelhaube furtiva,Biscutum coronum                ,Vagalapilla aachena,Corollithion signum,Broinsonia signata,Sollasites horticus,Tranolithus orionatus,Axopodorhabdus albianus,Percivillia hauxtonensis,Parhabdolithus reniformis,Eiffellithus cf. E. eximius,Cretarhabdus angustiforatus,Cylindralithus gallicus,Eiffellithus trabeculatus,Braarudosphaera regularis,Gartnerago striatum,Cribrosphaerella ehrenbergii,Sollasites hayi,Corollithion acutum,Gartnerago nanum,Eiffellithus turriseiffelii,Corollithion kennedyi,Prediscosphaera cretacea,Lithraphidites acutus,Gartnerago obliquum,Quadrum gartneri,Eprolithus moratus,Eiffellithus eximius,Chiastozygus garrisonii,Reinhardtites anthophorus,Microrhabdulus decoratus,Kamptnerius magnificus,Marthasterites furcatus,Micula staurophora,Lucianorhabdus maleformis,Vagalapilla octoradiata,Microrhabdulus belgicus,Lithastrinus grillii,Reinhardtites levis,Parhabdolithus regularis,Lucianorhabdus cayeuxii,Prediscosphaera grandis,Lucianorhabdus arcuatus,Broinsonia parca parca,Broinsonia parca constricta,Markalius inversus,Quadrum gothicum,Corollithion exiguum,Microrhabdulus elongatus,Zygodiscus spiralis,Manivitella granulata,Quadrum trifidum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC22              ,              ,122, 763,B,  8,X, 1,  18.00,    247.1800,Bralower ,Nannofossils                                 ,A              ,                  ,                 ,                  ,                    ,A                   ,                     ,                  ,                  ,R                       ,                          ,                           ,                        ,                    ,F                ,                 ,                      ,                    ,R                      ,                       ,                  ,                    ,                   ,                        ,                           ,                          ,                     ,                       ,R                      ,                    ,                    ,                     ,                      ,                    ,                   ,                   ,                             ,                       ,                        ,                       ,                    ,                      ,                        ,                     ,R                          ,                       ,                   ,R                       ,                        ,                           ,                    ,                      ,                 ,                          ,                   ,                 ,                   ,                        ,                         ,                        ,                             ,               ,                       ,R                 ,                   ,                      ,                   ,                                ,                   ,                   ,                  ,                   ,                     ,                       ,                        ,                         ,                           ,                           ,F                      ,                         ,                         ,                   ,F                           ,               ,                   ,                ,R                          ,                     ,F                       ,                     ,                   ,                ,                  ,R                   ,                       ,                         ,R                       ,                      ,                       ,F                 ,                         ,                       ,                       ,                    ,R                  ,R                       ,                       ,                       ,                       ,R                     ,R                          ,                  ,R               ,                    ,                        ,                   ,                     ,                ,from ODP LEG 122 SR Chapter 32 Table 3 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC22              ,              ,122, 763,B,  8,X, 3,  79.00,    250.7900,Bralower ,Nannofossils                                 ,A              ,                  ,                 ,                  ,                    ,A                   ,                     ,                  ,                  ,R                       ,                          ,                           ,R                       ,R                   ,R                ,                 ,                      ,                    ,R                      ,F                      ,                  ,                    ,                   ,                        ,                           ,                          ,                     ,                       ,                       ,                    ,                    ,                     ,                      ,                    ,                   ,                   ,                             ,                       ,R                       ,R                      ,                    ,                      ,                        ,                     ,F                          ,                       ,                   ,                        ,                        ,                           ,                    ,F                     ,                 ,                          ,                   ,                 ,R                  ,                        ,                         ,                        ,                             ,               ,R                      ,R                 ,                   ,                      ,                   ,R                               ,                   ,                   ,                  ,                   ,F                    ,                       ,                        ,                         ,                           ,                           ,F                      ,                         ,                         ,                   ,C                           ,               ,                   ,                ,C                          ,                     ,A                       ,                     ,R                  ,                ,                  ,R                   ,R                      ,                         ,R                       ,                      ,                       ,C                 ,                         ,                       ,                       ,                    ,R                  ,F                       ,R                      ,R                      ,                       ,F                     ,F                          ,                  ,                ,                    ,                        ,                   ,                     ,                ,from ODP LEG 122 SR Chapter 32 Table 3 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC22              ,              ,122, 763,B,  8,X,CC,  30.00,    252.6500,Bralower ,Nannofossils                                 ,A              ,                  ,                 ,                  ,R                   ,A                   ,                     ,                  ,                  ,R                       ,                          ,                           ,R                       ,R                   ,                 ,                 ,                      ,                    ,R                      ,F                      ,                  ,                    ,                   ,                        ,R                          ,                          ,                     ,                       ,                       ,                    ,                    ,                     ,                      ,                    ,                   ,                   ,                             ,                       ,                        ,                       ,                    ,                      ,                        ,                     ,R                          ,                       ,                   ,                        ,                        ,                           ,                    ,                      ,                 ,                          ,                   ,                 ,                   ,                        ,                         ,                        ,                             ,               ,R                      ,R                 ,                   ,                      ,                   ,F                               ,                   ,                   ,                  ,                   ,R                    ,                       ,                        ,                         ,                           ,                           ,F                      ,                         ,                         ,                   ,R                           ,               ,                   ,                ,F                          ,                     ,C                       ,                     ,R                  ,                ,                  ,A                   ,                       ,                         ,                        ,                      ,                       ,C                 ,                         ,                       ,                       ,                    ,R                  ,R                       ,R                      ,                       ,                       ,F                     ,F                          ,                  ,R               ,                    ,                        ,                   ,                     ,                ,from ODP LEG 122 SR Chapter 32 Table 3 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Campanian        ,                 ,CC22              ,              ,122, 763,B,  8,X,CC,  42.00,    252.7700,Bralower ,Nannofossils                                 ,A              ,                  ,                 ,                  ,                    ,A                   ,                     ,                  ,                  ,R                       ,                          ,                           ,                        ,R                   ,R                ,                 ,                      ,                    ,R                      ,F                      ,                  ,                    ,                   ,                        ,                           ,                          ,                     ,                       ,                       ,                    ,                    ,                     ,                      ,                    ,                   ,                   ,                             ,                       ,                        ,                       ,                    ,                      ,                        ,                     ,F                          ,                       ,                   ,                        ,                        ,                           ,                    ,R                     ,                 ,                          ,                   ,                 ,                   ,                        ,                         ,                        ,                             ,               ,R                      ,F                 ,                   ,                      ,                   ,                                ,                   ,                   ,                  ,                   ,R                    ,                       ,                        ,                         ,                           ,                           ,R                      ,                         ,                         ,                   ,F                           ,               ,                   ,                ,R                          ,                     ,A                       ,                     ,R                  ,R               ,                  ,C                   ,                       ,                         ,R                       ,                      ,                       ,F                 ,                         ,R                      ,                       ,                    ,F                  ,R                       ,R                      ,R                      ,                       ,C                     ,C                          ,                  ,R               ,                    ,R                       ,R                  ,R                    ,R               ,from ODP LEG 122 SR Chapter 32 Table 3 back pocket
