Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Haplophragmoides spp.,Angulogerina spp.,Angulogerina sp. A,Spirosigmoilinella compressa,Martinottiella communis,Cyclammina cancellata,Martinottiella gracilima,Martinottiella nodulosa,Miliammina echigoensis,Valvulineria sadonica,Uvigerina yabei,Uvigerina spp.,Sphaeroidina bulloides,Sigmoilopsis schlumbergeri,Cassidulina norcrossi,Oridorsalis tener,Melonis nicobarense,Uvigerina akitaensis & var.,Quadrimorphina laevigata,Pullenia salisburyi,Pullenia apertura,Parafissurina sp. B,Nonionellina labradorica,Nodosariidae (taxa),Frondicularia sp. A,Fissurina marginata,Cibicides spp.,Bulimina striata,Astrononion hamadaense,Uvigerina wakimotoensis,Pseudoparrella takayanagii,Parafissurina  sp. A,Parafissurina fersinea,Lenticulina spp.,Lagena substriata,Lagena sp. A,Lagena nebulosa,Lagena flatulenta,Lagena apiopleura,Lagena amphora,Globobulimina auriculata,Fissurina spp.,Fissurina orbignyana,Fissurina annectens,Eilohedra rotunda,Dentalina sp.,Cassidulina cushmani,Buliminella tenuata,Oridorsalis umbonatus,Cibicides wuellerstorfi,Trifarina kokozuraensis,Stainforthia complanata,Quinqueloculina sp.,Pyrgo murrhina,Pseudoparrella naraensis,Parafissurina costata,Lagena sp.,Gavelinopsis hatakeyamai,Epistominella pulchella,Cibicides asanoi,Cassidulina sp. A,Cassidulina norvangi,Bolivina pacifica,Bolivina decussata,Bolivina cf. subspinescens,Quinqueloculina vulgaris,Parafissurina lateralis crassa,Pandaglandulina sp. A,Oolina melo,Nonionella(?) fragilis   ,Lagena gracilis,Dentalina frobisherensis,Cassidulina japonica,Karreriella baccata japonica,Fissurina lucida,Textularia sp. A,Oolina striatopunctata,Lagena semilineata,Lagena distoma,Fissurina fimbriata,Fissurina cucurbitasema,Bolivinita quadrilatera,Stilostomella lepidula,Lagena tricaritortuosa,Glandulina laevigata,Cassidulina cf. japonica,Fissurina echigoensis,Planorbulina sp.,Globobulimina subaffinis,Fissurina ventricosa,Elphidium subarcticum,Planularia asanoi,Pyrgo spp.,Fissurina lagenoides,Rotaliid taxa,Cassidulina spp.,Parafrondicularia sp. A,Lagena sulcata,Bulimina marginata,Amphicoryna spp.,Stainforthia fusiformis,Lagena elongata,Globobulimina pacifica,Pararotalia sp. A,Elphidium schmitti,Anomalinoides glabrata,Pseudonodosalia appressa,Echigoina hataii,Buccella inusitata,Stilostomella ketienziensis,Stilostomella japonica,Dentalina setanaensis,Dentalina ittai ,Chilostomellina frimbriata,Lagena striata,Lagena setigera,Lagena gracillima,Uvigerina lobulata,Eponides sp. A,Cibicides sp. A,Gaudryina spp.,Elphidium clavatum,Astacolus echigoensis,Nonion japonicum,Fissurina sublagenoides,Glandulina spp.,Bolivina spp.,Pseudononion grateloupi,Buccella nipponica,Fissurina cf. wallerina,Heronallenia cf. parva,Triloculina tricarinata,Miliolinella oblonga,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 14,H, 1,  40.00,    123.6000,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                     ,                 ,                  ,                            ,                       ,                     ,                        ,                       ,                      ,T                    ,5              ,              ,                      ,                          ,8                    ,8                ,                   ,42                         ,                        ,                   ,T                ,                   ,7                       ,                   ,                   ,                   ,              ,                ,                      ,3                      ,                          ,                    ,                      ,                ,                 ,            ,               ,                 ,                 ,              ,                        ,              ,                    ,                   ,12               ,             ,                    ,                   ,                     ,                       ,                       ,4                      ,                   ,              ,                        ,                     ,          ,                        ,3                      ,                ,                 ,7                   ,                 ,T                 ,                          ,                        ,                              ,                     ,           ,                         ,               ,                        ,                    ,                            ,                ,                ,                      ,                  ,              ,                   ,                       ,                       ,                      ,                      ,                    ,                        ,                     ,                ,                        ,                    ,                     ,                 ,          ,                    ,             ,                ,                       ,              ,                  ,                ,                       ,               ,                      ,                 ,                  ,                      ,                        ,                ,                  ,                           ,                      ,                     ,                ,                          ,              ,               ,                 ,                  ,              ,T              ,              ,                  ,                     ,                ,                       ,               ,             ,                       ,T                 ,                       ,                      ,                       ,                    ,from ODP Legs 127&128 SR Chapter 22 Table 2 (back pocket)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 14,H, 2,  50.00,    124.9000,Kato     ,Benthic Foraminifers                         ,               ,M                 ,                     ,                 ,                  ,                            ,                       ,                     ,                        ,                       ,                      ,T                    ,T              ,              ,                      ,                          ,25                   ,23               ,                   ,13                         ,                        ,                   ,                 ,                   ,                        ,                   ,                   ,                   ,              ,                ,                      ,                       ,2                         ,                    ,                      ,                ,                 ,            ,               ,                 ,                 ,              ,                        ,              ,                    ,                   ,9                ,             ,                    ,                   ,                     ,                       ,3                      ,T                      ,                   ,              ,                        ,                     ,          ,                        ,6                      ,                ,T                ,6                   ,                 ,T                 ,                          ,                        ,                              ,                     ,           ,                         ,               ,                        ,5                   ,                            ,                ,                ,                      ,                  ,              ,                   ,                       ,                       ,                      ,                      ,                    ,T                       ,                     ,                ,                        ,                    ,                     ,                 ,          ,                    ,             ,                ,                       ,              ,                  ,                ,                       ,               ,                      ,                 ,                  ,                      ,                        ,                ,                  ,                           ,                      ,                     ,                ,                          ,              ,               ,                 ,3                 ,              ,T              ,              ,                  ,                     ,                ,                       ,               ,             ,                       ,                  ,                       ,                      ,T                      ,T                   ,from ODP Legs 127&128 SR Chapter 22 Table 2 (back pocket)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 14,H, 3,  40.00,    126.3000,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                     ,                 ,                  ,                            ,                       ,                     ,                        ,                       ,                      ,                     ,               ,              ,                      ,                          ,21                   ,24               ,                   ,5                          ,                        ,                   ,                 ,                   ,1                       ,                   ,                   ,                   ,              ,                ,                      ,                       ,2                         ,                    ,                      ,                ,                 ,            ,T              ,                 ,                 ,              ,                        ,              ,                    ,                   ,20               ,             ,                    ,                   ,                     ,                       ,1                      ,                       ,                   ,              ,                        ,                     ,          ,                        ,6                      ,                ,                 ,9                   ,2                ,7                 ,                          ,                        ,                              ,                     ,           ,                         ,               ,                        ,                    ,                            ,                ,                ,                      ,                  ,              ,                   ,                       ,                       ,                      ,                      ,                    ,                        ,                     ,                ,                        ,                    ,                     ,                 ,          ,                    ,             ,                ,                       ,              ,                  ,                ,T                      ,               ,                      ,                 ,                  ,                      ,                        ,                ,                  ,                           ,                      ,                     ,                ,                          ,              ,               ,T                ,                  ,              ,T              ,              ,                  ,                     ,                ,                       ,               ,             ,                       ,                  ,                       ,T                     ,                       ,                    ,from ODP Legs 127&128 SR Chapter 22 Table 2 (back pocket)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,128, 798,B, 14,H, 4,  46.00,    127.8600,Kato     ,Benthic Foraminifers                         ,               ,P                 ,                     ,4                ,                  ,                            ,                       ,                     ,                        ,                       ,                      ,                     ,               ,              ,                      ,                          ,                     ,                 ,                   ,                           ,                        ,                   ,                 ,                   ,                        ,                   ,                   ,4                  ,              ,                ,                      ,                       ,                          ,                    ,                      ,                ,                 ,            ,4              ,                 ,                 ,              ,                        ,4             ,                    ,                   ,                 ,             ,                    ,                   ,                     ,                       ,                       ,                       ,                   ,              ,                        ,                     ,          ,                        ,                       ,                ,                 ,                    ,                 ,                  ,                          ,                        ,                              ,                     ,           ,                         ,               ,                        ,81                  ,                            ,                ,                ,                      ,                  ,              ,                   ,                       ,                       ,                      ,                      ,                    ,                        ,                     ,                ,                        ,                    ,                     ,                 ,          ,                    ,4            ,                ,                       ,              ,                  ,                ,                       ,               ,                      ,                 ,                  ,                      ,                        ,                ,                  ,                           ,                      ,                     ,                ,                          ,              ,               ,                 ,                  ,              ,               ,              ,                  ,                     ,                ,                       ,               ,             ,                       ,                  ,                       ,                      ,                       ,                    ,from ODP Legs 127&128 SR Chapter 22 Table 2 (back pocket)
