original_abundance,expedition,taxon_group,normalized_abundance,definition,notes,type
2?,371,nannofossils,2?,"count, undefined suggest questionable",?,taxa
?,342,nannofossils,?,questionable occurrence,?,taxa
?,371,radiolarians,?,questionable occurrence,?,taxa
?,318,diatoms,?,questionable occurrence,?,taxa
??,318,diatoms,?,questionable occurrence,?,taxa
?,320,radiolarians,?,questionable occurrence,?,taxa
?,321,diatoms,?,questionable occurrence,?,taxa
?,342,planktic_forams,?,questionable occurrence,?,taxa
?,342,radiolarians,?,questionable occurrence,?,taxa
?,353,diatoms,?,questionable occurrence,?,taxa
?,355,nannofossils,?,questionable occurrence,?,taxa
?,371,planktic_forams,?,questionable occurrence,?,taxa
?,374,benthic_forams,?,questionable occurrence,?,taxa
?,374,diatoms,?,questionable occurrence,?,taxa
?,374,nannofossils,?,questionable occurrence,?,taxa
?,374,planktic_forams,?,questionable occurrence,?,taxa
?,375,nannofossils,?,questionable occurrence,?,taxa
?A,350,planktic_forams,A?,"questionable, abundant (10%-30% of total assemblage)",?,taxa
?C,342,nannofossils,C?,"questionable, common (>1–10 specimens per field of view)",?,taxa
?1,342,nannofossils,1?,"questionable, count (per field of view)",?,taxa
1?,342,nannofossils,1?,"questionable, count (per field of view)",?,taxa
?2,342,nannofossils,2?,"questionable, count (per field of view)",?,taxa
2?,342,nannofossils,2?,"questionable, count (per field of view)",?,taxa
F?,321,diatoms,F?,"questionable, few (>1–10 valves per counted transect)",?,taxa
F?,369,planktic_forams,F?,"questionable, few (>5%–10% of the planktonic foraminiferal assemblage)",?,taxa
F?,318,diatoms,F?,"questionable, few (≥1 valve every 10 fields of view and <1 valve per field of view).",?,taxa
?F,342,nannofossils,F?,"questionable, few (1 specimen per 1–10 fields of view)",?,taxa
F?,342,nannofossils,F?,"questionable, few (1 specimen per 1–10 fields of view)",?,taxa
P?,367,planktic_forams,P?,"questionable, present (<1% of the assemblage)",?,taxa
P?,369,planktic_forams,P?,"questionable, present (<1% of the planktonic foraminiferal assemblage)",?,taxa
?P,350,planktic_forams,P?,"questionable, present (<1% of total assemblage)",?,taxa
p?,350,planktic_forams,P?,"questionable, present (<1% of total assemblage)",?,taxa
P?,350,planktic_forams,P?,"questionable, present (<1% of total assemblage)",?,taxa
P?,371,planktic_forams,P?,"questionable, present (<2% species on the tray)",?,taxa
R-F?,318,diatoms,R-F?,"questionable, ~1 valve per 10 fields of view",?,taxa
?R,320,nannofossils,R?,"questionable, rare (<1 specimen per 10 fields of view)",?,taxa
R?,371,nannofossils,R?,"questionable, rare (<1 specimen per 10 fields of view)",?,taxa
?R,342,nannofossils,R?,"questionable, rare (<1 specimen per 10 fields of view)",?,taxa
R?,342,nannofossils,R?,"questionable, rare (<1 specimen per 10 fields of view)",?,taxa
R?,320,radiolarians,R?,"questionable, rare (<10 specimens per slide)",?,taxa
