Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age min [Ma],Upper boundary age av. [Ma],Upper boundary age max [Ma],Lower boundary age min [Ma],Lower boundary age av. [Ma],Lower boundary age max [Ma],Preservation,Group abundance,General comment,Percentage of nannos in total assemblage [%],Diatoms and siliceous plankton comment,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Bramletteius serraculoides,Calcidiscus leptoporus,Calcidiscus macintyrei,Calcidiscus pacificanus,Calcidiscus premacintyrei,Calcidiscus tropicus,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus armatus,Ceratolithus cristatus,Ceratolithus larrymayeri,Ceratolithus rugosus,Ceratolithus telesmus,Chiasmolithus altus,Chiasmolithus consuetus,Chiasmolithus eograndis,Chiasmolithus gigas,Chiasmolithus nitidus,Chiasmolithus oamaruensis,Chiasmolithus solitus,Chiasmolithus spp.,Clausicoccus obrutus,Clausicoccus subdistichus,Coccolithus eopelagicus,Coccolithus miopelagicus,Coccolithus pelagicus,Coronocyclus nitescens,Cryptococcolithus mediaperforatus,Cyclicargolithus abisectus,Cyclicargolithus floridanus,Dictyococcites bisectus,Dictyococcites bisectus (>10µm),Dictyococcites haqii,Dictyococcites hesslandii,Dictyococcites perplexus,Dictyococcites scrippsae,Dictyococcites spp. (<6 microns),Discoaster anartios,Discoaster asymmetricus,Discoaster aulakos,Discoaster barbadiensis,Discoaster bellus,Discoaster bergenii,Discoaster berggrenii,Discoaster binodosus,Discoaster blackstockae,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster deflandrei,Discoaster diastypus,Discoaster druggii,Discoaster elegans,Discoaster exilis,Discoaster hamatus,Discoaster kuepperi,Discoaster kugleri,Discoaster lenticularis,Discoaster lodoensis,Discoaster loeblichii,Discoaster mediosus,Discoaster musicus,Discoaster neohamatus,Discoaster neorectus,Discoaster pentaradiatus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster salisburgensis,Discoaster surculus,Discoaster tamalis,Discoaster tanii,Discoaster tanii nodifer,Discoaster tanii ornatus,Discoaster triradiatus,Discoaster tristellifer,Discoaster variabilis,Ellipsolithus macellus,Emiliania huxleyi,Ericsonia formosa,Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa (small <4 microns),Gephyrocapsa aperta,Gephyrocapsa caribbeanica (3-4 microns),Gephyrocapsa caribbeanica (4-5.5 microns),Gephyrocapsa ericsonii,Gephyrocapsa oceanica (3-4 microns),Gephyrocapsa oceanica (4-5.5 microns),Gephyrocapsa omega,Gephyrocapsa spp. (large >5.5 microns),Girgisia gammation,Hayaster perplexus,Hayella situliformis,Helicopontosphaera hyalina,Helicosphaera ampliaperta,Helicosphaera bramlettei,Helicosphaera carteri,Helicosphaera compacta,Helicosphaera euphratis,Helicosphaera granulata,Helicosphaera inversa,Helicosphaera recta,Helicosphaera sellii,Helicosphaera wallichii,Hughesius gizoensis,Isthmolithus recurvus,Markalius inversus,Minylitha convallis,Nannotetrina alata,Nannotetrina fulgens,Nannotetrina spp.,Neocrepidolithus spp.,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra dictyoda,Reticulofenestra gelida,Reticulofenestra hillae,Reticulofenestra lockeri,Reticulofenestra minuta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra rotaria,Reticulofenestra samodurovii,Reticulofenestra spp. small,Reticulofenestra umbilicus (>14um),Rhabdosphaera clavigera,Rhabdosphaera gladius,Rhabdosphaera inflata,Rhomboaster cuspis,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conspicuus,Sphenolithus delphix,Sphenolithus dissimilis,Sphenolithus distentus,Sphenolithus editus,Sphenolithus furcatolithoides,Sphenolithus heteromorphus,Sphenolithus intercalaris,Sphenolithus moriformis,Sphenolithus predistentus,Sphenolithus pseudoradians,Sphenolithus radians,Sphenolithus spiniger,Sphenolithus spp.,Syracosphaera pulchra,Tetralithoides symeonidesii,Thoracosphaera spp.,Toweius callosus,Toweius crassus,Toweius pertusus,Toweius spp.,Tranolithus orionatus,Tribrachiatus bramlettei,Tribrachiatus contortus,Tribrachiatus digitalis,Tribrachiatus orthostylus,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbellosphaera tenuis,Umbilicosphaera hulburtiana,Umbilicosphaera rotula,Umbilicosphaera sibogae,Umbilicosphaera sibogae var. foliosa,Zygrhablithus bijugatus,Shore File Links,File Data
350-U1436C-1H-CC-PAL-NANNO,350,U1436,C,1,1-CC,H,CC,PAL,NANNO,0,5,5.42,5.47,,,,,,,,,,,,,,G,A,,,C,,,,,,,,C,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,A,R,,A,VF,R,,,C,F,,,,,R,,,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,R,,VF,,,,,,,,,,,,,,,VF,VF,,,
350-U1436C-2H-CC-PAL-NANNO,350,U1436,C,2,2-CC,H,CC,PAL,NANNO,0,5,9.96,10.01,X G caribbeanica-E huxleyi,X,,0.09,,,,,,,,,,M,F,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,,F,F,,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436C-3H-CC-PAL-NANNO,350,U1436,C,3,3-CC,H,CC,PAL,NANNO,0,5,11.56,11.61,"B Emiliania huxleyi (Gradstein et al., 2012)",B,,0.29,CN15,Emiliania huxleyi [OB80],,,,,,,,G,C,,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,,,C,C,,,C,C,C,,,,,R,,,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,VF,,,,
350-U1436C-4H-CC-PAL-NANNO,350,U1436,C,4,4-CC,H,CC,PAL,NANNO,0,5,18.65,18.7,,,,,,,,,,,,,,E,A,,,C,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,A,,,C,C,F,,,,,VF,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,,,,,,,,,,,,,F,,,,
350-U1436C-5H-CC-PAL-NANNO,350,U1436,C,5,5-CC,H,CC,PAL,NANNO,0,5,23.72,23.77,,,,,,,,,,,,,,M,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436C-6H-CC-PAL-NANNO,350,U1436,C,6,6-CC,H,CC,PAL,NANNO,0,5,33.19,33.24,"T Pseudoemiliania lacunosa (Gradstein et al., 2012)",T,,0.44,CN14b,Ceratolithus cristatus [OB80],,,,,,,,E,A,,,C,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,V,,,C,F,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,
350-U1436C-7H-CC-PAL-NANNO,350,U1436,C,7,7-CC,H,CC,PAL,NANNO,0,5,39.02,39.07,,,,,,,,,,,,,,M,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,A,A,,,F,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436C-8F-CC-PAL-NANNO,350,U1436,C,8,8-CC,F,CC,PAL,NANNO,0,5,40.57,40.62,,,,,,,,,,,,,,G,A,,,C,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,A,A,,,C,VF,VF,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436C-9F-CC-PAL-NANNO,350,U1436,C,9,9-CC,F,CC,PAL,NANNO,0,3,44.64,44.67,,,,,,,,,,,,,,G,C,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,C,R,,F,,R,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436C-10F-CC-PAL-NANNO,350,U1436,C,10,10-CC,F,CC,PAL,NANNO,0,5,49.17,49.22,,,,,,,,,,,,,,G,A,,,C,,,,,,,,VF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VF,,,A,F,VF,,C,C,,,,,,R,,,F,,,,R,,,,,,,,,,,,,R,R,,,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,
