Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygodiscus elegans,Zeugrhabdotus erectus,Zeugrhabdotus embergeri,Watznaueria fossacincta,Watznaueria biporta,Watznaueria barnesae,Speetonia colligata,Rotelapillus laffittei,Rhagodiscus asper,Rhagodiscus achylostaurion,Retecapsa angustiforata,Reinhardtites scutula,Percivalia fenestrata,Nannoconus steinmannii steinmannii,Nannoconus ligius,Nannoconus kamptneri kamptneri,Nannoconus globulus,Nannoconus bermudezi,Microstaurus quadratus,Microstaurus chiastius,Micrantholithus obtusus,Micrantholithus hoschulzii,Markalius ellipticus,Lithraphidites carniolensis,Hayesites irregularis,Flabellites oblongus,Cruciellipsis cuvillieri,Conusphaera rothii,Conusphaera mexicana minor,Conusphaera mexicana mexicana,Chiastozygus tenuis,Calcicalathina sp. A,Assipetra terebrodentarius,Assipetra infracretacea,Rhagodiscus angustus,Lucianorhabdus salomonii,Markalius circumradiatus,Manivitella pemmatoidea,Ellipsagelosphaera britannica,Cyclagelosphaera margerelii,Diadorhombus rectus,Zygodiscus xenotus,Zeugrhabdotus trivectis,Vagalapilla sp. 1,Tubodiscus jurapelagicus,Rhagodiscus pseudoangustus,Palaeopontosphaera salebrosa,Hexapodorhabdus cuvillieri,Diazomatolithus lehmanii,Braarudosphaera bigelowii,Biscutum rotatorium,Zygrhablithus bijugatus,Thoracosphaera spp.,Sphenolithus moriformis,Reticulofenestra umbilica,Reticulofenestra spp. small,Reticulofenestra hillae,Pyrocyclus hermosus,Lanternithus minutus,Isthmolithus recurvus,Helicosphaera compacta,Discoaster tanii tanii,Discoaster tanii nodifer,Discoaster saipanensis,Discoaster binodosus,Discoaster barbadiensis,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus formosus,Coccolithus eopelagicus,Clausicoccus fenestratus,Chiasmolithus oamaruensis,Bramletteius serraculoides,Blackites spinosus,Sphenolithus predistentus,Reticulofenestra stavensis,Reticulofenestra hesslandii,Reticulofenestra hampdenensis,Reticulofenestra bisecta filewiczii,Pontosphaera spp.,Pemma papillatum,Pedinocyclus larvalis,Helicosphaera reticulata,Ericsonia formosa,Discoaster tanii ornatus,Discoaster tanii,Discoaster spp. (6 rays),Discoaster deflandrei,Cyclicargolithus floridanus (< 9 microns),Coronocyclus nitescens,Clausicoccus obrutus,Blackites tenuis,Dictyococcites retiformis,Calcidiscus protoannulus,Pontosphaera multipora,Helicosphaera bramlettei,Chiasmolithus titus,Transversopontis pulcheroides,Thoracosphaera saxea,Sphenolithus radians,Reticulofenestra daviesii,Orthozygus aureus,Helicosphaera seminulum,Helicosphaera euphratis,Geminilithella bramlettei,Clausicoccus subdistichus,Chiasmolithus altus,Bicolumnus ovatus,Sphenolithus distentus,Sphenolithus conicus,Helicosphaera recta,Helicosphaera lophota,Ericsonia detecta,Discoaster adamanteus,Cyclicargolithus abisectus (> 10 microns),Coccolithus miopelagicus,Helicosphaera wilcoxonii,Chiasmolithus spp.,Chiasmolithus medius,Sphenolithus akropodus,Ilselithina fusa,Helicosphaera intermedia,Ericsonia sp. 1,Sphenolithus umbrellus,Rhabdosphaera clavigera,Helicosphaera perch-nielseniae,Triquetrorhabdulus carinatus,Sphenolithus ciperoensis,Reticulofenestra circus,Reticulofenestra bisecta bisecta,Helicosphaera obliqua,Helicosphaera aff. H. carteri,Helicosphaera limasera,Corannulus germanicus,Reticulofenestra cf. R. haqii,Pyrocyclus orangensis,Micrantholithus aequalis,Helicosphaera truempyi,Helicosphaera elongata,Sphenolithus dissimilis,Helicosphaera carteri,Umbilicosphaera jafari,Syracosphaera lamina,Sphenolithus grandis,Reticulofenestra moguntina,Reticulofenestra lockerii,Reticulofenestra haqii,Pyrocyclus inversus,Pontosphaera segmenta,Pontosphaera longiforaminis,Hughesius tasmaniae,Helicosphaera euphratis (< 8 microns),Discoaster obtusus,Cyclicargolithus floridanus (9-10 microns),Calcidiscus radiatus,Triquetrorhabdulus milowii,Triquetrorhabdulus challengeri,Reticulofenestra producta,Coronocyclus nitescens (thick),Camuralithus pelliculatus,Pontosphaera enormis,Calcidiscus fuscus,Tetralithoides symeonidesii,Coccolithus streckerii,Reticulofenestra minutula,Coronocyclus aff. C. prionion,Rhabdosphaera procera,Reticulofenestra minuta,Pontosphaera callosa,Pontosphaera anisotrema,Discoaster deflandrei (5 ray),Coccolithus sp. 1,Calcidiscus pataecus,Coronocyclus nitescens (elliptical),Discoaster lautus,Sphenolithus aubryae,Discoaster druggii (< 15 microns),Discoaster aulakos,Discoaster druggii,Cryptococcolithus mediaperforatus,Calcidiscus tropicus (< 6 microns),Sphenolithus cometa,Helicosphaera mediterranea,Sphenolithus abies,Helicosphaera granulata,Discoaster calculosus,Calcidiscus tropicus (> 6 microns),Reticulofenestra perplexa,Geminilithella rotula,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP25              ,              ,149, 899,B,  8,R, 5,  21.00,    298.8100,de Kaenel,Nannofossils                                 ,A              ,                  ,                  ,                     ,                       ,                       ,                   ,                    ,                   ,                      ,                 ,                          ,                       ,                     ,                     ,                                  ,                 ,                              ,                   ,                    ,                      ,                      ,                       ,                          ,                    ,                           ,                     ,                    ,                        ,                  ,                          ,                             ,                   ,                    ,                          ,                       ,                    ,                        ,                        ,                       ,                             ,                           ,                   ,                  ,                       ,                 ,                        ,                          ,                            ,                          ,                        ,                         ,                   ,+                      ,                   ,F                      ,                         ,                           ,                       ,                   ,                    ,                     ,                      ,                      ,                        ,                      ,                    ,                       ,                           ,F                    ,                    ,                       ,+                       ,                         ,                          ,                  ,                         ,F                         ,                           ,                             ,+                                  ,+                ,                ,                     ,                        ,                 ,                        ,                ,R                       ,+                    ,A                                        ,                      ,                    ,                ,                         ,                        ,                      ,                        ,                   ,                             ,                    ,                    ,R                        ,                 ,                       ,+                      ,                         ,                         ,                   ,+                ,                      ,                    ,R                  ,                     ,                 ,+                    ,R                                        ,                        ,                        ,                  ,                    ,                      ,                ,+                       ,               ,                      ,                       ,                              ,                            ,+                       ,                       ,                                ,                     ,                             ,                      ,                     ,                             ,                     ,                        ,                      ,                      ,                       ,                     ,                      ,                    ,                    ,                          ,                         ,                      ,                   ,                     ,                           ,                   ,                                     ,                  ,                                          ,                    ,                          ,                              ,                         ,                              ,                         ,                    ,                  ,                           ,                      ,                         ,                             ,                     ,                       ,                    ,                       ,                             ,                 ,                    ,                                   ,                 ,                    ,                                 ,                  ,                  ,                                 ,                                  ,                   ,                          ,                  ,                       ,                     ,                                  ,                         ,                     ,                      ,from 149 SR. Chapter 4. Table 7. pages 100 - 103.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP25              ,              ,149, 899,B,  8,R, 6, 122.00,    301.3200,de Kaenel,Nannofossils                                 ,A              ,M                 ,                  ,                     ,                       ,                       ,                   ,                    ,                   ,                      ,                 ,                          ,                       ,                     ,                     ,                                  ,                 ,                              ,                   ,                    ,                      ,                      ,                       ,                          ,                    ,                           ,                     ,                    ,                        ,                  ,                          ,                             ,                   ,                    ,                          ,                       ,                    ,                        ,                        ,                       ,                             ,                           ,                   ,                  ,                       ,                 ,                        ,                          ,                            ,                          ,                        ,                         ,                   ,F                      ,                   ,F                      ,                         ,                           ,                       ,                   ,                    ,                     ,                      ,                      ,                        ,                      ,                    ,                       ,                           ,C                    ,                    ,                       ,+                       ,                         ,                          ,                  ,                         ,R                         ,+                          ,R                            ,                                   ,R                ,                ,                     ,                        ,                 ,                        ,                ,                        ,F                    ,A                                        ,+                     ,R                   ,+               ,                         ,                        ,                      ,+                       ,                   ,                             ,+                   ,                    ,+                        ,+                ,                       ,F                      ,+                        ,                         ,+                  ,                 ,                      ,R                   ,F                  ,                     ,                 ,                     ,R                                        ,                        ,+                       ,                  ,+                   ,                      ,+               ,                        ,               ,+                     ,                       ,R                             ,                            ,F                       ,                       ,R                               ,                     ,                             ,                      ,                     ,                             ,                     ,                        ,                      ,                      ,                       ,                     ,                      ,                    ,                    ,                          ,                         ,                      ,                   ,                     ,                           ,                   ,                                     ,                  ,                                          ,                    ,                          ,                              ,                         ,                              ,                         ,                    ,                  ,                           ,                      ,                         ,                             ,                     ,                       ,                    ,                       ,                             ,                 ,                    ,                                   ,                 ,                    ,                                 ,                  ,                  ,                                 ,                                  ,                   ,                          ,                  ,                       ,                     ,                                  ,                         ,                     ,                      ,from 149 SR. Chapter 4. Table 7. pages 100 - 103.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP25              ,              ,149, 899,B,  9,R, 1,  19.00,    302.4900,de Kaenel,Nannofossils                                 ,A              ,P                 ,                  ,                     ,                       ,                       ,                   ,                    ,                   ,                      ,                 ,                          ,                       ,                     ,                     ,                                  ,                 ,                              ,                   ,                    ,                      ,                      ,                       ,                          ,                    ,                           ,                     ,                    ,                        ,                  ,                          ,                             ,                   ,                    ,                          ,                       ,                    ,                        ,                        ,                       ,                             ,                           ,                   ,                  ,                       ,                 ,                        ,                          ,                            ,                          ,                        ,                         ,                   ,                       ,                   ,F                      ,                         ,                           ,                       ,                   ,                    ,                     ,                      ,                      ,                        ,                      ,                    ,                       ,                           ,F                    ,                    ,                       ,+                       ,                         ,                          ,                  ,                         ,R                         ,                           ,                             ,                                   ,                 ,                ,                     ,                        ,                 ,                        ,                ,+                       ,F                    ,A                                        ,                      ,                    ,                ,                         ,                        ,                      ,                        ,                   ,                             ,                    ,                    ,+                        ,                 ,                       ,                       ,                         ,+                        ,                   ,                 ,                      ,                    ,+                  ,                     ,                 ,                     ,F                                        ,                        ,                        ,                  ,                    ,                      ,                ,                        ,               ,                      ,                       ,                              ,                            ,+                       ,                       ,                                ,                     ,                             ,                      ,                     ,R                            ,+                    ,                        ,                      ,                      ,                       ,                     ,                      ,                    ,                    ,                          ,                         ,                      ,                   ,                     ,                           ,                   ,                                     ,                  ,                                          ,                    ,                          ,                              ,                         ,                              ,                         ,                    ,                  ,                           ,                      ,                         ,                             ,                     ,                       ,                    ,                       ,                             ,                 ,                    ,                                   ,                 ,                    ,                                 ,                  ,                  ,                                 ,                                  ,                   ,                          ,                  ,                       ,                     ,                                  ,                         ,                     ,                      ,from 149 SR. Chapter 4. Table 7. pages 100 - 103.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP25              ,              ,149, 899,B,  9,R, 2,  72.00,    304.5200,de Kaenel,Nannofossils                                 ,A              ,P                 ,                  ,                     ,                       ,                       ,                   ,                    ,                   ,                      ,                 ,                          ,                       ,                     ,                     ,                                  ,                 ,                              ,                   ,                    ,                      ,                      ,                       ,                          ,                    ,                           ,                     ,                    ,                        ,                  ,                          ,                             ,                   ,                    ,                          ,                       ,                    ,                        ,                        ,                       ,                             ,                           ,                   ,                  ,                       ,                 ,                        ,                          ,                            ,                          ,                        ,                         ,                   ,F                      ,                   ,F                      ,                         ,                           ,                       ,                   ,                    ,                     ,                      ,                      ,                        ,                      ,                    ,                       ,                           ,C                    ,                    ,                       ,+                       ,                         ,                          ,                  ,                         ,R                         ,R                          ,R                            ,R                                  ,+                ,                ,                     ,+                       ,                 ,                        ,                ,                        ,R                    ,A                                        ,+                     ,F                   ,                ,                         ,                        ,R                     ,                        ,                   ,                             ,                    ,                    ,+                        ,+                ,                       ,F                      ,+                        ,                         ,+                  ,+                ,                      ,+                   ,F                  ,                     ,                 ,                     ,+                                        ,                        ,+                       ,                  ,                    ,                      ,R               ,                        ,               ,                      ,+                      ,+                             ,                            ,F                       ,                       ,+                               ,                     ,                             ,                      ,+                    ,                             ,                     ,                        ,                      ,                      ,                       ,                     ,                      ,                    ,                    ,                          ,                         ,                      ,                   ,                     ,                           ,                   ,                                     ,                  ,                                          ,                    ,                          ,                              ,                         ,                              ,                         ,                    ,                  ,                           ,                      ,                         ,                             ,                     ,                       ,                    ,                       ,                             ,                 ,                    ,                                   ,                 ,                    ,                                 ,                  ,                  ,                                 ,                                  ,                   ,                          ,                  ,                       ,                     ,                                  ,                         ,                     ,                      ,from 149 SR. Chapter 4. Table 7. pages 100 - 103.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP25              ,              ,149, 899,B,  9,R, 3,  83.00,    306.1300,de Kaenel,Nannofossils                                 ,A              ,P                 ,                  ,                     ,                       ,                       ,                   ,                    ,                   ,                      ,                 ,                          ,                       ,                     ,                     ,                                  ,                 ,                              ,                   ,                    ,                      ,                      ,                       ,                          ,                    ,                           ,                     ,                    ,                        ,                  ,                          ,                             ,                   ,                    ,                          ,                       ,                    ,                        ,                        ,                       ,                             ,                           ,                   ,                  ,                       ,                 ,                        ,                          ,                            ,                          ,                        ,                         ,                   ,+                      ,                   ,F                      ,                         ,                           ,                       ,                   ,                    ,                     ,                      ,                      ,                        ,                      ,                    ,                       ,                           ,F                    ,                    ,                       ,R                       ,                         ,                          ,                  ,                         ,F                         ,                           ,+                            ,+                                  ,                 ,                ,                     ,                        ,                 ,                        ,                ,F                       ,R                    ,A                                        ,+                     ,                    ,                ,                         ,                        ,                      ,                        ,                   ,                             ,                    ,                    ,+                        ,                 ,                       ,+                      ,                         ,                         ,+                  ,+                ,                      ,                    ,                   ,                     ,                 ,                     ,R                                        ,+                       ,                        ,                  ,                    ,                      ,                ,                        ,               ,                      ,                       ,                              ,                            ,R                       ,                       ,                                ,                     ,                             ,                      ,                     ,                             ,                     ,                        ,                      ,                      ,                       ,                     ,                      ,                    ,                    ,                          ,                         ,                      ,                   ,                     ,                           ,                   ,                                     ,                  ,                                          ,                    ,                          ,                              ,                         ,                              ,                         ,                    ,                  ,                           ,                      ,                         ,                             ,                     ,                       ,                    ,                       ,                             ,                 ,                    ,                                   ,                 ,                    ,                                 ,                  ,                  ,                                 ,                                  ,                   ,                          ,                  ,                       ,                     ,                                  ,                         ,                     ,                      ,from 149 SR. Chapter 4. Table 7. pages 100 - 103.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP25              ,              ,149, 899,B,  9,R, 4,  60.00,    307.4000,de Kaenel,Nannofossils                                 ,A              ,M                 ,                  ,                     ,                       ,                       ,                   ,                    ,                   ,                      ,                 ,                          ,                       ,                     ,                     ,                                  ,                 ,                              ,                   ,                    ,                      ,                      ,                       ,                          ,                    ,                           ,                     ,                    ,                        ,                  ,                          ,                             ,                   ,                    ,                          ,                       ,                    ,                        ,                        ,                       ,                             ,                           ,                   ,                  ,                       ,                 ,                        ,                          ,                            ,                          ,                        ,+                        ,                   ,F                      ,                   ,R                      ,                         ,                           ,                       ,                   ,                    ,                     ,+                     ,                      ,                        ,                      ,                    ,                       ,                           ,C                    ,                    ,                       ,+                       ,                         ,                          ,+                 ,                         ,+                         ,+                          ,F                            ,R                                  ,F                ,                ,                     ,                        ,                 ,                        ,                ,+                       ,F                    ,A                                        ,+                     ,C                   ,                ,                         ,                        ,+                     ,                        ,                   ,                             ,                    ,                    ,+                        ,+                ,                       ,F                      ,R                        ,                         ,+                  ,                 ,                      ,R                   ,F                  ,                     ,                 ,+                    ,R                                        ,                        ,                        ,                  ,+                   ,                      ,+               ,                        ,               ,                      ,+                      ,+                             ,+                           ,F                       ,                       ,+                               ,+                    ,                             ,+                     ,                     ,                             ,                     ,                        ,                      ,                      ,                       ,                     ,                      ,                    ,                    ,                          ,                         ,                      ,                   ,                     ,                           ,                   ,                                     ,                  ,                                          ,                    ,                          ,                              ,                         ,                              ,                         ,                    ,                  ,                           ,                      ,                         ,                             ,                     ,                       ,                    ,                       ,                             ,                 ,                    ,                                   ,                 ,                    ,                                 ,                  ,                  ,                                 ,                                  ,                   ,                          ,                  ,                       ,                     ,                                  ,                         ,                     ,                      ,from 149 SR. Chapter 4. Table 7. pages 100 - 103.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP25              ,              ,149, 899,B,  9,R, 5,  21.00,    308.5100,de Kaenel,Nannofossils                                 ,A              ,P                 ,                  ,                     ,                       ,                       ,                   ,                    ,                   ,                      ,                 ,                          ,                       ,                     ,                     ,                                  ,                 ,                              ,                   ,                    ,                      ,                      ,                       ,                          ,                    ,                           ,                     ,                    ,                        ,                  ,                          ,                             ,                   ,                    ,                          ,                       ,                    ,                        ,                        ,                       ,                             ,                           ,                   ,                  ,                       ,                 ,                        ,                          ,                            ,                          ,                        ,                         ,                   ,F                      ,                   ,F                      ,                         ,                           ,                       ,                   ,                    ,                     ,                      ,                      ,                        ,                      ,                    ,                       ,                           ,C                    ,                    ,                       ,+                       ,                         ,                          ,                  ,                         ,F                         ,                           ,R                            ,R                                  ,F                ,                ,                     ,                        ,                 ,                        ,                ,                        ,F                    ,A                                        ,+                     ,R                   ,                ,                         ,                        ,                      ,                        ,                   ,                             ,+                   ,                    ,R                        ,+                ,                       ,F                      ,                         ,+                        ,+                  ,                 ,                      ,                    ,F                  ,                     ,+                ,                     ,R                                        ,+                       ,                        ,                  ,                    ,                      ,                ,+                       ,               ,                      ,                       ,+                             ,                            ,R                       ,                       ,R                               ,+                    ,+                            ,                      ,                     ,                             ,                     ,                        ,                      ,                      ,                       ,                     ,                      ,                    ,                    ,                          ,                         ,                      ,                   ,                     ,                           ,                   ,                                     ,                  ,                                          ,                    ,                          ,                              ,                         ,                              ,                         ,                    ,                  ,                           ,                      ,                         ,                             ,                     ,                       ,                    ,                       ,                             ,                 ,                    ,                                   ,                 ,                    ,                                 ,                  ,                  ,                                 ,                                  ,                   ,                          ,                  ,                       ,                     ,                                  ,                         ,                     ,                      ,from 149 SR. Chapter 4. Table 7. pages 100 - 103.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP25              ,              ,149, 899,B,  9,R, 6,  15.00,    309.9500,de Kaenel,Nannofossils                                 ,A              ,M                 ,                  ,                     ,                       ,                       ,                   ,                    ,                   ,                      ,                 ,                          ,                       ,                     ,                     ,                                  ,                 ,                              ,                   ,                    ,                      ,                      ,                       ,                          ,                    ,                           ,                     ,                    ,                        ,                  ,                          ,                             ,                   ,                    ,                          ,                       ,                    ,                        ,                        ,                       ,                             ,                           ,                   ,                  ,                       ,                 ,                        ,                          ,                            ,                          ,                        ,                         ,                   ,F                      ,                   ,F                      ,                         ,                           ,                       ,                   ,                    ,                     ,                      ,                      ,                        ,                      ,                    ,                       ,                           ,F                    ,                    ,                       ,F                       ,+                        ,+                         ,                  ,                         ,+                         ,                           ,R                            ,+                                  ,R                ,                ,                     ,                        ,+                ,                        ,                ,+                       ,R                    ,A                                        ,+                     ,F                   ,                ,                         ,                        ,+                     ,+                       ,                   ,                             ,+                   ,                    ,R                        ,+                ,                       ,R                      ,+                        ,                         ,+                  ,                 ,                      ,R                   ,F                  ,                     ,                 ,+                    ,F                                        ,                        ,+                       ,                  ,+                   ,                      ,                ,                        ,               ,+                     ,+                      ,+                             ,                            ,R                       ,                       ,                                ,                     ,                             ,                      ,                     ,                             ,                     ,                        ,                      ,                      ,                       ,                     ,                      ,                    ,                    ,                          ,                         ,                      ,                   ,                     ,                           ,                   ,                                     ,                  ,                                          ,                    ,                          ,                              ,                         ,                              ,                         ,                    ,                  ,                           ,                      ,                         ,                             ,                     ,                       ,                    ,                       ,                             ,                 ,                    ,                                   ,                 ,                    ,                                 ,                  ,                  ,                                 ,                                  ,                   ,                          ,                  ,                       ,                     ,                                  ,                         ,                     ,                      ,from 149 SR. Chapter 4. Table 7. pages 100 - 103.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,NP24              ,              ,149, 899,B, 10,R, 2, 147.00,    314.9700,de Kaenel,Nannofossils                                 ,V              ,P                 ,                  ,                     ,                       ,                       ,                   ,                    ,                   ,                      ,                 ,                          ,                       ,                     ,                     ,                                  ,                 ,                              ,                   ,                    ,                      ,                      ,                       ,                          ,                    ,                           ,                     ,                    ,                        ,                  ,                          ,                             ,                   ,                    ,                          ,                       ,                    ,                        ,                        ,                       ,                             ,                           ,                   ,                  ,                       ,                 ,                        ,                          ,                            ,                          ,                        ,                         ,                   ,+                      ,                   ,C                      ,                         ,                           ,                       ,                   ,                    ,                     ,                      ,                      ,                        ,                      ,                    ,                       ,                           ,C                    ,                    ,                       ,+                       ,                         ,                          ,                  ,R                        ,F                         ,                           ,R                            ,+                                  ,+                ,                ,                     ,                        ,                 ,                        ,                ,                        ,F                    ,A                                        ,R                     ,                    ,                ,                         ,                        ,                      ,                        ,                   ,                             ,                    ,                    ,F                        ,                 ,                       ,R                      ,                         ,                         ,+                  ,                 ,R                     ,                    ,R                  ,                     ,+                ,                     ,F                                        ,R                       ,                        ,                  ,                    ,                      ,                ,F                       ,               ,                      ,                       ,+                             ,+                           ,+                       ,+                      ,                                ,                     ,                             ,                      ,                     ,                             ,                     ,                        ,                      ,                      ,                       ,                     ,                      ,                    ,                    ,                          ,                         ,                      ,                   ,                     ,                           ,                   ,                                     ,                  ,                                          ,                    ,                          ,                              ,                         ,                              ,                         ,                    ,                  ,                           ,                      ,                         ,                             ,                     ,                       ,                    ,                       ,                             ,                 ,                    ,                                   ,                 ,                    ,                                 ,                  ,                  ,                                 ,                                  ,                   ,                          ,                  ,                       ,                     ,                                  ,                         ,                     ,                      ,from 149 SR. Chapter 4. Table 7. pages 100 - 103.
