Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinella dehiscens,Orbulina universa,Neogloboquadrina pachyderma (dex.),Globorotalia tumida,Globorotalia truncatulinoides (dex.),Globorotalia menardii,Globorotalia inflata (4 chambered),Globorotalia inflata (3 chambered),Globorotalia crassaformis,Globorotalia cf. tosaensis (sin.),Globigerinoides ruber (white),Globigerinoides gomitulus,Globigerina falconensis,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Globigerinita uvula,Globigerinita glutinata,Globigerinella aequilateralis (symmetrical),Globigerina quinqueloba,Globigerina hermanae (dex.),Globigerina cryophila (dex.),Globigerina bulloides,Globorotalia scitula gigantea,Globigerinoides trilobus,Globigerinoides sacculifer,Bolliella adamsi,Globorotalia truncatulinoides (sin.),Globorotalia scitula,Globigerinoides tenellus,Globigerinita humilis          ,Globorotalia cf. tosaensis (dex.),Globoquadrina hexagona,Globigerina digitata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 37,R,CC,   8.00,    735.7600,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                ,+                                 ,                   ,                                    ,                     ,+                                 ,+                                 ,+                        ,+                                ,+                            ,+                        ,+                      ,+                           ,+                         ,                   ,+                      ,+                                          ,                       ,+                          ,+                           ,+                    ,                             ,+                       ,+                         ,                ,                                    ,+                   ,                        ,                               ,                                 ,                      ,                    ,from ODP Leg 126 SR Chapter 18 Table 3 p 276-277
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 38,R,CC,  12.00,    748.0000,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                        ,+                ,+                                 ,+                  ,+                                   ,                     ,+                                 ,+                                 ,+                        ,+                                ,+                            ,+                        ,                       ,+                           ,+                         ,                   ,+                      ,                                           ,                       ,+                          ,+                           ,+                    ,                             ,+                       ,+                         ,                ,                                    ,+                   ,                        ,                               ,+                                ,+                     ,+                   ,from ODP Leg 126 SR Chapter 18 Table 3 p 276-277
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 39,R,CC,  21.00,    755.4900,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                ,+                                 ,                   ,                                    ,                     ,+                                 ,+                                 ,+                        ,                                 ,+                            ,+                        ,+                      ,+                           ,                          ,+                  ,+                      ,                                           ,                       ,+                          ,+                           ,+                    ,                             ,+                       ,                          ,                ,+                                   ,+                   ,+                       ,+                              ,                                 ,                      ,                    ,from ODP Leg 126 SR Chapter 18 Table 3 p 276-277
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 45,R,CC,  16.00,    813.6100,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                        ,                 ,+                                 ,+                  ,                                    ,+                    ,+                                 ,+                                 ,+                        ,+                                ,+                            ,+                        ,                       ,+                           ,+                         ,                   ,+                      ,                                           ,                       ,+                          ,                            ,+                    ,+                            ,+                       ,+                         ,+               ,                                    ,                    ,                        ,                               ,                                 ,                      ,                    ,from ODP Leg 126 SR Chapter 18 Table 3 p 276-277
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 46,R,CC,  18.00,    822.8000,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                ,+                                 ,+                  ,                                    ,                     ,+                                 ,+                                 ,+                        ,+                                ,+                            ,+                        ,+                      ,+                           ,+                         ,+                  ,+                      ,+                                          ,+                      ,+                          ,+                           ,+                    ,                             ,                        ,                          ,                ,                                    ,                    ,                        ,                               ,                                 ,                      ,                    ,from ODP Leg 126 SR Chapter 18 Table 3 p 276-277
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,B, 47,R, 1,  41.00,    830.0100,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                        ,+                ,+                                 ,+                  ,+                                   ,+                    ,+                                 ,+                                 ,+                        ,+                                ,+                            ,+                        ,+                      ,                            ,                          ,                   ,                       ,                                           ,                       ,                           ,                            ,                     ,                             ,                        ,                          ,                ,                                    ,                    ,                        ,                               ,                                 ,                      ,                    ,from ODP Leg 126 SR Chapter 18 Table 3 p 276-277
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
