Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Lithology max. grain size class,Lithology max. grain size rank [read only],Grading,Sorting,Upper boundary ave. grain size class,Lowerr boundary ave. grain size class,General interval comment,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Primary trace fossils,Secondary trace fossils,Minor trace fossils,Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
362-U1480F-2H-1-A,0,36,98,98.36,IIA,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,GLEY 1 4/N (dark gray),planar,sharp,planar sharp,horizontal,very thin bed,unlithified,silt,2,non-graded,moderate,,,,planar lamination,sparse,2,Nereites,Phycosiphon,,,,,,,,,,,,,,362,U1480,F,2,H,1,A,,,,0
362-U1480F-2H-1-A,36,72,98.36,98.72,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,inclined,thick bed,unlithified,fine sand,4,non-graded,poor,,,Angular clay clast 1 x 2.5 cm dimension @ 44 cm. May be incorporated from underlying disturbed clays and this layer may have been homogenized by drilling.,structureless,absent,1,,,,,,,,,,,,,,,,362,U1480,F,2,H,1,A,,,,1
362-U1480F-2H-1-A,72,150,98.72,99.5,IIA,,silty clay,,silty clay,silty clay,silty clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,silt,2,,,,,Severe drilling deformation.,,,,,,,,,,,,,,,,,,,362,U1480,F,2,H,1,A,,,,2
362-U1480F-2H-2-A,0,30,99.5,99.8,IIA,,alternating sand/mud layers,with clay,alternating sand/mud layers,alternating sand/mud layers with clay,alternating sand/mud layers with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,silt,2,non-graded,,,,Severe drilling deformation.,,,,,,,,,,,,,,,,,,,362,U1480,F,2,H,2,A,,,,3
362-U1480F-2H-2-A,30,131,99.8,100.81,IIA,,sand-silt-clay,,sand-silt-clay,sand-silt-clay,sand-silt-clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,silt,2,,,,,Severe drilling deformation.,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,2,H,2,A,,,,4
362-U1480F-2H-3-A,0,150,101,102.5,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,,,,,Severe drilling deformation.,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,2,H,3,A,,,,5
362-U1480F-2H-4-A,0,150,102.5,104,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,,,,,Severe drilling deformation.,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,2,H,4,A,,,,6
362-U1480F-2H-5-A,0,117,104,105.17,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,,,,,Severe drilling deformation.,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,2,H,5,A,,,,7
362-U1480F-2H-6-A,0,91,105.17,106.08,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,,,,,Severe drilling deformation.,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,2,H,6,A,,,,8
362-U1480F-2H-7-A,0,49,106.08,106.57,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,,,,,Severe drilling deformation.,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,2,H,7,A,,,,9
362-U1480F-2H-CC-A,0,11,106.57,106.68,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,,,,,Severe drilling deformation.,structureless,,,,,,,,,,,,,,,,,,362,U1480,F,2,H,CC,A,,,,10
362-U1480F-3H-1-A,0,150,106.8,108.3,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,,moderate,,,Severe coring disturbance 115-122 cm shows vestiges of clay layer 1 cm-thick deformed symmetrically about core axis. Soupy sand,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,1,A,,,,11
362-U1480F-3H-2-A,0,67,108.3,108.97,IIA,,fine sand,with clay,fine sand,fine sand with clay,fine sand with clay,,GLEY 1 4/N (dark gray),,,,,,unlithified,fine sand,4,,moderate,,,Severe coring disturbance. Soupy sand,,,,,,,,,,,,,,,,,,,362,U1480,F,3,H,2,A,,,,12
