Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
359-U1467C-2H-1-A,0,150,6.7,8.2,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/1 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,common,4,,,,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill.",,,,359,U1467,C,2,H,1,A,,,,,10
359-U1467C-2H-2-A,0,39,8.2,8.59,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/1 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill.",,,,359,U1467,C,2,H,2,A,,,,,11
359-U1467C-2H-2-A,39,78,8.59,8.98,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/1 (gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill. Mottled (2.5Y 7/1)",,,,359,U1467,C,2,H,2,A,,,,,12
359-U1467C-2H-2-A,78,150,8.98,9.7,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/4 (light yellowish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,complete,6,,,,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill. Mottle (2.5Y 6/1)",,,,359,U1467,C,2,H,2,A,,,,,13
359-U1467C-2H-3-A,0,22,9.7,9.92,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/1 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill. Mottle (2.5Y 6/4)",,,,359,U1467,C,2,H,3,A,,,,,14
359-U1467C-2H-3-A,22,126,9.92,10.96,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill. Deep sea coral @ 38 and 45-47 cm. Brachiopod at 47-50 cm",,,,359,U1467,C,2,H,3,A,,,,,15
359-U1467C-2H-3-A,126,150,10.96,11.2,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/1 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,complete,6,,,,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill. Mottle (2.5Y 6/4)",,,,359,U1467,C,2,H,3,A,,,,,16
359-U1467C-2H-4-A,0,73,11.2,11.93,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/1 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,common,4,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill. Mottle (2.5Y 6/4)",,,,359,U1467,C,2,H,4,A,,,,,17
359-U1467C-2H-4-A,73,107,11.93,12.27,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/1 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,moderate,3,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill. Mottle (2.5Y 7/1).",,,,359,U1467,C,2,H,4,A,,,,,18
359-U1467C-2H-4-A,107,150,12.27,12.7,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 8/2 (pale yellow),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,common,4,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill. Mottle (5Y 7/1)",,,,359,U1467,C,2,H,4,A,,,,,19
359-U1467C-2H-5-A,0,150,12.7,14.2,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,5Y 7/2 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,common,4,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill. Mottle (5Y 8/2)",,,,359,U1467,C,2,H,5,A,,,,,20
359-U1467C-2H-6-A,0,101,14.2,15.21,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/1 (gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,complete,6,,,,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill. Mottle (5Y 8/2)",,,,359,U1467,C,2,H,6,A,,,,,21
359-U1467C-2H-7-A,0,95,15.21,16.16,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/1 (gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill. Mottle (5Y 8/2)",,,,359,U1467,C,2,H,7,A,,,,,22
359-U1467C-2H-CC-A,0,18,16.16,16.34,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/1 (gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,complete,6,,,,"Planktic foraminifera-rich WACKESTONE. Fine- to medium-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F). Burrows with a coarser infill. Mottle (5Y 8/2)",,,,359,U1467,C,2,H,CC,A,,,,,23
359-U1467C-3H-1-A,0,94,16.2,17.14,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/1 (gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve and gastropods,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths and organic fragments (F). Coarser infill in burrows",,,,359,U1467,C,3,H,1,A,,,,,24
359-U1467C-3H-1-A,94,102,17.14,17.22,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 4/2 (dark grayish brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths and organic fragments (F). Coarser infill in burrows",,,,359,U1467,C,3,H,1,A,,,,,25
359-U1467C-3H-1-A,102,150,17.22,17.7,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,,,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths and organic fragments (F). Coarser infill in burrows",,,,359,U1467,C,3,H,1,A,,,,,26
359-U1467C-3H-2-A,0,150,17.7,19.2,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/1 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths and organic fragments (F). Coarser infill in burrows",,,,359,U1467,C,3,H,2,A,,,,,27
359-U1467C-3H-3-A,0,36,19.2,19.56,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths and organic fragments (F). Coarser infill in burrows",,,,359,U1467,C,3,H,3,A,,,,,28
359-U1467C-3H-3-A,36,114,19.56,20.34,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/1 (gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths and organic fragments (F). Coarser infill in burrows",,,,359,U1467,C,3,H,3,A,,,,,29
359-U1467C-3H-3-A,114,150,20.34,20.7,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/2 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths and organic fragments (F). Coarser infill in burrows",,,,359,U1467,C,3,H,3,A,,,,,30
359-U1467C-3H-4-A,0,150,20.7,22.2,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,,,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths and organic fragments (F). Coarser infill in burrows",,,,359,U1467,C,3,H,4,A,,,,,31
359-U1467C-3H-5-A,0,43,22.2,22.63,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths and organic fragments (F). Coarser infill in burrows",,,,359,U1467,C,3,H,5,A,,,,,32
359-U1467C-3H-5-A,43,150,22.63,23.7,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/3 (pale yellow),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,,,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths and organic fragments (F). Coarser infill in burrows",,,,359,U1467,C,3,H,5,A,,,,,33
359-U1467C-3H-6-A,0,45,23.7,24.15,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/3 (pale yellow),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths and organic fragments (F). Coarser infill in burrows",,,,359,U1467,C,3,H,6,A,,,,,34
359-U1467C-3H-6-A,45,121,24.15,24.91,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/2 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,,,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths and organic fragments (F). Coarser infill in burrows",,,,359,U1467,C,3,H,6,A,,,,,35
359-U1467C-3H-7-A,0,51,24.91,25.42,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 8.5/1 (white),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths and organic fragments (F). Coarser infill in burrows",,,,359,U1467,C,3,H,7,A,,,,,36
359-U1467C-3H-7-A,51,86,25.42,25.77,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,,,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly-sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F).",,,,359,U1467,C,3,H,7,A,,,,,37
359-U1467C-3H-CC-A,0,5,25.77,25.82,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,,,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly-sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F).",,,,359,U1467,C,3,H,CC,A,,,,,38
359-U1467C-4H-1-A,0,150,25.7,27.2,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/1 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,,,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly-sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F).",,,,359,U1467,C,4,H,1,A,,,,,39
359-U1467C-4H-2-A,0,57,27.2,27.77,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/1 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly-sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F).",,,,359,U1467,C,4,H,2,A,,,,,40
359-U1467C-4H-2-A,57,150,27.77,28.7,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/2 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,,,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly-sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F).",,,,359,U1467,C,4,H,2,A,,,,,41
359-U1467C-4H-3-A,0,56,28.7,29.26,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 7/2 (light gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly-sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F).",,,,359,U1467,C,4,H,3,A,,,,,42
359-U1467C-4H-3-A,56,150,29.26,30.2,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 4/2 (dark grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly-sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F).",,,,359,U1467,C,4,H,3,A,,,,,43
359-U1467C-4H-4-A,0,150,30.2,31.7,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,gradational,horizontal,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly-sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F).",,,,359,U1467,C,4,H,4,A,,,,,44
359-U1467C-4H-5-A,0,150,31.7,33.2,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,,,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly-sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (C), otoliths (F).",,,,359,U1467,C,4,H,5,A,,,,,45
359-U1467C-4H-6-A,0,150,33.2,34.7,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,shell fragment,bivalve,,,,,,,complete,6,,,,"Planktic foraminifera-rich WACKESTONE. Fine-grained, poorly-sorted. Planktic foraminifera (A), benthic foraminifera (C). Gastropod and bivalve fragments, pteropods and sponge spicules (P), otoliths (F). Large Scaphopoda @78 - 80 cm",,,,359,U1467,C,4,H,6,A,,,,,46
