Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Lithology max. grain size class,Lithology max. grain size rank [read only],Grading,Sorting,Upper boundary ave. grain size class,Lowerr boundary ave. grain size class,General interval comment,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Primary trace fossils,Secondary trace fossils,Minor trace fossils,Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
362-U1480E-1H-5-A,0,110,5.85,6.95,IB,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,5BG 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,,unlithified [Leg194],fine sand [W22_2],4,,,silt [W22_1],fine sand [W22_2],"Two graded laminated beds with sharp erosional basal contact @ 128-131 cm, 133-135 cm",planar lamination,slight [DB91],3,,,,,,,,,,,,,,,,362,U1480,E,1,H,5,A,,,
362-U1480E-1H-6-A,0,54,6.95,7.49,IB,,alternating sand/mud layers,,alternating sand/mud layers,alternating sand/mud layers,alternating sand/mud layers,,5BG 5/1 (greenish gray),planar,sharp,planar sharp,horizontal,,unlithified [Leg194],fine sand [W22_2],4,,,silt [W22_1],fine sand [W22_2],"Graded beds @ 6-7.5 cm, 16.5-18 cm,24-26.5 cm, 50-57.5 cm, 62-63.5 cm, 75-77 cm, 83-86 cm, 95-100.5 cm. Chlorite-rich (green) clay layer @ 28-28.5 cm, 30.5-32 cm, 39-41 cm. Planar laminated beds.",planar lamination,slight [DB91],3,,,,,,,,,,,,,,,,362,U1480,E,1,H,6,A,,,
362-U1480E-1H-CC-A,0,18,7.49,7.67,IB,,silt [S54],with clay [2014],silt,silt with clay,silt with clay,,5BG 5/1 (greenish gray),,,,,,unlithified [Leg194],clay [W22_1],1,,,,,"Graded beds @ 2-3 cm, 21-23 cm. Planar lamination.Planar laminated beds.",,,,,,,,,,,,,,,,,,,362,U1480,E,1,H,CC,A,,,
362-U1480E-1H-CC-A,18,20,7.67,7.69,IB,,fine sand [USGS],,fine sand,fine sand,fine sand,,2.5YR 5/1 (reddish gray),,,,,,unlithified [Leg194],,,,,,fine sand [W22_2],,,,,,,,,,,,,,,,,,,,362,U1480,E,1,H,CC,A,,,
362-U1480E-2H-1-A,0,24,7.8,8.04,IB,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),irregular,gradational,irregular gradational,sub-horizontal,thick bed [B01],unlithified [Leg194],silt [W22_1],2,,well [2014],,,,structureless,slight [DB91],3,,,,,,,,,,,,,,,,362,U1480,E,2,H,1,A,,,
362-U1480E-2H-1-A,24,47,8.04,8.27,IB,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 3/N (very dark gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,medium bed [B01],unlithified [Leg194],fine sand [W22_2],4,normal grading,poor [2014],clay [W22_1],fine sand [W22_2],,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,2,H,1,A,,,
362-U1480E-2H-1-A,47,93,8.27,8.73,IB,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,2.5Y 7/1 (light gray),,,,,thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,moderate [DB91],4,,,,,,,,,,,,,,,,362,U1480,E,2,H,1,A,,,
362-U1480E-2H-1-A,93,94,8.73,8.74,IB,,ash/tuff [Leg202],,ash/tuff,ash/tuff,ash/tuff,,10R 8/1 (white),irregular,sharp,irregular sharp,sub-vertical,thin bed [B01],unlithified [Leg194],silt [W22_1],2,,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,2,H,1,A,,,
362-U1480E-2H-1-A,94,141,8.74,9.21,IB,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,2.5Y 7/1 (light gray),,,,,thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,moderate [DB91],4,,,,,,,,,,,,,,,,362,U1480,E,2,H,1,A,,,
362-U1480E-2H-1-A,141,150,9.21,9.3,IB,,,,,,,,,,,,,thick bed [B01],unlithified [Leg194],silt [W22_1],2,,,,,IW,,,4,,,,,,,,,,,,,,,,362,U1480,E,2,H,1,A,,,
362-U1480E-2H-2-A,0,18,9.3,9.48,IB,,medium sand [USGS],,medium sand,medium sand,medium sand,,GLEY 1 4/10Y (dark greenish gray),planar,sharp,planar sharp,horizontal,medium bed [B01],unlithified [Leg194],medium sand [W22_2],5,,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,2,H,2,A,,,
362-U1480E-2H-2-A,18,39,9.48,9.69,IB,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),,,,,thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,slight [DB91],3,,,,sand pods,pyrite framboid,,,,,,"sand pods at 62-63 cm, 80-82 cm, 93-95 cm",,,,,362,U1480,E,2,H,2,A,,,
362-U1480E-2H-2-A,39,74,9.69,10.04,IB,,medium sand [USGS],,medium sand,medium sand,medium sand,,GLEY 1 4/10Y (dark greenish gray),curviplanar,sharp,curviplanar sharp,horizontal,thick bed [B01],unlithified [Leg194],medium sand [W22_2],5,normal grading,well [2014],medium sand [W22_2],fine sand [W22_2],,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,2,H,2,A,,,
362-U1480E-2H-2-A,74,93,10.04,10.23,IB,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),,,,,thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,slight [DB91],3,,,,sand pods,pyrite framboid,,,,,,"sand pods at 62-63 cm, 80-82 cm, 93-95 cm",,,,,362,U1480,E,2,H,2,A,,,
362-U1480E-2H-2-A,93,99,10.23,10.29,IB,,medium sand [USGS],,medium sand,medium sand,medium sand,,GLEY 1 4/10Y (dark greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unlithified [Leg194],medium sand [W22_2],5,inverse grading,well [2014],fine sand [W22_2],medium sand [W22_2],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,2,H,2,A,,,
362-U1480E-2H-2-A,99,119.5,10.29,10.495,IB,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),,,,,thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,slight [DB91],3,,,,sand pods,pyrite framboid,,,,,,"sand pods at 62-63 cm, 80-82 cm, 93-95 cm",,,,,362,U1480,E,2,H,2,A,,,
362-U1480E-2H-2-A,119.5,141,10.495,10.71,IB,,clay [S54],with carbonate allochems [F80],clay,clay with carbonate allochems,clay with carbonate allochems,,GLEY 1 6/5GY (greenish gray),,,,,thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,structureless,moderate [DB91],4,,,,,,,,,,,,,,,,362,U1480,E,2,H,2,A,,,
362-U1480E-2H-2-A,141,150,10.71,10.8,IB,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,362,U1480,E,2,H,2,A,,,
362-U1480E-2H-3-A,0,2,10.8,10.82,IB,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 6/5GY (greenish gray),planar,sharp,planar sharp,horizontal,,unlithified [Leg194],medium sand [W22_2],5,,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,2,H,3,A,,,
362-U1480E-2H-3-A,2,10,10.82,10.9,IB,,clay [S54],with carbonate allochems [F80],clay,clay with carbonate allochems,clay with carbonate allochems,,GLEY 1 6/5GY (greenish gray),,,,,thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,structureless,moderate [DB91],4,,,,,,,,,,,,,,,,362,U1480,E,2,H,3,A,,,
362-U1480E-2H-3-A,11,47,10.91,11.27,IB,,fine sand [USGS],,fine sand,fine sand,fine sand,,GLEY 1 6/5GY (greenish gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thick bed [B01],unlithified [Leg194],medium sand [W22_2],5,,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,2,H,3,A,,,
362-U1480E-2H-3-A,47,150,11.27,12.3,IB,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),curviplanar,gradational,curviplanar gradational,,very thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,structureless,slight [DB91],3,,,,,pyrite framboid,foraminifer,,,,,,,,,,362,U1480,E,2,H,3,A,,,
362-U1480E-2H-4-A,0,94,12.3,13.24,IB,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),curviplanar,gradational,curviplanar gradational,,very thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,structureless,slight [DB91],3,,,,,pyrite framboid,foraminifer,,,,,,,,,,362,U1480,E,2,H,4,A,,,
362-U1480E-2H-4-A,94,102,13.24,13.32,IB,,silt [S54],,silt,silt,silt,,GLEY 1 6/5GY (greenish gray),planar,sharp,planar sharp,horizontal,thin bed [B01],unlithified [Leg194],silt [W22_1],2,normal grading,moderate [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,2,H,4,A,,,
362-U1480E-2H-4-A,102,141,13.32,13.71,IB,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),curviplanar,gradational,curviplanar gradational,,very thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,structureless,slight [DB91],3,,,,,pyrite framboid,foraminifer,,,,,,,,,,362,U1480,E,2,H,4,A,,,
362-U1480E-2H-4-A,141,150,13.71,13.8,IB,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,362,U1480,E,2,H,4,A,,,
362-U1480E-2H-5-A,0,150,13.8,15.3,IB,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),curviplanar,gradational,curviplanar gradational,,very thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,structureless,slight [DB91],3,,,,,pyrite framboid,foraminifer,,,,,,,,,,362,U1480,E,2,H,5,A,,,
362-U1480E-2H-6-A,0,141,15.3,16.71,IB,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),curviplanar,gradational,curviplanar gradational,,very thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,structureless,slight [DB91],3,,,,,pyrite framboid,foraminifer,,,,,,,,,,362,U1480,E,2,H,6,A,,,
362-U1480E-2H-6-A,141,150,16.71,16.8,IB,,,,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,362,U1480,E,2,H,6,A,,,
362-U1480E-2H-7-A,0,2,16.8,16.82,IB,,clay [S54],,clay,clay,clay,,GLEY 1 3/10Y (very dark greenish gray),curviplanar,gradational,curviplanar gradational,,very thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,structureless,slight [DB91],3,,,,,pyrite framboid,foraminifer,,,,,,,,,,362,U1480,E,2,H,7,A,,,
362-U1480E-2H-7-A,2,49,16.82,17.29,IB,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,GLEY 1 8/10Y (light greenish gray),,,,,thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,moderate [DB91],4,,,,,,,,,,,,,,,,362,U1480,E,2,H,7,A,,,
362-U1480E-2H-CC-A,0,25,17.29,17.54,IB,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,GLEY 1 8/10Y (light greenish gray),,,,,thick bed [B01],unlithified [Leg194],clay [W22_1],1,,well [2014],,,,structureless,moderate [DB91],4,,,,,,,,,,,,,,,,362,U1480,E,2,H,CC,A,,,
362-U1480E-3H-1-A,0,5,17.3,17.35,IB,,ash/tuff [Leg202],,ash/tuff,ash/tuff,ash/tuff,,5YR 7/2 (pinkish gray),irregular,sharp,irregular sharp,sub-horizontal,medium bed [B01],unlithified [Leg194],medium sand [W22_2],5,,well [2014],,,,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,3,H,1,A,,,
362-U1480E-3H-1-A,5,30,17.35,17.6,IB,,silty clay [S54],with carbonate allochems [F80],silty clay,silty clay with carbonate allochems,silty clay with carbonate allochems,,GLEY 1 3/10Y (very dark greenish gray),,,,,very thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,structureless,slight [DB91],3,,,,,,,,,,,,,,,,362,U1480,E,3,H,1,A,,,
362-U1480E-3H-1-A,30,43,17.6,17.73,IB,,ash/tuff [Leg202],,ash/tuff,ash/tuff,ash/tuff,,10YR 4/1 (dark gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,medium bed [B01],unlithified [Leg194],coarse sand [W22_2],6,normal grading,well [2014],coarse sand [W22_2],silt [W22_1],,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,3,H,1,A,,,
362-U1480E-3H-1-A,43,150,17.73,18.8,IB,,silty clay [S54],with carbonate allochems [F80],silty clay,silty clay with carbonate allochems,silty clay with carbonate allochems,,GLEY 1 3/10Y (very dark greenish gray),,,,,very thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,structureless,slight [DB91],3,,,,,,,,,,,,,,,,362,U1480,E,3,H,1,A,,,
362-U1480E-3H-2-A,0,150,18.8,20.3,IC,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,2.5Y 8/2 (pale yellow),,,,,very thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,structureless,moderate [DB91],4,,,,,pyrite framboid,foraminifer,A [A85],,,,,,,,,362,U1480,E,3,H,2,A,,,
362-U1480E-3H-3-A,0,141,20.3,21.71,IC,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,10YR 8/3 (very pale brown),irregular,gradational,irregular gradational,horizontal,very thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,planar bedded,moderate [DB91],4,,,,,pyrite framboid,foraminifer,A [A85],,,,,,,,,362,U1480,E,3,H,3,A,,,
362-U1480E-3H-4-A,0,141,21.8,23.21,IC,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,10YR 8/3 (very pale brown),irregular,gradational,irregular gradational,horizontal,very thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,planar bedded,moderate [DB91],4,,,,,pyrite framboid,foraminifer,A [A85],,,,,,,,,362,U1480,E,3,H,4,A,,,
362-U1480E-3H-5-A,0,75,23.3,24.05,IC,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,10YR 8/3 (very pale brown),irregular,gradational,irregular gradational,horizontal,very thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,planar bedded,moderate [DB91],4,,,,,pyrite framboid,foraminifer,A [A85],,,,,,,,,362,U1480,E,3,H,5,A,,,
362-U1480E-3H-5-A,75,76,24.05,24.06,IC,,ash/tuff [Leg202],,ash/tuff,ash/tuff,ash/tuff,,2.5YR 8/2 (pinkish white),planar,sharp,planar sharp,horizontal,thin bed [B01],unlithified [Leg194],silt [W22_1],2,normal grading,well [2014],silt [W22_1],clay [W22_1],,,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,3,H,5,A,,,
362-U1480E-3H-5-A,76,140.5,24.06,24.705,IC,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,10YR 8/3 (very pale brown),irregular,gradational,irregular gradational,horizontal,very thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,planar bedded,moderate [DB91],4,,,,,pyrite framboid,foraminifer,A [A85],,,,,,,,,362,U1480,E,3,H,5,A,,,
362-U1480E-3H-6-A,0,30,24.8,25.1,IC,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,10YR 8/3 (very pale brown),irregular,gradational,irregular gradational,horizontal,very thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,planar bedded,moderate [DB91],4,,,,,pyrite framboid,foraminifer,A [A85],,,,,,,,,362,U1480,E,3,H,6,A,,,
362-U1480E-3H-6-A,30,133,25.1,26.13,IC,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,2.5Y 8/2 (pale yellow),,,,,very thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,structureless,moderate [DB91],4,,,,,,foraminifer,R [A85],,,,,,,,,362,U1480,E,3,H,6,A,,,
362-U1480E-3H-7-A,0,20,26.22,26.42,IC,calcareous [Leg339],clay [S54],,calcareous clay,calcareous clay,clay,,2.5Y 8/2 (pale yellow),,,,,very thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,,structureless,moderate [DB91],4,,,,,,foraminifer,R [A85],,,,,,,,,362,U1480,E,3,H,7,A,,,
362-U1480E-3H-7-A,20,63,26.42,26.85,IIA,,silty clay [S54],with carbonate allochems [F80],silty clay,silty clay with carbonate allochems,silty clay with carbonate allochems,,GLEY 2 4/5BG (dark greenish gray),,,,,thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,several faint dark greener beds in mm to cm size distributed allover the bed,planar bedded,moderate [DB91],4,,,,,,foraminifer,R [A85],,,,,,,,,362,U1480,E,3,H,7,A,,,
362-U1480E-3H-CC-A,0,19,26.85,27.04,IIA,,silty clay [S54],with carbonate allochems [F80],silty clay,silty clay with carbonate allochems,silty clay with carbonate allochems,,GLEY 2 4/5BG (dark greenish gray),,,,,thick bed [B01],unlithified [Leg194],silt [W22_1],2,,moderate [2014],,,several faint dark greener beds in mm to cm size distributed allover the bed,planar bedded,moderate [DB91],4,,,,,,foraminifer,R [A85],,,,,,,,,362,U1480,E,3,H,CC,A,,,
362-U1480E-4H-1-A,0,1,26.8,26.81,IIA,,ash/tuff [Leg202],,ash/tuff,ash/tuff,ash/tuff,,GLEY 1 5/10Y (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,medium bed [B01],unlithified [Leg194],medium sand [W22_2],5,normal grading,,,,,,,,,,,,,,,,,,,,,,,362,U1480,E,4,H,1,A,,,
362-U1480E-4H-1-A,1,2,26.81,26.82,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,very thin bed [B01],,fine sand [W22_2],4,normal grading,well [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,4,H,1,A,,,
362-U1480E-4H-1-A,2,13,26.82,26.93,IIA,,ash/tuff [Leg202],,ash/tuff,ash/tuff,ash/tuff,,GLEY 1 5/10Y (greenish gray),irregular,sharp,irregular sharp,sub-horizontal,medium bed [B01],unlithified [Leg194],medium sand [W22_2],5,normal grading,,,,,,,,,,,,,,,,,,,,,,,362,U1480,E,4,H,1,A,,,
362-U1480E-4H-1-A,13,140,26.93,28.2,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,very thick bed [B01],,fine sand [W22_2],4,normal grading,well [2014],,,,structureless,moderate [DB91],4,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,1,A,,,
362-U1480E-4H-2-A,0,4,28.3,28.34,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,thin bed [B01],,fine sand [W22_2],4,normal grading,well [2014],,,,structureless,moderate [DB91],4,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A,,,
362-U1480E-4H-2-A,4,5,28.34,28.35,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,very thin bed [B01],,fine sand [W22_2],4,normal grading,well [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A,,,
362-U1480E-4H-2-A,5,9,28.35,28.39,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,thin bed [B01],,fine sand [W22_2],4,normal grading,well [2014],,,,structureless,moderate [DB91],4,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A,,,
362-U1480E-4H-2-A,9,10,28.39,28.4,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,very thin bed [B01],,fine sand [W22_2],4,normal grading,well [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A,,,
362-U1480E-4H-2-A,10,15,28.4,28.45,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,thin bed [B01],,fine sand [W22_2],4,normal grading,well [2014],,,,structureless,moderate [DB91],4,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A,,,
362-U1480E-4H-2-A,15,16,28.45,28.46,IIA,tuffaceous,silt [S54],,tuffaceous silt,tuffaceous silt,silt,,GLEY 1 4/N (dark gray),curviplanar,sharp,curviplanar sharp,,very thin bed [B01],,fine sand [W22_2],4,normal grading,well [2014],silt [W22_1],clay [W22_1],,structureless,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A,,,
362-U1480E-4H-2-A,16,48,28.46,28.78,IIA,,clay [S54],,clay,clay,clay,,GLEY 1 4/N (dark gray),,,,,thick bed [B01],,fine sand [W22_2],4,normal grading,well [2014],,,,structureless,moderate [DB91],4,Thalassinoides,,,,,,,,,,,,,,,362,U1480,E,4,H,2,A,,,
