Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
341-U1418F-4R-1-A,0,150,279.4,280.9,diatom bearing,mud [Leg210],with dispersed clasts,diatom bearing mud  with dispersed clasts,,,parallel lamination,N 4 (dark gray),slight [DB86],1,present [A79],,,,,,,,,,,"- diatom bearing mud with dispersed clasts
- colour banding between N 4 and 10Y 4/1
- occasional lamination (down to sub-mm) -> some lamination might be drilling disturbance
- scattered clasts (maximum coarse sand); mostly black grains of medium to coarse sand
- increasing clast size (to granule and pebble) below ~131 cm
- occasionally somewhat enhanced accumulation of clasts in flow in between biscuits
- varying amounts of clasts within biscuits
- some intervals with calcareous bearing diatom ooze (based on smear slide from section 2, 114 cm)",,,,,,341,U1418,F,4,R,1,A,,,
341-U1418F-4R-2-A,0,128,280.9,282.18,diatom bearing,mud [Leg210],with dispersed clasts,diatom bearing mud  with dispersed clasts,,,color banding,N 4 (dark gray),moderate [DB86],2,present [A79],,,,,,,,,,,"- diatom bearing mud with dispersed clasts
- colour banding between N 4 and 10Y 4/1
- scattered clasts (maximum coarse sand); mostly black grains of medium to coarse sand
- increasing clast size (to granule and pebble) below ~131 cm
- occasionally somewhat enhanced accumulation of clasts in flow in between biscuits
- varying amounts of clasts within biscuits
- some intervals with calcareous bearing diatom ooze (based on smear slide from section 2, 114 cm)

~105 cm: pebble of greenstone(?)
118-120: granules of siltstone, quartz and feldspar
",,,,,,341,U1418,F,4,R,2,A,,,
341-U1418F-4R-2-A,128,138,282.18,282.28,,,,,,,,,,,,,,,,,,,,,,Sample IW,,,,,,341,U1418,F,4,R,2,A,,,
341-U1418F-4R-3-A,0,74,282.28,283.02,diatom bearing,mud [Leg210],with dispersed clasts,diatom bearing mud  with dispersed clasts,,,parallel lamination,N 4 (dark gray),slight [DB86],1,present [A79],,,,,,,,,,,"- diatom bearing mud with dispersed clasts
- colour banding between N 4 and 10Y 4/1
- occasional lamination (down to sub-mm) -> some lamination might be drilling disturbance
- scattered clasts (maximum coarse sand); mostly black grains of medium to coarse sand
- increasing clast size (to granule and pebble) below ~131 cm
- occasionally somewhat enhanced accumulation of clasts in flow in between biscuits
- varying amounts of clasts within biscuits
- some intervals with calcareous bearing diatom ooze (based on smear slide from section 2, 114 cm)",,,,,,341,U1418,F,4,R,3,A,,,
341-U1418F-4R-3-A,74,139,283.02,283.67,,interbedded mud(stone) and diamict [McKW53],,interbedded mud(stone) and diamict ,,,parallel lamination,N 4 (dark gray),slight [DB86],1,present [A79],,,,,,,,,,,"- colour banded mud and interbedded intervals of clast-poor diamict
- varying amounts of clasts
- varying thicknesses of intervals with higher clast contents (up to 20 cm)
- intervals with higher clast contents often associated with lighter (10Y 4/1) intervals, but not always
- colour banding often gradational between more greyish (lower) and more greenish (upper), but sharp between greenish grey and dark grey (but not always!)
- tops of clast-rich intervals sometimes gradational and sometimes sharp. If sharp they coincide with sharp transitions from greenish grey to dark grey
- grey intervals occasionally more bioturbated",,,,,,341,U1418,F,4,R,3,A,,,
341-U1418F-4R-4-A,0,146,283.67,285.13,,interbedded mud(stone) and diamict [McKW53],with volcanic ash [Leg339],interbedded mud(stone) and diamict  with volcanic ash ,trace amount,1,color banding,N 4 (dark gray),slight [DB86],1,,,,,,,,,,,,clast poor to clast poor diamicts; very gradational boundaries between mud and diamicts; color varies from N 4 to 10Y 4/1; clasts include subangular black clay/siltstones (0.8 cm); very fine laminations (mm),,,,,,341,U1418,F,4,R,4,A,,,
341-U1418F-4R-5-A,0,50,285.13,285.63,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,trace amount,1,parallel lamination,N 4 (dark gray),,,,,,,,,,,,,,"very clayey mud; fine laminations (1 mm); clasts include 3 cm angular black metasediment; 3 cm subrounded greenstone, 1 cm quartz",,,,,,341,U1418,F,4,R,5,A,,,
341-U1418F-4R-5-A,50,130,285.63,286.43,muddy [Leg339],clast-poor diamict [M89m],with volcanic ash [Leg339],muddy  clast-poor diamict  with volcanic ash ,trace amount,1,,N 4 (dark gray),,,,,,,,,,,,,,very clayey mud; color varies between N 4 and 10Y 4/1; clast poor diamicts have very gradational boundaries; fine laminations (mm),,,,,,341,U1418,F,4,R,5,A,,,
341-U1418F-4R-CC-A,0,28,286.43,286.71,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 4 (dark gray),,,,,,,,,,,,,,clayey mud with few dispersed clasts and grains,,,,,,341,U1418,F,4,R,CC,A,,,
341-U1418F-5R-1-A,0,135,289.1,290.45,muddy [Leg339],clast-poor diamict [M89m],,muddy  clast-poor diamict ,,,color banding,N 4 (dark gray),,,present [A79],,,,,,,,,,,"- muddy, clast-poor diamict
- slight colour banding between N 4 and ""towards"" 10Y 4/1
- varying clast contents
- mostly clasts <1 mm

- intervals with relatively high sand content: ~11-13 cm; ~26-28 cm; ~35-37 cm; ~109.5-119 cm; very gradational lower and upper transitions

- ~110 cm: pebbles of greenstone and granitoid rock",,,,,,341,U1418,F,5,R,1,A,,,
341-U1418F-5R-1-A,135,150,290.45,290.6,,,,,,,,,,,,,,,,,,,,,,Sample SAFF,,,,,,341,U1418,F,5,R,1,A,,,
341-U1418F-5R-2-A,0,141,290.6,292.01,muddy [Leg339],clast-poor diamict [M89m],,muddy  clast-poor diamict ,,,color banding,N 4 (dark gray),,,present [A79],,,,,,,,,,,"- muddy, clast-poor diamict
- slight colour banding between N 4 and ""towards"" 10Y 4/1
- varying clast contents
- mostly clasts <1 mm

~89.5-91.5 cm: lamination (max. 3 mm thick laminae)

~101.5-103.5 cm: pebble of greenstone",,,,,,341,U1418,F,5,R,2,A,,,
