Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Lithology max. grain size class,Lithology max. grain size rank [read only],Grading,Sorting,Upper boundary ave. grain size class,Lowerr boundary ave. grain size class,General interval comment,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Primary trace fossils,Secondary trace fossils,Minor trace fossils,Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
362-U1480G-3R-2-A,68,71,765.77,765.8,IIB,,silt [S54],,silt,silt,silt,,gley 1 3/n (very dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],partially lithified,silt [W22_1],2,,,,,,cross-lamination,sparse [DB91],2,,,,,,,,,,,,,,,,362,U1480,G,3,R,2,A,,,,10
362-U1480G-3R-2-A,71,151,765.8,766.6,IIB,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),,,,,,partially lithified,silt [W22_1],2,,,,,,,moderate [DB91],4,Nereites,Phycosiphon,Zoophycos,,,foraminifer,,,,,,,,,,362,U1480,G,3,R,2,A,,,,11
362-U1480G-3R-3-A,0,46,766.6,767.06,IIB,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),,,,,,partially lithified,silt [W22_1],2,,,,,,,moderate [DB91],4,Nereites,Phycosiphon,Zoophycos,,,foraminifer,,,,,,,,,,362,U1480,G,3,R,3,A,,,,12
362-U1480G-3R-3-A,46,50,767.06,767.1,IIB,,silt [S54],,silt,silt,silt,,gley 1 3/n (very dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],partially lithified,silt [W22_1],2,,,,,,structureless,sparse [DB91],2,,,,,,,,,,,,,,,,362,U1480,G,3,R,3,A,,,,13
362-U1480G-3R-3-A,50,142,767.1,768.02,IIB,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),,,,,,partially lithified,silt [W22_1],2,,,,,,,moderate [DB91],4,Nereites,Phycosiphon,Zoophycos,,,foraminifer,,,,,,,,,,362,U1480,G,3,R,3,A,,,,14
362-U1480G-3R-3-A,142,147,768.02,768.07,IIB,,silt [S54],,silt,silt,silt,,gley 1 3/n (very dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],partially lithified,silt [W22_1],2,,,,,,planar lamination,sparse [DB91],2,,,,,,,,,,,,,,,,362,U1480,G,3,R,3,A,,,,15
362-U1480G-3R-3-A,147,150,768.07,768.1,IIB,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),,,,,,partially lithified,silt [W22_1],2,,,,,,,moderate [DB91],4,Nereites,Phycosiphon,Zoophycos,,,foraminifer,,,,,,,,,,362,U1480,G,3,R,3,A,,,,16
362-U1480G-3R-4-A,0,4,768.1,768.14,IIB,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),,,,,,partially lithified,silt [W22_1],2,,,,,,,moderate [DB91],4,Nereites,Phycosiphon,Zoophycos,,,foraminifer,,,,,,,,,,362,U1480,G,3,R,4,A,,,,17
362-U1480G-3R-4-A,4,7,768.14,768.17,IIB,,silt [S54],,silt,silt,silt,,gley 1 3/n (very dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],partially lithified,silt [W22_1],2,,,,,,planar lamination,sparse [DB91],2,,,,,,,,,,,,,,,,362,U1480,G,3,R,4,A,,,,18
362-U1480G-3R-4-A,7,31.5,768.17,768.415,IIB,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),,,,,,partially lithified,silt [W22_1],2,,,,,,,moderate [DB91],4,Nereites,Phycosiphon,Zoophycos,,,foraminifer,,,,,,,,,,362,U1480,G,3,R,4,A,,,,19
362-U1480G-3R-4-A,31.5,35,768.415,768.45,IIB,,silt [S54],,silt,silt,silt,,gley 1 3/n (very dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],partially lithified,silt [W22_1],2,,,,,,planar lamination,sparse [DB91],2,,,,,,,,,,,,,,,,362,U1480,G,3,R,4,A,,,,20
362-U1480G-3R-4-A,35,45,768.45,768.55,IIB,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),,,,,,partially lithified,silt [W22_1],2,,,,,,,moderate [DB91],4,Nereites,Phycosiphon,Zoophycos,,,foraminifer,,,,,,,,,,362,U1480,G,3,R,4,A,,,,21
362-U1480G-3R-4-A,45,50,768.55,768.6,IIB,,silt [S54],,silt,silt,silt,,gley 1 3/n (very dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],partially lithified,silt [W22_1],2,,,,,,planar lamination,sparse [DB91],2,,,,,,plant fragment,,,,,,,,,,362,U1480,G,3,R,4,A,,,,22
362-U1480G-3R-4-A,50,55,768.6,768.65,IIB,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),,,,,,partially lithified,silt [W22_1],2,,,,,,,moderate [DB91],4,Nereites,Phycosiphon,Zoophycos,,,foraminifer,,,,,,,,,,362,U1480,G,3,R,4,A,,,,23
362-U1480G-3R-4-A,55,57,768.65,768.67,IIB,,silt [S54],,silt,silt,silt,,gley 1 3/n (very dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],partially lithified,silt [W22_1],2,,,,,almost entirely destroyed by coring,planar lamination,sparse [DB91],2,,,,,,,,,,,,,,,,362,U1480,G,3,R,4,A,,,,24
362-U1480G-3R-4-A,57,77.5,768.67,768.875,IIB,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),,,,,,partially lithified,silt [W22_1],2,,,,,,,moderate [DB91],4,Nereites,Phycosiphon,Zoophycos,,,foraminifer,,,,,,,,,,362,U1480,G,3,R,4,A,,,,25
362-U1480G-3R-CC-A,0,10,769,769.1,IIB,,silty clay [S54],,silty clay,silty clay,silty clay,,GLEY 1 2.5/N (black),,,,,,partially lithified,silt [W22_1],2,,,,,,,moderate [DB91],4,Nereites,Phycosiphon,Zoophycos,,,foraminifer,,,,,,,,,,362,U1480,G,3,R,CC,A,,,,26
362-U1480G-4R-1-A,0,150,773.4,774.9,IIB,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5Y 3/1 (very dark gray),,,,,,partially lithified,,,,,,,"Silt laminae at 70 cm, 83 cm, 114 cm, 133 cm, 140 cm.",,heavy [DB91],4,Nereites,Phycosiphon,,,,,,,,,,,,,,362,U1480,G,4,R,1,A,,,,27
362-U1480G-4R-2-A,0,64,774.9,775.54,IIB,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5Y 3/1 (very dark gray),,,,,,partially lithified,,,,,,,"Silt laminae at 20 cm, 26 cm, 57 cm",,heavy [DB91],4,Nereites,Phycosiphon,,,,,,,,,,,,,,362,U1480,G,4,R,2,A,,,,28
362-U1480G-4R-2-A,64,74,775.54,775.64,IIB,,very fine sand,with clay [2014],very fine sand,very fine sand with clay,very fine sand with clay,,2.5Y 3/1 (very dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],partially lithified,very fine sand [W22_2],3,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,planar lamination,,,,,,,,,,,,,,,,,,362,U1480,G,4,R,2,A,,,,29
362-U1480G-4R-2-A,74,130,775.64,776.2,IIB,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5Y 3/1 (very dark gray),,,,,,partially lithified,,,,,,,Silt laminae at 85 cm.,,heavy [DB91],4,Nereites,Phycosiphon,,,,,,,,,,,,,,362,U1480,G,4,R,2,A,,,,30
362-U1480G-4R-3-A,0,38,776.41,776.79,IIB,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5Y 3/1 (very dark gray),,,,,,partially lithified,,,,,,,"Silt laminae at 10 cm, 15 cm.",,heavy [DB91],4,Nereites,Phycosiphon,,,,,,,,,,,,,,362,U1480,G,4,R,3,A,,,,31
362-U1480G-4R-3-A,38,53,776.79,776.94,IIB,,very fine sand,with clay [2014],very fine sand,very fine sand with clay,very fine sand with clay,,2.5Y 3/1 (very dark gray),planar,sharp,planar sharp,horizontal,medium bed [B01],partially lithified,very fine sand [W22_2],3,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,planar lamination,,,,,,,,,,,,,,,,,,362,U1480,G,4,R,3,A,,,,32
362-U1480G-4R-3-A,53,69,776.94,777.1,IIB,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5Y 3/1 (very dark gray),,,,,,partially lithified,,,,,,,Silt laminae at 62 cm.,,heavy [DB91],4,Nereites,Ophiomorpha,,,,,,,,,,,,,,362,U1480,G,4,R,3,A,,,,33
362-U1480G-4R-3-A,69,78,777.1,777.19,IIB,,very fine sand,with clay [2014],very fine sand,very fine sand with clay,very fine sand with clay,,2.5Y 3/1 (very dark gray),planar,sharp,planar sharp,horizontal,thin bed [B01],partially lithified,very fine sand [W22_2],3,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,planar lamination,,,,,,,,,,,,,,,,,,362,U1480,G,4,R,3,A,,,,34
362-U1480G-4R-3-A,79,137,777.2,777.78,IIB,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5Y 3/1 (very dark gray),,,,,,partially lithified,,,,,,,"Silt laminae at 103 cm, 116 cm, 136 cm.",,heavy [DB91],4,Nereites,Phycosiphon,,,,,,,,,,,,,,362,U1480,G,4,R,3,A,,,,35
362-U1480G-4R-4-A,0,60,777.91,778.51,IIB,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5Y 3/1 (very dark gray),,,,,,partially lithified,,,,,,,"Silt laminae at 22 cm, 36 cm.",,heavy [DB91],4,Nereites,Phycosiphon,,,,,,,,,,,,,,362,U1480,G,4,R,4,A,,,,36
362-U1480G-4R-5-A,0,150,778.71,780.21,IIB,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5Y 3/1 (very dark gray),,,,,,partially lithified,,,,,,,"Silt laminae at 25 cm, 43 cm, 51 cm, 56 cm, 65 cm, 73 cm, 77 cm, 79 cm, 85 cm, 95 cm, 102 cm, 112 cm, 125 cm, 146 cm, 150 cm.",,heavy [DB91],4,Nereites,Phycosiphon,,,,,,,,,,,,,,362,U1480,G,4,R,5,A,,,,37
362-U1480G-4R-CC-A,0,19,780.21,780.4,IIB,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5Y 3/1 (very dark gray),,,,,,partially lithified,,,,,,,"Silt laminae at 25 cm, 43 cm, 51 cm, 56 cm, 65 cm, 73 cm, 77 cm, 79 cm, 85 cm, 95 cm, 102 cm, 112 cm, 125 cm, 146 cm, 150 cm.",,heavy [DB91],4,Nereites,Phycosiphon,,,,,,,,,,,,,,362,U1480,G,4,R,CC,A,,,,38
362-U1480G-5R-1-A,0,7.5,783.1,783.175,IIB,,sand-silt-clay [S54],,sand-silt-clay,sand-silt-clay,sand-silt-clay,,GLEY 1 5/N (gray),,,,,,unlithified [Leg194],,,,,,,mixed up material with drilling mud,,,,,,,,,,,,,,,,,,,362,U1480,G,5,R,1,A,,,,39
362-U1480G-5R-1-A,7.5,68,783.175,783.78,IIB,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5YR 3/1 (dark reddish gray),planar,sharp,planar sharp,,,partially lithified,,,,,,,"Silt laminae at 22 cm, 46 cm, 58 cm, 67 cm, 87 cm, 120 cm.",,heavy [DB91],4,,,,,,,,,,,,,,,,362,U1480,G,5,R,1,A,,,,40
362-U1480G-5R-1-A,68,77.5,783.78,783.875,IIB,,alternating silt and clay layers,,alternating silt and clay layers,alternating silt and clay layers,alternating silt and clay layers,,GLEY 1 5/N (gray),planar,sharp,planar sharp,horizontal,thin lamina [B01],partially lithified,very fine sand [W22_2],3,normal grading,well [2014],clay [W22_1],very fine sand [W22_2],,planar lamination,,1,,,,,encrustation [BJ80],foraminifer,R [A85],,,,,diagenetic overprinted foraminifers; agglutinated foraminifers observed allover,,,,362,U1480,G,5,R,1,A,,,,41
362-U1480G-5R-1-A,77.5,123,783.875,784.33,IIB,,alternating sand/mud layers,with silt [2014],alternating sand/mud layers,alternating sand/mud layers with silt,alternating sand/mud layers with silt,,2.5YR 3/1 (dark reddish gray),planar,sharp,planar sharp,horizontal,medium bed [B01],partially lithified,,3,,,,,"Silt laminae at 22 cm, 46 cm, 58 cm, 67 cm, 87 cm, 120 cm.",,heavy [DB91],4,Nereites,Phycosiphon,,,encrustation [BJ80],foraminifer,R [A85],,,,,diagenetic overprinted foraminifers; agglutinated foraminifers observed allover,,,,362,U1480,G,5,R,1,A,,,,42
362-U1480G-5R-1-A,123,135,784.33,784.45,IIC,,very fine sand,with clay [2014],very fine sand,very fine sand with clay,very fine sand with clay,,2.5Y 3/1 (very dark gray),,,,,,partially lithified,very fine sand [W22_2],3,,poor [2014],,,clast made out of mudstone at top of the sand layer; additionally common horizontal oriented plant fragments preferentially in the upper part of the sand body,,absent [DB91],1,,,,rip-up clast [NMJ05],,plant fragment,C [A85],mudstone [2014],,sub-rounded,,,,,,362,U1480,G,5,R,1,A,,,,43
362-U1480G-5R-2-A,0,27,784.45,784.72,IIC,,very fine sand,,very fine sand,very fine sand,very fine sand,,2.5Y 3/1 (very dark gray),,,,,,partially lithified,fine sand [W22_2],4,normal grading,poor [2014],very fine sand [W22_2],fine sand [W22_2],,,,1,,,,,,plant fragment,C [A85],,,,,,,,,362,U1480,G,5,R,2,A,,,,44
362-U1480G-5R-2-A,27,49,784.72,784.94,IIC,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5Y 2.5/1 (black),,,,,,,,,,,,,,,heavy [DB91],4,Nereites,Phycosiphon,,,encrustation [BJ80],foraminifer,R [A85],,,,,diagenetic overprinted foraminifers; agglutinated foraminifers observed allover,,,,362,U1480,G,5,R,2,A,,,,45
362-U1480G-5R-2-A,49,51,784.94,784.96,IIC,,very fine sand,,very fine sand,very fine sand,very fine sand,,2.5YR 4/1 (dark reddish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],partially lithified,very fine sand [W22_2],3,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,planar lamination,slight [DB91],3,Nereites,,,,encrustation [BJ80],foraminifer,R [A85],,,,,diagenetic overprinted foraminifers; agglutinated foraminifers observed allover,,,,362,U1480,G,5,R,2,A,,,,46
362-U1480G-5R-2-A,51,62,784.96,785.07,IIC,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5Y 2.5/1 (black),,,,,,partially lithified,,,,,,,"small-scaled lamination in mm-size due to higher silt content in the clay (clay with silt) sometimes highly bioturbated resulting in mm-sized, horizontal aligned lenses",planar lamination,heavy [DB91],4,Nereites,Phycosiphon,,,encrustation [BJ80],foraminifer,R [A85],,,,,diagenetic overprinted foraminifers; agglutinated foraminifers observed allover,,,,362,U1480,G,5,R,2,A,,,,47
362-U1480G-5R-2-A,62,65,785.07,785.1,IIC,,very fine sand,,very fine sand,very fine sand,very fine sand,,2.5YR 4/1 (dark reddish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],partially lithified,very fine sand [W22_2],3,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,planar lamination,slight [DB91],3,Nereites,,,,encrustation [BJ80],foraminifer,R [A85],,,,,diagenetic overprinted foraminifers; agglutinated foraminifers observed allover,,,,362,U1480,G,5,R,2,A,,,,48
362-U1480G-5R-2-A,65,89,785.1,785.34,IIC,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5Y 2.5/1 (black),,,,,,partially lithified,,,,,,,"small-scaled lamination in mm-size due to higher silt content in the clay (clay with silt) sometimes highly bioturbated resulting in mm-sized, horizontal aligned lenses",planar lamination,heavy [DB91],4,Nereites,Phycosiphon,,,encrustation [BJ80],foraminifer,R [A85],,,,,diagenetic overprinted foraminifers; agglutinated foraminifers observed allover,,,,362,U1480,G,5,R,2,A,,,,49
362-U1480G-5R-2-A,89,93,785.34,785.38,IIC,,very fine sand,,very fine sand,very fine sand,very fine sand,,2.5YR 4/1 (dark reddish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],partially lithified,very fine sand [W22_2],3,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,planar lamination,slight [DB91],3,Nereites,,,,encrustation [BJ80],foraminifer,R [A85],,,,,diagenetic overprinted foraminifers; agglutinated foraminifers observed allover,,,,362,U1480,G,5,R,2,A,,,,50
362-U1480G-5R-2-A,93,97,785.38,785.42,IIC,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5Y 2.5/1 (black),,,,,,partially lithified,,,,,,,"small-scaled lamination in mm-size due to higher silt content in the clay (clay with silt) sometimes highly bioturbated resulting in mm-sized, horizontal aligned lenses",planar lamination,heavy [DB91],4,Nereites,Phycosiphon,,,encrustation [BJ80],foraminifer,R [A85],,,,,diagenetic overprinted foraminifers; agglutinated foraminifers observed allover,,,,362,U1480,G,5,R,2,A,,,,51
362-U1480G-5R-2-A,97,98,785.42,785.43,IIC,,very fine sand,,very fine sand,very fine sand,very fine sand,,2.5YR 4/1 (dark reddish gray),planar,sharp,planar sharp,horizontal,very thin bed [B01],partially lithified,very fine sand [W22_2],3,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,planar lamination,slight [DB91],3,Nereites,,,,encrustation [BJ80],foraminifer,R [A85],,,,,diagenetic overprinted foraminifers; agglutinated foraminifers observed allover,,,,362,U1480,G,5,R,2,A,,,,52
362-U1480G-5R-2-A,98,118,785.43,785.63,IIC,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5Y 2.5/1 (black),,,,,,partially lithified,,,,,,,"small-scaled lamination in mm-size due to higher silt content in the clay (clay with silt) sometimes highly bioturbated resulting in mm-sized, horizontal aligned lenses",planar lamination,heavy [DB91],4,Nereites,Phycosiphon,,,encrustation [BJ80],foraminifer,R [A85],,,,,diagenetic overprinted foraminifers; agglutinated foraminifers observed allover,,,,362,U1480,G,5,R,2,A,,,,53
362-U1480G-5R-3-A,0,113,785.88,787.01,IIC,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5Y 2.5/1 (black),,,,,,partially lithified,,,,,,,"small-scaled lamination in mm-size due to higher silt content in the clay (clay with silt) sometimes highly bioturbated resulting in mm-sized, horizontal aligned lenses, especially between 18 and 27 cm, 34 to 38 cm.",planar lamination,heavy [DB91],4,Nereites,Phycosiphon,,,encrustation [BJ80],foraminifer,R [A85],,,,,diagenetic overprinted foraminifers; agglutinated foraminifers observed allover,,,,362,U1480,G,5,R,3,A,,,,54
362-U1480G-5R-4-A,0,14,787.17,787.31,IIC,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5Y 2.5/1 (black),,,,,,partially lithified,,,,,,,"small-scaled lamination in mm-size due to higher silt content in the clay (clay with silt) sometimes highly bioturbated resulting in mm-sized, horizontal aligned lenses",planar lamination,heavy [DB91],4,Nereites,Phycosiphon,,,encrustation [BJ80],foraminifer,R [A85],,,,,diagenetic overprinted foraminifers; agglutinated foraminifers observed allover,,,,362,U1480,G,5,R,4,A,,,,55
362-U1480G-5R-4-A,14,38,787.31,787.55,IIC,,very fine sand,,very fine sand,very fine sand,very fine sand,,2.5Y 2.5/1 (black),planar,sharp,planar sharp,horizontal,medium bed [B01],partially lithified,fine sand [W22_2],4,normal grading,well [2014],silt [W22_1],fine sand [W22_2],clast made out of mudstone at top of the sand layer; additionally common horizontal oriented plant fragments preferentially in the upper part of the sand body,,absent [DB91],1,,,,rip-up clast [NMJ05],,plant fragment,C [A85],mudstone [2014],,sub-rounded,,,,,,362,U1480,G,5,R,4,A,,,,56
362-U1480G-5R-4-A,38,41,787.55,787.58,IIC,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5Y 2.5/1 (black),,,,,,partially lithified,,,,,,,"small-scaled lamination in mm-size due to higher silt content in the clay (clay with silt) sometimes highly bioturbated resulting in mm-sized, horizontal aligned lenses",planar lamination,heavy [DB91],4,Nereites,Phycosiphon,,,encrustation [BJ80],foraminifer,R [A85],,,,,diagenetic overprinted foraminifers; agglutinated foraminifers observed allover,,,,362,U1480,G,5,R,4,A,,,,57
362-U1480G-5R-4-A,41,41.5,787.58,787.585,IIC,,very fine sand,,very fine sand,very fine sand,very fine sand,,2.5YR 4/1 (dark reddish gray),planar,sharp,planar sharp,horizontal,thin lamina [B01],partially lithified,very fine sand [W22_2],3,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,G,5,R,4,A,,,,58
362-U1480G-5R-4-A,41.5,43,787.585,787.6,IIC,,clay [S54],with silt [2014],clay,clay with silt,clay with silt,,2.5Y 2.5/1 (black),,,,,,partially lithified,,,,,,,"small-scaled lamination in mm-size due to higher silt content in the clay (clay with silt) sometimes highly bioturbated resulting in mm-sized, horizontal aligned lenses",planar lamination,heavy [DB91],4,Nereites,Phycosiphon,,,encrustation [BJ80],foraminifer,R [A85],,,,,diagenetic overprinted foraminifers; agglutinated foraminifers observed allover,,,,362,U1480,G,5,R,4,A,,,,59
362-U1480G-5R-4-A,43,43.5,787.6,787.605,IIC,,very fine sand,,very fine sand,very fine sand,very fine sand,,2.5YR 4/1 (dark reddish gray),planar,sharp,planar sharp,horizontal,thin lamina [B01],partially lithified,very fine sand [W22_2],3,normal grading,moderate [2014],silt [W22_1],very fine sand [W22_2],,planar lamination,absent [DB91],1,,,,,,,,,,,,,,,,362,U1480,G,5,R,4,A,,,,60
