Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Diagenetic constituent,Diagenetic constituent composition,Biogenic material,Lithologic accessories,Contact or boundary type,Contact geometry,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
374-U1521A-1R-1-A,0.0,25.0,0.0,0.25,diatom rich,mud,,diatom rich mud,,5Y 5/3 (olive),none [DB86],0,absent [A79],,,,,,sharp boundary or contact,planar,,,,,374,U1521,A,1,R,1,A,,,
374-U1521A-1R-1-A,25.0,30.0,0.25,0.3,diatom bearing,mud,,diatom bearing mud,,N 6 (gray),none [DB86],0,absent [A79],,,,,,sharp boundary or contact,planar,,,,,374,U1521,A,1,R,1,A,,,
374-U1521A-1R-1-A,30.0,90.0,0.3,0.9,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom bearing sandy mud(stone) to muddy sand(stone) with dispersed clasts,,5Y 6/1 (gray),none [DB86],0,present [A79],,,,,lonestone,sharp boundary or contact,planar,,,,,374,U1521,A,1,R,1,A,,,
374-U1521A-1R-1-A,90.0,100.0,0.9,1.0,diatom bearing,mud,with common clasts,diatom bearing mud with dispersed clasts,,5Y 4/1 (dark gray),none [DB86],0,present [A79],,,,,mud clast,,,,,,,374,U1521,A,1,R,1,A,,,
374-U1521A-1R-2-A,0.0,5.0,1.0,1.05,diatom bearing,mud,with dispersed clasts,diatom bearing mud with dispersed clasts,,5Y 4/1 (dark gray),none [DB86],0,present [A79],,,,,,sharp boundary or contact,planar,,,,,374,U1521,A,1,R,2,A,,,
374-U1521A-1R-2-A,5.0,107.0,1.05,2.07,diatom bearing,mud,with dispersed clasts,diatom bearing mud with dispersed clasts,,N 6 (gray),none [DB86],0,present [A79],,,,,mud clast,sharp boundary or contact,planar,clasts are clay clasts,,,,374,U1521,A,1,R,2,A,,,
374-U1521A-1R-2-A,107.0,130.0,2.07,2.3,diatom bearing,mud,with abundant clast,diatom bearing mud with dispersed clasts,,2.5Y 4/2 (dark grayish brown),none [DB86],0,present [A79],,,,,,sharp boundary or contact,planar,,,,,374,U1521,A,1,R,2,A,,,
374-U1521A-1R-2-A,130.0,150.0,2.3,2.5,diatom bearing,mud,,diatom bearing mud,,N 6 (gray),none [DB86],0,absent [A79],,,,,,gradational boundary or contact,,,,,,374,U1521,A,1,R,2,A,,,
374-U1521A-1R-3-A,0.0,90.0,2.5,3.4,diatom bearing,mud,,diatom bearing mud,,N 6 (gray),none [DB86],0,absent [A79],,,,,,,,,,,,374,U1521,A,1,R,3,A,,,
374-U1521A-1R-4-A,0.0,17.0,3.5,3.67,diatom bearing,mud,,diatom bearing mud,,N 6 (gray),none [DB86],0,absent [A79],,,,,,,,,,,,374,U1521,A,1,R,4,A,,,
374-U1521A-1R-4-A,17.0,30.0,3.67,3.8,diatom bearing,mud,with dispersed clasts,diatom bearing mud with dispersed clasts,,10Y 6/1 (greenish gray),none [DB86],0,present [A79],,,,,mud clast,sharp boundary or contact,planar,clasts are clay clasts,,,,374,U1521,A,1,R,4,A,,,
374-U1521A-1R-4-A,30.0,40.0,3.8,3.9,diatom bearing,mud,with dispersed clasts,diatom bearing mud with dispersed clasts,,2.5Y 4/1 (dark gray),none [DB86],0,present [A79],,,,,,sharp boundary or contact,planar,,,,,374,U1521,A,1,R,4,A,,,
