Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Archaeodictyomitra simplex,Acaeniotyle diaphorogona,gen. et sp. indet 2,gen. et sp. indet 1,Xitus spinosus,Stichomitra stocki,Stichomitra communis,Rhopalosyringium sp. cf. R. euganeum,Pseudodictyomitra lodogaensis,Orbiculiforma sp.,Novixitus mclaughlini,Cryptamphorella crepida,Cryptamphorella conara,Archaeospongoprunum sp.,Archaeospongoprunum carrierensis,Alievum sculptus,?Xitus sp. cf. X. spicularius,Theocampe apicata,Rhopalosyringium mosquense,Orbiculiforma maxima,Cryptamphorella sp.,Triactoma sp.,Acaeniotyle umbilicata,Dicroa rara,Cavaspongia sphaerica,Tubilastrum sp. cf. T. transmontanum,Savoryella quadra,Patellula heroica,Mita gracilis,Dactyliosphaera lepta,Crucella messinae,Crucella irwini,Acanthocircus multidentalus,Acaeniotyle amplissima,?Hiscocapsa sp.,Torculum coronatum,Patulibracchium sp.,Patellula verteroensis,Napora praespinifera,Guttacapsa biacuta,Angulobracchia digita,Dactyliosphaera silviae,Cavaspongia euganea,Archaeodictyomitra crebrisulcata,Xitus spicularius,Vitorfus morini,Rhopalosyringium hispidum,Guttacapsa gutta,Dictyomitra napaensis,Dictyomitra multicostata,Dictyomitra densiocosta,?Krempelinella sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Turonian         ,Santonian        ,                  ,              ,159, 962,B,  8,H, 4,   2.00,     69.0200,Erbacher ,Radiolarians                                 ,C              ,M                 ,S                         ,                        ,                   ,                   ,              ,R                 ,                    ,                                    ,                             ,                 ,                     ,                       ,                      ,                       ,                                ,                ,                             ,                 ,                          ,                    ,                   ,             ,                      ,           ,                     ,                                    ,                 ,                 ,             ,                     ,                 ,               ,                           ,                      ,               ,                  ,                   ,                      ,                    ,                  ,                     ,                       ,                   ,                                ,S                ,               ,                         ,                ,                     ,R                       ,S                      ,                  ,from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Turonian         ,Santonian        ,                  ,              ,159, 962,B,  8,H, 4,  24.00,     69.2400,Erbacher ,Radiolarians                                 ,C              ,M                 ,                          ,                        ,                   ,                   ,              ,S                 ,                    ,                                    ,                             ,                 ,                     ,                       ,                      ,                       ,                                ,                ,                             ,                 ,                          ,                    ,                   ,             ,                      ,           ,                     ,                                    ,                 ,                 ,S            ,                     ,                 ,               ,                           ,                      ,               ,                  ,                   ,                      ,                    ,                  ,                     ,                       ,                   ,                                ,F                ,S              ,S                        ,S               ,S                    ,F                       ,S                      ,S                 ,M. gracilis identification questionable. from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Turonian         ,Santonian        ,                  ,              ,159, 962,B,  8,H, 4,  85.00,     69.8500,Erbacher ,Radiolarians                                 ,C              ,M                 ,                          ,                        ,                   ,S                  ,              ,S                 ,F                   ,                                    ,                             ,                 ,                     ,                       ,                      ,R                      ,                                ,                ,                             ,                 ,                          ,S                   ,                   ,S            ,S                     ,           ,S                    ,S                                   ,                 ,S                ,R            ,F                    ,                 ,               ,                           ,                      ,S              ,                  ,                   ,                      ,                    ,                  ,                     ,                       ,S                  ,S                               ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,from Leg 160SR Ch 29 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Cenomanian       ,                 ,                  ,              ,159, 962,B,  8,H, 4, 139.00,     70.3900,Erbacher ,Radiolarians                                 ,C              ,M                 ,F                         ,                        ,                   ,R                  ,              ,                  ,C                   ,S                                   ,                             ,                 ,                     ,                       ,S                     ,S                      ,                                ,                ,                             ,                 ,                          ,R                   ,                   ,R            ,R                     ,           ,R                    ,R                                   ,S                ,                 ,R            ,R                    ,                 ,S              ,                           ,S                     ,R              ,                  ,                   ,S                     ,S                   ,                  ,                     ,                       ,                   ,                                ,                 ,               ,                         ,                ,                     ,                        ,                       ,                  ,from Leg 160SR Ch 29 Table 1
