Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Fissurina alveolata,Fissurina cf. radiata,Fissurina cf. staphyllearia,Fissurina spp.,Frondicularia sagittula,Frondicularia spp.,Fursenkoina bradyi,Fursenkoina complanata,Fursenkoina rotundata,Fursenkoina schreibersiana,Fursenkoina spp.,Gaudryina spp.,Gavelinella spp.,Gavelinopsis praegeri,Gavelinopsis? Sp.,Gavelinopsis translucens,Glabratella patelliformis,Glandulina ovula,Glandulina spp.,Globobulimina affinis,Globobulimina auriculata,Globobulimina cf. pacifica,Globobulimina pacifica,Globobulimina spinescens,Globobulimina spp.,Globobulimina turgida,Globocassidulina globosa,Globocassidulina oblonga,Globocassidulina spp.,Globocassidulina? sp. 1,Globulina gibba,Glomospira charoides,Glomospira gordialis,Glomospira spp.,Grigelis spp.,Guttulina spp.,Gyroidina orbicularis,Gyroidina cf. broeckhiana,Gyroidina spp.,Gyroidinoides octocameratus,Gyroidinoides soldanii,Gyroidinoides spp.,Hanzawaia concentrica,Hanzawaia rhodiensis,Hanzawaia? sp.,Hanzawaia spp.,Haplophragmoides spp.,Haynesina sp.,Heterolepa sp.,Hoeglundina elegans,Hopkinsina spp.,Hormosina globulifera,Hormosina spp.,Hyalina balthica,Hyaline indet.,Hyalinonetrion gracillimum,Hyperammina elongata,Hyperammina laevigata,Hyperammina spp.,Islandiella islandica,Jaculella obtusa,Karreriella bradyi,Karreriella spp.,Karrerulina spp.,Labrospira jeffreysi,Labrospira sp.,Laevidentalina spp.,Lagena costata,Lagena gracilis,Lagena hispidula,Lagena semistriata,Lagena spp.,Lagenammina spp.,Laticarinina pauperata,Lenticulina gibba,Lenticulina rotulata,Lenticulina spp.,Lingulina seminuda,Lingulina spp.,Loxostomina cf. major,Loxostomina major,Loxostomum spp.,Comment,File Data,Zone name,Zone name (short)
339-U1387A-1H-CC-PAL-FORAM,339,U1387,A,1,1-CC,H,CC,PAL,FORAM,0,5,5.02,5.07,,,,P ,,,,,,,,,,,,,,,,,,,,,,,R ,P ,,,,,,,,,,,,,R ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387A-3H-CC-PAL-FORAM,339,U1387,A,3,3-CC,H,CC,PAL,FORAM,0,4,24.27,24.31,,,,P ,,,,,,,,,R ,,,,,,,,,,,,,P ,R ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,P ,,,,,,,R ,,,,,,,
339-U1387A-5H-CC-PAL-FORAM,339,U1387,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.64,42.69,,,,R ,,,,P ,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387A-7X-CC-PAL-FORAM,339,U1387,A,7,7-CC,X,CC,PAL,FORAM,0,5,52.51,52.56,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,P ,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,
339-U1387A-9X-CC-PAL-FORAM,339,U1387,A,9,9-CC,X,CC,PAL,FORAM,0,4,74.72,74.76,,,,,,,,,,,,,,,,,,,,,,,,,P ,P ,,,R ,,,,,,,,,,,,F ,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,R ,,,,,,,
339-U1387A-11X-6-PAL-FORAM,339,U1387,A,11,11-6,X,6,PAL,FORAM,0,5,92.37,92.42,,,,,,,,,,,,,,,,,,,,,,,,,R ,,P ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,R ,,,,,,,
339-U1387A-13X-CC-PAL-FORAM,339,U1387,A,13,13-CC,X,CC,PAL,FORAM,0,5,113.34,113.39,,,,P ,,,,,,,,,,,,,,,,R ,,,,P ,,R ,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387A-15X-CC-PAL-FORAM,339,U1387,A,15,15-CC,X,CC,PAL,FORAM,0,5,132.38,132.43,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,R ,,,,,,,,,P ,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,
339-U1387A-17X-CC-PAL-FORAM,339,U1387,A,17,17-CC,X,CC,PAL,FORAM,0,5,151.28,151.33,,,,,,,,P ,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,P ,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387A-19X-CC-PAL-FORAM,339,U1387,A,19,19-CC,X,CC,PAL,FORAM,0,5,170.6,170.65,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,P ,,,,,,,P ,,,,,,,
