Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Calcidiscus leptoporus,Calcidiscus leptoporus (small 3-5 um),Calcidiscus macintyrei (>11 um),Calcidiscus premacintyrei (> 9 microns),Catinaster calyculus,Catinaster coalitus,Catinaster spp.,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus,Coccolithus braarudii,Coronocyclus nitescens,Cyclicargolithus floridanus,Dictyococcites spp. (small),Dictyococcites spp. (medium),Discoaster berggrenii,Discoaster brouweri,Discoaster deflandrei,Discoaster hamatus,Discoaster kugleri,Discoaster pentaradiatus,Discoaster quinqueramus,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster sp.,Emiliania huxleyi,Gephyrocapsa sp. (large),Gephyrocapsa sp. medium,Gephyrocapsa spp. (small),Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera sellii,Nicklithus amplificus,Pseudoemiliania lacunosa,Reticulofenestra asanoi,Reticulofenestra minuta,Reticulofenestra minutula (3-5 microns),Reticulofenestra pseudoumbilica(5-7microns),Reticulofenestra pseudoumbilica (>7microns),Sphenolithus abies,Sphenolithus heteromorphus,Sphenolithus moriformis,Sphenolithus sp.,Triquetrorhabdulus rugosus,Triquetrorhabdulus sp.,comments
323-U1340A-1H-CC-PAL7-NANNO9    ,323,U1340,A,1,1-CC,H,CC,PAL7,NANNO9    ,0,0,3.8,3.8,M [323_Na],F [323_Na],,,,,,,,,,,,D [323_Na],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Etching in C. pelagicus. Thoracosphaera spp. 
323-U1340A-2H-CC-PAL37-NANNO40   ,323,U1340,A,2,2-CC,H,CC,PAL37,NANNO40   ,0,0,13.82,13.82,M-P [323_Na],R [323_Na],,,,,,,,,,,,R [323_Na],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-3H-CC-PAL74-NANNO79   ,323,U1340,A,3,3-CC,H,CC,PAL74,NANNO79   ,0,0,23.39,23.39,,B [323_Na],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-4H-CC-PAL9-NANNO24   ,323,U1340,A,4,4-CC,H,CC,PAL9,NANNO24   ,0,0,32.75,32.75,,B [323_Na],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-5H-CC-PAL54-NANNO59   ,323,U1340,A,5,5-CC,H,CC,PAL54,NANNO59   ,0,0,42.35,42.35,M-P [323_Na],A [323_Na],,,,,,,,,,,,D [323_Na],,,,,,,,,,,,,,,,,,,F [323_Na],F [323_Na],,,,,,,,,,,,,,,,,"rwk specimens D. brouweri, Prediscosphaera sp., C. miopelagicus"
323-U1340A-6H-CC-PAL89-NANNO22   ,323,U1340,A,6,6-CC,H,CC,PAL89,NANNO22   ,0,0,51.92,51.92,,B [323_Na],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rwk specimen unknown
323-U1340A-7H-CC-PAL19-NANNO27   ,323,U1340,A,7,7-CC,H,CC,PAL19,NANNO27   ,0,0,61.41,61.41,M-P [323_Na],F [323_Na],,,,,,,,,,,,F [323_Na],,,,,,,,,,,,,,,,,,,R [323_Na],F [323_Na],,,,,R [323_Na],,,,,,,,,,,,
323-U1340A-8H-CC-PAL59-NANNO89   ,323,U1340,A,8,8-CC,H,CC,PAL59,NANNO89   ,0,0,70.98,70.98,,B [323_Na],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1340A-9H-CC-PAL-NANNO93   ,323,U1340,A,9,9-CC,H,CC,PAL,NANNO93   ,0,0,80.35,80.35,M-P [323_Na],A [323_Na],,,,,,,,,,,,A [323_Na],,,,,,,,,,,,,,,,,,,R [323_Na],F [323_Na],,,,,,,,D [323_Na],,,,,,,,,rwk 
323-U1340A-10H-CC-PAL-NANNO99   ,323,U1340,A,10,10-CC,H,CC,PAL,NANNO99   ,0,0,89.83,89.83,G [323_Na],A [323_Na],,,,,,,,,,,,A [323_Na],,,,,,,,,,,,,,,,,,,R [323_Na],,,,,,,,,,,,,,,,,,rwk spec Coccolithus spp. & Dictyococcites spp. (Paleogene)
