dupes and comments,Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Abyssamina poagi,Abyssamina quadrata,Alabamina cf. dissonata,Alabamina creta,Alabamina decorata ?,Alabamina dissonata,Alabamina sp.,Ammodiscus cretaceus,Ammodiscus tenuissima,Ammonia beccarii,Ammonia tepida,Anastomosa nuttalli,Angulogerina angulosa,Anomalina praeacuta,Anomalina sp.,Anomalina spissiformis,Anomalinoides semicribratus,Anomalinoides sp.,Aragonia aragonensis,Aragonia ouezzanensis ,Aragonia velascoensis ,Arenobulimina ?,Aschemonella ramuliformis,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bigenerina ?,Bolivina acuminata,Bolivina advena,Bolivina anambra,Bolivina argentea,Bolivina decussata,Bolivina incrassata,Bolivina interjuncta,Bolivina interjuncta var. bicostata,Bolivina ordinaria,Bolivina pacifica,Bolivina seminuda,Bolivina seminuda var. humilis,Bolivina semiperforata,Bolivina sp.,Bolivina sp. 1,Bolivina sp. 2,Bolivina sp. 3,Bolivina spinescens,Bolivina spissa,Bolivina striatula,Bolivina subadvena,Bolivina translucens,Bolivina vaughani,Bolivina wissleri,Bolivinellina translucens,Bolvina pseudoplicata,Bolvina subaenariensis,Brizalina alata,Brizalina cf. dilatata,Brizalina sp.,Brizalina spathulata,Brizalina spp.,Buccella sp.,Bulbobaculites ?,Bulimina aculeata,Bulimina alazanensis ,Bulimina bleeckeri ,Bulimina bradburyi,Bulimina callahani ,Bulimina costata,Bulimina denudata,Bulimina glomarchallengeri,Bulimina impendens,Bulimina inflata,Bulimina jarvisi ,Bulimina macilenta,Bulimina marginata,Bulimina mexicana,Bulimina microcostata,Bulimina midwayensis,Bulimina navarroensis,Bulimina semicostata,Bulimina sp.,Bulimina thanetensis,Bulimina trinitatensis,Bulimina tuxpamensis,Buliminella beaumonti,Buliminella cf. beaumonti ,Buliminella curta,Buliminella elegantissima,Buliminella sp.,Cancris ?,Cancris auricula,Cancris inflatus,Cancris oblonga,Cassidulina californica,Cassidulina carinata,Cassidulina delicata,Cassidulina limbata,Cassidulina minuta,Cassidulina reniforme,Cassidulina subglobosa,Cassidulina tumida,Chilostomella oolina,Chilostomella ovoidea,Chrysalogonium intertenuatum,Chrysalogonium longicostatum ,Chrysalogonium sp.,Chrysalogonium spp.,Cibicides burlingtonensis,Cibicides lobatulus,Cibicides refulgens,Cibicides sp.,Cibicides sp. 1,Cibicidoides aff. laurisae,Cibicidoides barnetti,Cibicidoides bradyi,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides eocaenus,Cibicidoides globulosus,Cibicidoides grimsdalei,Cibicidoides haitensis,Cibicidoides havanensis ,Cibicidoides hyphalus?,Cibicidoides incrassatus,Cibicidoides kullenbergi,Cibicidoides laurisae,Cibicidoides mckannai,Cibicidoides mexicanus,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides pachyderma var. bathyalis,Cibicidoides praemundulus,Cibicidoides pseudoperlucidus,Cibicidoides sp.,Cibicidoides subspiratus,Cibicidoides tuxpamensis,Cibicidoides ungerianus ,Cibicidoides wuellerstorfi,Citharina sp.,Citharinella sp.,Clinapertina complanata,Clinapertina sp.,Clinapertina subplanispira,Conorotalites aptiensis,Coryphostoma midwayensis ,Cribostomoides sp.,Cribronodosaria sp.,Cushmanina striatopunctata,Cyclammina sp.,Dentalina communis ,Dentalina flintii,Dentalina gracilis,Dentalina leguminiformis,Dentalina sp.,Discorbinella bertheloti,Discorbinella sp.,Discorbis?,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ehrenbergina trigona,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Ellipsoidella gracillima,Ellipsoidella pleurostomelloides,Ellipsoglandulina labiata,Ellipsoglandulina sp.,Elphidium crispum,Epistominella pacifica,Epistominella smithi,Epistominella sp.,Epistominella umbonifera ?,Eponides plummerae,Eponides regularis,Eponides sp.,Evolvocassidulina spp.,Fissurina sp.,Frondicularia sp.,Fursenkoina fusiformis,Fursenkoina pontoni,Furserkoina sp.,Gaudryina laevigata,Gaudryina pyramidata,Gavelinella beccariiformis,Gavelinella capitata,Gavelinella cenomanica,Gavelinella cf. intermedia,Gavelinella danica,Gavelinella hyphalus,Gavelinella intermedia,Gavelinella micra?,Gavelinella sp.,Gavelinopsis praegeri,Glbobulimina spp.,Globobulimina affinis,Globobulimina auriculata,Globobulimina pacifica,Globobulimina sp.,Globocassidulina crassa,Globocassidulina globosa,Globocassidulina obtusa,Globocassidulina sp.,Globocassidulina subglobosa,Globulina spp. ,Glomospira sp. ,Griselis pyrula,Guttulina sp.,Gyroidina neosoldanii,Gyroidina rothwelli,Gyroidina sp. ,Gyroidinoides altiformis,Gyroidinoides girardanus,Gyroidinoides globosus,Gyroidinoides spp.,Hanzawaia bertheloti,Hanzawaia cushmani,Hanzawaia sp.,Haplophragmoides sp. ,Heterolepa sp. ,Hoeglundina elegans,Hormonisella sp.,Islandiella australis,Kalamopsis (?) ,Karreriella bradyi,Karreriella sp. ,Karreriella subglabra,Laevidentalina aphelis,Laevidentalina catenula,Laevidentalina nana,Laevidentalina oligostegia,Laevidentalina sp.,Lagena caudata,Lagena hispidula,Lagena sp.,Lagena striata,Lagenammina difflugiformis?,Laticarinina pauperata,Lenticulina calcar,Lenticulina cf. adenalensis,Lenticulina gibba,Lenticulina rotulata,Lenticulina sp.,Lenticulina whitei ,Liebusella?,Lingulogavelinella sp.,Loxostomum pseudobeyrichi,Loxostomum sp.,Marssonella oxycona,Martinottiella sp. N/A,Melonis affinis,Melonis pompilioides,Melonis sp.,Miliolid taxa,Mucronina acuta,Myllostomella fijiensis,Myllostomella spp.?,Neoconorbina spp.,Neoeponides campester ?,Neoeponides hillebrandti,Neoeponides procerus,Neoeponides sp.,Neoflabellina semireticulata,Neoflabellina sp.,Nodosarella sp. ,Nodosarella tuberosa ,Nodosaria aspera,Nodosaria sp.,Nonion ?,Nonion havanensis,Nonion spp.,Nonionella atlantica,Nonionella basispinata,Nonionella miocenica,Nonionella sp.,Nonionella stella,Nonionella turgida,Nonionellina labradorica,Nuttallides decorata?,Nuttallides sp.,Nuttallides truempyi,Nuttallides umbonifera,Nuttallinella florealis,Oolina globosa,Oolina spp.,Oridorsalis sp.,Oridorsalis sp. ,Oridorsalis umbonatus,Orthomorphina havanensis,Orthomorphina sp.,Ortomorphina spp.,Osangularia mexicana,Osangularia plummerae,Osangularia schloenbachi,Osangularia sp. ,Osangularia velascoensis,Others,Ovammina sp.,Palliolatella sp.,Parafissurina ventricosa,Parafrondicularia sp.,Paralabamina ?,Paralabamina hillebrandti,Planulina exorna,Planulina ornata,Planulina renzi,Planulina sp.,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Plectofrondicularia sp.,Pleurostomella acuminata,Pleurostomella acuta,Pleurostomella brevis,Pleurostomella clavata,Pleurostomella obtusa,Pleurostomella paleocenica,Pleurostomella reussi,Pleurostomella sp. ,Pleurostomella spp.,Pleurostomella tenuis,Polymorphina sp.,Praeglobobulimina cf. spinescens,Praeglobobulimina ovata,Procerolagena gracilis,Proxifrons inaequalis,Proxifrons spp.,Pseudoparrella naraensis,Pseudoparrella sp.,Pullenia bulloides,Pullenia cf. jarvisis,Pullenia coryelli,Pullenia eocaenica,Pullenia jarvisi,Pullenia quinqueloba,Pullenia sp.,Pullenia subcarinata,Pyramidina rudita,Pyramidina sp. ,Pyramidulina sp.,Pyramidulina tetragona,Pyrgo depressa,Pyrgo murrhina,Pyrgo serrata,Pyrgo sp.,Pyrulina sp.,Quadratobuliminella pyramidalis,Quadrimorphina profunda,Quadrimorphina sp.,Quinqueloculina seminula,Quinqueloculina sp.,Ramulina sp.,Rectuvigerina sp.,Recurvoides?,Reophax sp.,Reusella spinulosa,Reussella sp.,Reussella szajnochae,Rhabdammina sp.,Rhizammina sp.,Rosalina vilardeboana,Rutherfordoides mexicanus,Rzehakina epigona,Rzehakina epigona lata,Rzehakina epigona minima,Saccammina sp. ,Saccorhiza ramosa,Saracenaria sp.,Scallopostoma ovicula,Sigmoilina obesa,Sigmoilopsis schlumbergeri,Sigmopyrgo vespertilio,Siphonina sp.,Siphonodosaria gracillima,Siphonodosaria hispidula,Siphonodosaria ketienziensis,Siphonodosaria lepidula ,Siphonodosaria sp.,Siphonodosaria spp.,Siphotextularia sp.,Siphouvigerina ampullacea,Siphouvigerina sp.,Sphaeroidina bulloides,Spirillina sp.,Spiroloculina depressa,Spiroplectammina gandolfii,Spiroplectammina sp.,Spiroplectammina spectabilis,Spiroplectinata annectens,Spirosigmoilina distorta,Spirosigmoilina pusilla,Spirosigmoilina tenuis,Stainforthia complanata,Stainforthia sandiegoensis,Stainforthia exilis,Stainforthia fusiformis,Stainforthia sp.,Stilostomella aculeata,Stilostomella gracillima,Stilostomella holoserica,Stilostomella lepidula,Stilostomella midwayensis,Stilostomella paleocenica,Stilostomella sp. ,Stilostomella subspinosa,Stilostomella subtertenuata,Strictocostella scharbergana,Strictocostella sp.,Suggrunda eckisi,Tappanina laciniosa,Textularia spp.,Toddostomella hochstetteri,Trifarina carinata,Trifarina sp.,Triloculina sp.,Tritaxia globulifera,Tritaxia havanensis,Tritaxia sp.,Trochammina sp.,Turrilina robertsi ,Turrilina sp.,Usbekistania charoides,Uvigerina auberiana,Uvigerina cf. mexicana,Uvigerina dirupta,Uvigerina elongata,Uvigerina excellens,Uvigerina garzaensis,Uvigerina hispidocostata,Uvigerina juncea,Uvigerina mantaensis,Uvigerina mexicana,Uvigerina peregrina,Uvigerina rippensis ,Uvigerina senticosa,Uvigerina sp.,Vaginulinopsis sp.,Valvulina spinosa?,Valvulineria araucana,Valvulineria glabra,Valvulineria oblonga,Valvulineria sp. ,Valvulineria sp. 1,Valvulineria sp. 2,Virgulina schreiberriana,Comments,constituent,fossil_group,preservation,abundance_name,fossil,comment,count_type,count,File Data,Ship File Links,Shore File Links,Zone name,Zone name (short)
,344-U1412B-1H-1-W 0/2-PAL-FORAM,344,U1412,B,1,1-1,H,1,W,0/2-PAL-FORAM,0,2,0,0.02,G,C,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,2,7,,3,,,2,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,13,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,7,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,7,,,5,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,6,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,5,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,1,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,18,,,,,,,,,,7,,,1,,,,1,,,,1,,"P/B=0.7, top of Hole 1412, mud line",,,,,,,,,,,,,
,344-U1412B-1H-CC-PAL-FORAM,344,U1412,B,1,1-CC,H,CC,PAL,FORAM,0,5,6.67,6.72,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,44,,,,,,,,,,36,,,,,,,1,,,,,,P/B= 0.74,,,,,,,,,,,,,
,344-U1412B-3X-CC-PAL-FORAM,344,U1412,B,3,3-CC,X,CC,PAL,FORAM,0,5,158.98,159.03,G,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,7,,,,,,,3,,,,,,,,,5,,,,6,,,,,,,,,,,,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,7,,,3,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,7,,,,,,,,,,9,,,,,,,9,,,,,,P/B=0.77,,,,,,,,,,,,,
,344-U1412B-4X-CC-PAL-FORAM,344,U1412,B,4,4-CC,X,CC,PAL,FORAM,0,5,168.83,168.88,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,344-U1412B-5X-CC-PAL-FORAM,344,U1412,B,5,5-CC,X,CC,PAL,FORAM,0,5,177.55,177.6,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,6,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,8,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,36,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2,,,,,2,,,,,,,,6,,,2,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,22,,,,,,,,,,,,,P/B=0.74,,,,,,,,,,,,,
,344-U1412B-6X-CC-PAL-FORAM,344,U1412,B,6,6-CC,X,CC,PAL,FORAM,0,5,189.88,189.93,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,344-U1412B-7X-CC-PAL-FORAM,344,U1412,B,7,7-CC,X,CC,PAL,FORAM,0,5,197.98,198.03,M,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,2,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,6,,,1,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,2,,,,,,,,,,,,,P/B=0.75,,,,,,,,,,,,,
,344-U1412B-8X-1-W 54/56-PAL-CYL88     ,344,U1412,B,8,8-1,X,1,W,54/56-PAL-CYL88     ,0,2,205.38,205.4,M,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,4,,,,3,,,,,,,,,7,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,17,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,p/b=0.07,,,,,,,,,,,,,
,344-U1412B-9X-CC-PAL-FORAM,344,U1412,B,9,9-CC,X,CC,PAL,FORAM,0,5,214.33,214.38,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,1,,,,,,,,,29,,,,,,,15,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,32,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,6,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,P/B=031,,,,,,,,,,,,,
,344-U1412B-10X-CC-PAL-FORAM,344,U1412,B,10,10-CC,X,CC,PAL,FORAM,0,4,223.79,223.83,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,17,,,,2,,,,,,,,,7,,,,,,,24,,,2,,,,13,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,20,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,9,,,,,,,,2,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,1,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,MISSING,,,,,,,,,,,,,
