Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF Comment,File Data,Zone name,Zone name (short)
339-U1387A-1H-CC-PAL-FORAM,339,U1387,A,1,1-CC,H,CC,PAL,FORAM,0,5,5.02,5.07,G ,A ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,P ,,P ,,,,,A ,,R ,,,,P ,,,R ,P ,,,,,,,,,
339-U1387A-3H-CC-PAL-FORAM,339,U1387,A,3,3-CC,H,CC,PAL,FORAM,0,4,24.27,24.31,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,R ,,,,,A ,,R ,,,,,,,,,,,,,,,,,
339-U1387A-5H-CC-PAL-FORAM,339,U1387,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.64,42.69,G ,D ,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,P ,,R ,,P ,,,A ,,R ,,,,F ,,,,,,,,,,,,,
339-U1387A-7X-CC-PAL-FORAM,339,U1387,A,7,7-CC,X,CC,PAL,FORAM,0,5,52.51,52.56,M ,D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,P ,,,D ,,R ,,,,R ,,,,R ,,,,,P ,,,,
339-U1387A-9X-CC-PAL-FORAM,339,U1387,A,9,9-CC,X,CC,PAL,FORAM,0,4,74.72,74.76,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,P ,,P ,,,P ,,,,,,F ,,,,P ,,,,,,,,,
339-U1387A-11X-6-PAL-FORAM,339,U1387,A,11,11-6,X,6,PAL,FORAM,0,5,92.37,92.42,G ,D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,A ,,,,,,F ,,,F ,,,P ,,,,,,,
339-U1387A-13X-CC-PAL-FORAM,339,U1387,A,13,13-CC,X,CC,PAL,FORAM,0,5,113.34,113.39,G ,D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,P ,,,P ,R ,R ,R ,,,,,,,
339-U1387A-15X-CC-PAL-FORAM,339,U1387,A,15,15-CC,X,CC,PAL,FORAM,0,5,132.38,132.43,G ,D ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,R ,,,,,,,,,,,R ,,P ,,,,P ,,,,,,P ,,,,,,,
339-U1387A-17X-CC-PAL-FORAM,339,U1387,A,17,17-CC,X,CC,PAL,FORAM,0,5,151.28,151.33,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,P ,,R ,,,F ,,P ,,,,F ,,,P ,R ,,,,,,,,,
339-U1387A-19X-CC-PAL-FORAM,339,U1387,A,19,19-CC,X,CC,PAL,FORAM,0,5,170.6,170.65,G ,A ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,F ,,,,,,R ,,,,,R ,,P ,,,,R ,,,P ,R ,,,,,,,,,
339-U1387A-21X-CC-PAL-FORAM,339,U1387,A,21,21-CC,X,CC,PAL,FORAM,0,5,189.64,189.69,G ,D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,
339-U1387A-24X-CC-PAL-FORAM,339,U1387,A,24,24-CC,X,CC,PAL,FORAM,0,5,218.66,218.71,G ,D ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,R ,,,,,,R ,,,,,F ,,R ,,,,,P ,,,P ,,,,,,,,,
339-U1387A-26X-CC-PAL-FORAM,339,U1387,A,26,26-CC,X,CC,PAL,FORAM,0,5,237.78,237.83,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,P ,,,A ,P ,R ,,,,A ,,,P ,R ,,,,,,,,,
339-U1387A-28X-CC-PAL-FORAM,339,U1387,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.69,256.74,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,P ,,,,,R ,,R ,,,,R ,,,,,,,,,,,,,
339-U1387A-30X-CC-PAL-FORAM,339,U1387,A,30,30-CC,X,CC,PAL,FORAM,0,5,276.24,276.29,G ,A ,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,R ,,,,,R ,,,,,,,,,,P ,,P ,,,,,,,
339-U1387A-32X-CC-PAL-FORAM,339,U1387,A,32,32-CC,X,CC,PAL,FORAM,0,5,295.24,295.29,G ,A ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,R ,,,A ,,,,,,P ,,,P ,,,R ,,,,,,,
339-U1387A-34X-CC-PAL-FORAM,339,U1387,A,34,34-CC,X,CC,PAL,FORAM,0,5,314.97,315.02,G ,A ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,P ,,R ,,P ,,,D ,,,,,,R ,,,,,,,,,,,,,
