Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Marginulina pediformis,Marginulina spp.,Marginulinopsis spp.,Marsipella elongata,Martinotiella bacillaris,Martinottiella communis,Martinottiella spp.,Massilina sp.,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Melonis zaandamae,Miliammina spp.,Miliolid taxa (large),Miliolid taxa,Miliolinella sp.,Miliolinella subrotunda,Myllostomella cf. advena,Myllostomella fijiensis,Myllostomella spp.?,Neoconorbina spp.,Neoeponides spp.?,Neolenticulina variabilis,Neodiscorbinella rarescens,Nodosariidae indet.,Nodogenerina spp.,Nodosaria spp.,Nonion asterizans,Nonion commune,Nonion spp.,Nonionella cf. bradii,Nonionella labradorica,Nonionidae indet.,Nonionella spp.,Nonionella turgida,Nothia latissima,Nummoloculina contraria,Nuttallides sp,Oolina spp.,Operculina sp.,Oridorsalis spp.,Oridorsalis umbonatus,Orthomorphina challengeriana,Orthomorphina cf. jedlitschkai,Orthomorphina spp.,Osangularia sp.,Osangulariella? sp.,Pattelina corrugata,Parafissurina sp.,Parafissurina spp.,Pararotalia spp.,Paratrochamminoides spp.,Placopsilina confusa,Planulina ariminensis,Planulina sp.,Planoglabratella cf. opercularis,Planorbulina mediterranensis,Plectofrondicularia spp.,Pleurostomella alternans,Pleurostomella cf. alternans,Pleurostomellidae indet.,Pleurostomella recens,Pleurostomella spp.,Porosononion sp.,Praebulimina spp.,Praeglobobulimina ovata,Protelphidium sp.,Proxifrons inaequalis,Psammosphaera spp.,Pseudoclavulina spp.,Pseudoglandulina spp.,Pseudoglandulina spp.?,Pullenia bulloides,Pullenia quinqueloba,Pullenia spp.,Pyramidulina sp.,Pyrgo anomala,Pyrgo laevis,Pyrgo lucernula,Pyrgo murrinha,Pyrgo oblonga,Pyrgo spp.,Pyrgoella sphaera,Pyrgoella spp.?,Pyrulina? angusta,Comment,File Data,Zone name,Zone name (short)
339-U1387C-31R-CC-PAL-FORAM,339,U1387,C,31,31-CC,R,CC,PAL,FORAM,0,5,573.54,573.59,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,
339-U1387C-32R-CC-PAL-FORAM,339,U1387,C,32,32-CC,R,CC,PAL,FORAM,0,5,586.23,586.28,,,,,,,,,R ,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,P ,,F ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,
339-U1387C-33R-CC-PAL-FORAM,339,U1387,C,33,33-CC,R,CC,PAL,FORAM,0,5,596.96,597.01,,,,,,,,,P ,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,R ,,,,,P ,,,,,,,,,,,,,,,,
339-U1387C-34R-CC-PAL-FORAM,339,U1387,C,34,34-CC,R,CC,PAL,FORAM,0,5,603.77,603.82,,,,,,P ,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,P ,,,,,,,,,,,,,,,,
339-U1387C-35R-CC-PAL-FORAM,339,U1387,C,35,35-CC,R,CC,PAL,FORAM,0,8,616.22,616.3,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,
339-U1387C-36R-CC-PAL-FORAM,339,U1387,C,36,36-CC,R,CC,PAL,FORAM,0,5,619.81,619.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,
339-U1387C-37R-CC-PAL-FORAM,339,U1387,C,37,37-CC,R,CC,PAL,FORAM,0,5,634.49,634.54,,,,,,,,,F ,R ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,R ,,R ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,R ,,,,,R ,R ,,,,,,,,,,,,,,,
339-U1387C-38R-CC-PAL-FORAM,339,U1387,C,38,38-CC,R,CC,PAL,FORAM,0,4,643.55,643.59,,,,,,,P ,,,,,,,,P ,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,
339-U1387C-39R-CC-PAL-FORAM,339,U1387,C,39,39-CC,R,CC,PAL,FORAM,0,5,650.31,650.36,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,R ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,
339-U1387C-40R-CC-PAL-FORAM,339,U1387,C,40,40-CC,R,CC,PAL,FORAM,0,5,662.32,662.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,
339-U1387C-41R-CC-PAL-FORAM,339,U1387,C,41,41-CC,R,CC,PAL,FORAM,0,6,666.26,666.32,,,,,,,,,P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,
339-U1387C-42R-CC-PAL-FORAM,339,U1387,C,42,42-CC,R,CC,PAL,FORAM,0,5,682.15,682.2,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,P ,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387C-43R-2-PAL-FORAM,339,U1387,C,43,43-2,R,2,PAL,FORAM,0,4,685.76,685.8,,,,,,,P ,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387C-44R-1-PAL-FORAM,339,U1387,C,44,44-1,R,1,PAL,FORAM,0,2,693.03,693.05,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387C-47R-CC-PAL-FORAM,339,U1387,C,47,47-CC,R,CC,PAL,FORAM,0,5,722.04,722.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387C-48R-CC-PAL-FORAM,339,U1387,C,48,48-CC,R,CC,PAL,FORAM,0,5,737.45,737.5,,,,,,,,,P ,P ,P ,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387C-49R-CC-PAL-FORAM,339,U1387,C,49,49-CC,R,CC,PAL,FORAM,0,3,748.1,748.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,
339-U1387C-50R-CC-PAL-FORAM,339,U1387,C,50,50-CC,R,CC,PAL,FORAM,0,3,752.45,752.48,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387C-51R-CC-PAL-FORAM,339,U1387,C,51,51-CC,R,CC,PAL,FORAM,0,5,765.69,765.74,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387C-52R-CC-PAL-FORAM,339,U1387,C,52,52-CC,R,CC,PAL,FORAM,0,6,772.92,772.98,,,,,,,,,P ,P ,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387C-53R-6-PAL-FORAM,339,U1387,C,53,53-6,R,6,PAL,FORAM,0,5,786.65,786.7,,,,,,,P ,,P ,R ,,,,,,,,,,,,,,,R ,,,,,,,,R ,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,P ,,,,,,,,,,,,,,
339-U1387C-54R-3-PAL-FORAM,339,U1387,C,54,54-3,R,3,PAL,FORAM,0,5,792.76,792.81,,F ,,,,,P ,,R ,P ,,,,,,,,,,,,,,,P ,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,
339-U1387C-55R-CC-PAL-FORAM,339,U1387,C,55,55-CC,R,CC,PAL,FORAM,0,6,805.62,805.68,,,,,,,,,R ,R ,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,P ,,,,,,P ,,,,,,,,,,,,,,,
339-U1387C-56R-7-PAL-FORAM,339,U1387,C,56,56-7,R,7,PAL,FORAM,0,5,817.13,817.18,,,,,,,R ,,F ,,,,,,P ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,
339-U1387C-57R-CC-PAL-FORAM,339,U1387,C,57,57-CC,R,CC,PAL,FORAM,0,3,824.6,824.63,,,,,,,P ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,P ,,,,,,,,,,,,,,,
339-U1387C-58R-CC-PAL-FORAM,339,U1387,C,58,58-CC,R,CC,PAL,FORAM,0,5,834.33,834.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,
339-U1387C-59R-CC-PAL-FORAM,339,U1387,C,59,59-CC,R,CC,PAL,FORAM,0,5,845.56,845.61,,,,,,,R ,,F ,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,R ,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,R ,,,,,,,,,,,,,,,
339-U1387C-60R-CC-PAL-FORAM,339,U1387,C,60,60-CC,R,CC,PAL,FORAM,0,3,846.4,846.43,,,,,,,P ,,F ,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,R ,,R ,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387C-61R-CC-PAL-FORAM,339,U1387,C,61,61-CC,R,CC,PAL,FORAM,0,5,865.8,865.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,F ,,,,,,,,,,,,,,R ,,,,P ,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,
