Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,Zone name,Zone name (short)
339-U1386A-1H-CC-PAL-FORAM,339,U1386,A,1,1-CC,H,CC,PAL,FORAM,0,5,3.81,3.86,B ,,G ,D ,D ,P ,,P ,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,F ,F ,,,,,,,,F ,,,,
339-U1386A-2H-CC-PAL-FORAM,339,U1386,A,2,2-CC,H,CC,PAL,FORAM,0,5,13.48,13.53,B ,,G ,D ,D ,P ,,,,F ,,,,,P ,R ,,,,P ,,,,,P ,,,,,,,,,,,R ,,,,,,,A ,,R ,,,,,,,P ,,,,
339-U1386A-3H-CC-PAL-FORAM,339,U1386,A,3,3-CC,H,CC,PAL,FORAM,0,5,23.22,23.27,B ,,G ,D ,A ,P ,,,,P ,,,,,R ,B ,,,,P ,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,F ,,,,
339-U1386A-4H-CC-PAL-FORAM,339,U1386,A,4,4-CC,H,CC,PAL,FORAM,0,5,33.11,33.16,B ,,G ,D ,F ,A ,,,,F ,,,P ,,,R ,,,,R ,,,,P ,,P ,,,,,,,,,,R ,,P ,,,,,A ,,R ,,,,,,,R ,,,,
339-U1386A-5H-CC-PAL-FORAM,339,U1386,A,5,5-CC,H,CC,PAL,FORAM,0,5,42.18,42.23,B ,,G ,D ,A ,F ,,P ,,F ,P ,,,,R ,,,,,P ,,,,,P ,,,,,,,,,,,P ,,,,,,,A ,,R ,,,,,,,R ,,,,
339-U1386A-6H-CC-PAL-FORAM,339,U1386,A,6,6-CC,H,CC,PAL,FORAM,0,5,50.31,50.36,B ,,G ,D ,D ,P ,,,,R ,P ,P ,,,,,,,,,,,,,R ,,,,,,,,,,,P ,,,,,,,F ,,R ,,,,,,,P ,,,,
339-U1386A-7H-CC-PAL-FORAM,339,U1386,A,7,7-CC,H,CC,PAL,FORAM,0,5,61.22,61.27,B ,,G ,D ,F ,R ,,,,A ,R ,,,,R ,,,,,P ,,,,,P ,,,,,,,,,,,P ,,,,,,,A ,P ,R ,,,,,,,P ,,,,
339-U1386A-8H-CC-PAL-FORAM,339,U1386,A,8,8-CC,H,CC,PAL,FORAM,0,5,70.62,70.67,B ,,G ,D ,F ,F ,,,,A ,R ,,,,R ,P ,,,,P ,,,,,P ,,,,,,,,,,,,,,,,,,A ,,R ,,,,,,,P ,,,,
339-U1386A-9H-CC-PAL-FORAM,339,U1386,A,9,9-CC,H,CC,PAL,FORAM,0,5,80.13,80.18,B ,,G ,D ,A ,R ,,,,F ,R ,,,,,P ,,,,P ,,,,P ,P ,,,,,,,,,,,P ,,,,,,,F ,P ,R ,,,,,,,,,,,
339-U1386A-10H-CC-PAL-FORAM,339,U1386,A,10,10-CC,H,CC,PAL,FORAM,0,5,90.23,90.28,B ,,G ,D ,F ,F ,,,,A ,,,,,R ,,,,,P ,,,,R ,P ,,,,,,,,,,,R ,,,,,,,A ,,R ,,,,,,,F ,,,,
