Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group Abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data,Zone name,Zone name (short)
339-U1391C-2R-CC-PAL-NANNO,339,U1391,C,2,2-CC,R,CC,PAL,NANNO,0,5,345,345.05,G ,VA ,,,,,,,F ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,F ,,A ,,,F ,,,,,,R ,,,,,F ,C ,,,,,,A ,,,,,,F ,,,,,,,,,,,,F ,,,,,,,Large Geph,,,
339-U1391C-3R-CC-PAL-NANNO,339,U1391,C,3,3-CC,R,CC,PAL,NANNO,0,5,354.48,354.53,M-P ,VA ,,,,,,,F ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,C ,,,F ,,,,,,R ,,,,,F ,C ,,,,,,C ,,,,,,F ,,,,,,,,,,,,F ,,,,,,,Large Geph,,,
339-U1391C-4R-CC-PAL-NANNO,339,U1391,C,4,4-CC,R,CC,PAL,NANNO,0,7,357.91,357.98,G ,VA ,,,,,,,F ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,F ,,,,,,F ,,,,,R ,C ,,,,,,A ,,,,,,,,,,,,,,,,,,F ,,,,,,,Large Geph,,,
339-U1391C-5R-CC-PAL-NANNO,339,U1391,C,5,5-CC,R,CC,PAL,NANNO,0,5,374.48,374.53,G ,VA ,,,,,,,F ,F ,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,F ,,,,,,F ,,,,,R ,C ,,,,,,C ,,,,,,,,,,,,,,,,,,F ,,,,,,,Large Geph,,,
339-U1391C-6R-CC-PAL-NANNO,339,U1391,C,6,6-CC,R,CC,PAL,NANNO,0,5,377.32,377.37,G ,A ,,,,,,,F ,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,C ,,,F ,,,,,,F ,,,,,R ,F ,,,,,,F ,,,,,,,,,,,,,,,,,,F ,,,,,,,Large Geph,,,
339-U1391C-7R-CC-PAL-NANNO,339,U1391,C,7,7-CC,R,CC,PAL,NANNO,0,5,391.44,391.49,G ,VA ,,,,,,,F ,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,C ,,A ,,,F ,,,,,,C ,,,,,F ,C ,,,,,,A ,,,,,,F ,,,,,,,,,,,,,,,,,,,Large geph,,,
339-U1391C-8R-CC-PAL-NANNO,339,U1391,C,8,8-CC,R,CC,PAL,NANNO,0,5,399.87,399.92,G ,VA ,,,,,,R ,F ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,C ,,A ,,,F ,,,,,,F ,,,,,R ,F ,,,,,F ,A ,,,,,,R ,,,,,,,,,,,,R ,,,,,,,Large Geph P,,,
339-U1391C-9R-CC-PAL-NANNO,339,U1391,C,9,9-CC,R,CC,PAL,NANNO,0,5,412.09,412.14,G ,VA ,,,,,,,,F ,R ,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,C ,,A ,,VA ,,,F ,,,,,,C ,,,,,,F ,,,,,F ,A ,,,,,,,,,,,,,,,,,,F ,,,,,,F ,,,,
339-U1391C-10R-CC-PAL-NANNO,339,U1391,C,10,10-CC,R,CC,PAL,NANNO,0,5,419.55,419.6,M-P ,VA ,,,,,,F ,,F ,F ,,,,,,,,,F ,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,A ,,C ,,VA ,,,F ,,,,,,F ,,,,,F ,C ,,,,,C ,A ,,,,,,,,,,,,,,,,,,F ,,,,,,F ,,,,
339-U1391C-11R-CC-PAL-NANNO,339,U1391,C,11,11-CC,R,CC,PAL,NANNO,0,5,431.1,431.15,M-P ,A ,,,,,,,,F ,F ,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,C ,,,F ,,,,,,F ,,,,,R ,F ,,,,,F ,C ,,,,,,R ,,,,,,,,,,,,F ,,,,,,F ,,,,
