Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis ,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp. ,Guttulina sp.,Gyroidina sp. ,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?) ,Karreriella sp. ,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp. ,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp. ,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp. ,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp. ,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,Extra Sample ID Data,Zone name,Zone name (short)
342-U1411B-1H-CC-PAL,342,U1411,B,1,1-CC,H,CC,PAL,0,8,0.85,0.93,VG,P,P,,,,,,,F,,,,,,P,,,,,,,,,,,,,F,,,,,,,,,,,,,,,P,P,P,,,,,,,,,,,,,P,,,,F,,,,,,,,,,A,,,,,,,,P,,P,,,,,A,,,,,,,,,,,P,,F,,,,,,,,,
342-U1411B-2H-CC-PAL,342,U1411,B,2,2-CC,H,CC,PAL,0,8,10.8,10.88,M,P,,,,,,,,P,,,,,P,P,,,,P,,,,,,,,,F,,,P,,,F,,,,,,,P,,P,P,P,,,,,,,,,,P,F,,,,P,,P,F,,,,,,,,,P,,,,,,,,P,,,,,P,A,,,,,,,,,,,,,,P,,,,,,,,,
342-U1411B-3H-CC-PAL,342,U1411,B,3,3-CC,H,CC,PAL,0,8,20.22,20.3,P,D,,,,,,,P,P,,,,F,,,,,,,P,,P,,,,,,,,,,,,F,,,,,P,,P,,,F,P,,,,,,,,,,,,,,,,,,,,,,,P,P,P,P,F,,,F,,,,,F,,,A,P,,,,,,,,F,,A,A,P,,,,,,,,,,,,,
342-U1411B-4H-CC-PAL,342,U1411,B,4,4-CC,H,CC,PAL,0,8,29.8,29.88,M,D,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,P,F,,,,P,,,,,P,P,,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,F,,,,,,,,,,,,,,,,F,,,F,,P,,,,,,,,,,,
342-U1411B-5H-CC-PAL,342,U1411,B,5,5-CC,H,CC,PAL,0,8,39.3,39.38,M,D,,,,,,,P,F,,,,,F,,,,,P,,,,,,,,,,,,,,,A,F,,,,,,,,,P,P,,,,,,,,F,,P,,,P,,,,,,,,,,P,F,P,,F,,,P,,F,,,,,,F,P,,P,,,F,,,,F,,,P,P,,,P,F,,,F,,,,,
342-U1411B-6H-CC-PAL,342,U1411,B,6,6-CC,H,CC,PAL,0,7,48.91,48.98,M,D,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,A,,,,,,,,P,,,,,,,,,,,F,,D,,,,,,,,,,,,,P,F,F,,,,,,,,,,,,,F,P,,F,,,,,,,F,,,P,,,,,,P,P,F,,,,,
342-U1411B-7H-CC-PAL,342,U1411,B,7,7-CC,H,CC,PAL,0,8,58.38,58.46,M,D,,,,,,,,P,,,,,P,F,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,P,,F,F,,F,,,,,,,,,,,,,,P,,,,,,,,,,,,,,P,,,F,,,,F,,,A,,,,,P,,,P,,,,,
342-U1411B-8H-CC-PAL,342,U1411,B,8,8-CC,H,CC,PAL,0,8,67.94,68.02,M,F,,,,,,,P,,,,,,,P,,,,P,P,P,P,,,,,P,,,,,,,P,,,,,P,,,,,,P,,,,,,,,P,,P,,,P,,,,,,,,,,,P,,,,,,,,,,,P,,P,,,,,,,,,,,P,,P,P,P,,,,,,P,,,,,,
342-U1411B-9H-CC-PAL,342,U1411,B,9,9-CC,H,CC,PAL,0,8,77.09,77.17,M,A,,F,,P,,,P,,,P,,,,,,,,F,P,,,,,,,P,,,,P,,,A,F,,,,F,,P,,,,F,,,,,,,,P,,F,P,,F,,,P,,,,,,,,,P,P,,,,P,,,,,,,P,F,P,,,,,,,,,F,,P,P,,,,,,,,F,,,,,
342-U1411B-10H-CC-PAL,342,U1411,B,10,10-CC,H,CC,PAL,0,9,86.54,86.63,M,P,F,,P,,,,,P,,,,,P,,,,,F,P,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,F,P,P,,,,F,,,,,P,,P,,F,,,,,,,,,A,,P,P,,,,P,,,,,,,,,
342-U1411B-11H-CC-PAL,342,U1411,B,11,11-CC,H,CC,PAL,0,8,96.21,96.29,P,P,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,P,,,,,,,,,,,P,only thick walled species are reserved -> dissolution,,,,
