Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ulmus taxa	Tsuga taxa	Tilia taxa	Rhus taxa	Quercus (deciduous)  taxa	Pterocarya taxa	Pinus taxa	Picea taxa	Metasequoia  taxa	Liquidambar taxa	Juglans taxa	Fagus taxa	Engelhardia taxa	Carya taxa	Carpinus taxa	Alnus taxa	Acer taxa	Zelkova taxa	Betula taxa	Aesculus  taxa	Quercus (evergreen) taxa	Ligustrum taxa	Corylus taxa	Weigela taxa	Taxodiaceae taxa	Gramineae taxa	Ephedra taxa	Cupressaceae taxa	Sparganium taxa	Fupingopollenites taxa	Ericaceae taxa	Castanea taxa	Pasania  taxa	Celtis taxa	Abies taxa	Cunninghamia taxa	Chenopodiaceae taxa	Ilex taxa	Comment



  SR	                 	                 	                  	              	127	 797	C	  2	R	 1	  96.00	    494.4600	Yamanoi  	Pollen/Spores                                	               	                  	3.5%      	6         	2.5%      	1.0%     	16.0%                    	5.5%           	27        	35        	.5%              	1.5%            	.5%         	6.0%      	                	21.0%     	2.5%         	.5%       	         	2.0%        	           	              	27.0%                   	              	            	            	3.5%            	              	.5%         	2.0%             	               	                      	.5%           	2.0%         	1.5%         	           	          	                 	                   	         	in assemblage of 100 grains others indicated-32 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478

  SR	                 	                 	                  	              	127	 797	C	  3	R	 1	 128.00	    504.2800	Yamanoi  	Pollen/Spores                                	               	                  	3.5%      	          	          	         	16.5%                    	7.0%           	45        	20        	                 	4.0%            	            	3.5%      	.5%             	7.0%      	3.0%         	          	.5%      	4.5%        	1.5%       	              	42.0%                   	              	            	            	.5%             	              	            	                 	               	                      	              	4.0%         	1.5%         	.5%        	          	                 	                   	         	in assemblage of 100 grains others indicated-35 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478

  SR	                 	                 	                  	              	127	 797	C	  5	R	 2	  44.00	    523.9400	Yamanoi  	Pollen/Spores                                	               	                  	3.5%      	9         	          	         	10.0%                    	10.0%          	42        	31        	5.5%             	3.0%            	            	3.0%      	.5%             	10.5%     	3.5%         	1.0%      	         	1.0%        	           	              	31.0%                   	              	1.5%        	            	7.5%            	              	            	2.0%             	               	                      	              	3.0%         	1.5%         	.5%        	          	1.0%             	                   	.5%      	in assemblage of 100 grains others indicated-18 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478

  SR	                 	                 	                  	              	127	 797	C	  6	R	 4	  60.00	    536.7000	Yamanoi  	Pollen/Spores                                	               	                  	6.5%      	5         	.5%       	         	17.0%                    	5.5%           	61        	15        	3.5%             	7.0%            	1.5%        	8.5%      	1.0%            	9.0%      	3.5%         	2.5%      	.5%      	            	.5%        	              	16.0%                   	              	.5%         	            	9.0%            	              	            	3.0%             	               	                      	              	2.5%         	1.0%         	           	          	.5%              	.5%                	         	in assemblage of 100 grains others indicated-19 grains from ODP Legs 127&128 SR Chapter 28 Table 1 p 472-478

