leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
39,356,,PLIOCENE,,9.5,10.2,,NO AGE GIVEN,,NO AGE GIVEN,  1.8,    5,  3.4,DSDP INITIAL REPORTS
39,356,,EOCENE,,10.2,10.7,,NO AGE GIVEN,,NO AGE GIVEN, 37.5, 53.5, 45.5,DSDP INITIAL REPORTS
39,356,,PLIOCENE,,10.7,19.0,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,  1.8,    5,  3.4,DSDP INITIAL REPORTS
39,356,,LOWER MIOCENE,,38.0,115.0,,NO AGE GIVEN,,NO AGE GIVEN,   16, 22.5,19.25,DSDP INITIAL REPORTS
39,356,,MIDDLE EOCENE,,115.0,221.0,,NO AGE GIVEN,,NO AGE GIVEN,   43,   49,   46,DSDP INITIAL REPORTS
39,356,,LOWER EOCENE,,221.0,287.7,,NO AGE GIVEN,,NO AGE GIVEN,   49, 53.5,51.25,DSDP INITIAL REPORTS
39,356,,UPPER PALEOCENE,,287.7,361.0,,NO AGE GIVEN,,NO AGE GIVEN, 53.5,   60,56.75,DSDP INITIAL REPORTS
39,356,,UPPER PALEOCENE,LOWER PALEOCENE,361.0,370.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN, 53.5,   65,59.25,DSDP INITIAL REPORTS
39,356,,LOWER PALEOCENE,,370.5,411.8,,NO AGE GIVEN,,NO AGE GIVEN,   60,   65, 62.5,DSDP INITIAL REPORTS
39,356,,UPPER MAESTRICHTIAN ,,411.8,446.5,,NO AGE GIVEN,,NO AGE GIVEN,   65, 67.5,66.25,DSDP INITIAL REPORTS
39,356,,MIDDLE MAESTRICHTIAN,LOWER MAESTRICHTIAN ,456.0,465.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   66,   70,   68,DSDP INITIAL REPORTS
39,356,,UPPER CAMPANIAN,LOWER CAMPANIAN,484.5,494.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   70,   78,   74,DSDP INITIAL REPORTS
39,356,,LOWER CAMPANIAN,,513.0,522.5,,NO AGE GIVEN,,NO AGE GIVEN,   74,   78,   76,DSDP INITIAL REPORTS
39,356,,UPPER SANTONIAN,,541.5,579.5,,NO AGE GIVEN,,NO AGE GIVEN,   78,   80,   79,DSDP INITIAL REPORTS
39,356,,UPPER SANTONIAN,LOWER SANTONIAN,598.5,608.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   78,   82,   80,DSDP INITIAL REPORTS
39,356,,LOWER SANTONIAN,,646.0,655.5,,NO AGE GIVEN,,NO AGE GIVEN,   80,   82,   81,DSDP INITIAL REPORTS
39,356,,LOWER SANTONIAN,UPPER CONIACIAN,674.5,684.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,   80,   84,   82,DSDP INITIAL REPORTS
39,356,,CONIACIAN,,693.5,697.5,,NO AGE GIVEN,,NO AGE GIVEN,   82,   86,   84,DSDP INITIAL REPORTS
39,356,,MIDDLE TURONIAN,,697.5,708.3,,NO AGE GIVEN,,NO AGE GIVEN,   88,   90,   89,DSDP INITIAL REPORTS
39,356,,UPPER ALBIAN,,708.3,741.0,,NO AGE GIVEN,,NO AGE GIVEN,  100,  104,  102,DSDP INITIAL REPORTS
