Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),,Control Point Comment
,,,,,,,
,,,,,,,
,,,,,,,
150, 906,A,Initial Reports          ,      19.400,    0.260000,,base  NN21
,,,,,,,
150, 906,A,Initial Reports          ,      37.870,    0.460000,,base NN20
,,,,,,,
150, 906,A,Initial Reports          ,      47.470,    8.850000,,NN10 or  NN11
,,,,,,,
150, 906,A,Initial Reports          ,      72.370,   10.200000,,N16-N17
,,,,,,,
150, 906,A,Initial Reports          ,     436.500,   11.500000,,NN8 to NN10
,,,,,,,
150, 906,A,Initial Reports          ,     485.160,   28.200001,,base P22
,,,,,,,
150, 906,A,Initial Reports          ,     544.100,   37.099998,,NP19 or NP20
,,,,,,,
150, 906,A,Initial Reports          ,     565.920,   38.000000,,P16-P17
,,,,,,,
150, 906,A,Initial Reports          ,     594.890,   40.060001,,P15-P17
,,,,,,,
150, 906,A,Initial Reports          ,     599.150,   42.599998,,base P14
,,,,,,,
