Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
363-U1489D-16X-CC-PAL-NANNO,0,5,283.66,283.71,NN10,TDJ - R. pseudoumbilicus (>7um) and D. pentaradiatus.,G,D,,,,,,,,,C,,C,,,,C,,C,R,,,R,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,C,,F,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,363,U1489,D,16,X,CC,PAL,db8110358b5cb9e23cceff4e95346d30
363-U1489D-17X-CC-PAL-NANNO,0,5,292.67,292.72,NN9,"TDJ - C. calyculus, C. coalitus present",G,D,,,,,,,,,C,,C,,,,C,,C,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,C,R,F,,,,,,,R,,,,,,,,,,,,F,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,D,17,X,CC,PAL,f7df3f4ebc2d188049473fe83fd65ebc
363-U1489D-18X-CC-PAL-NANNO,0,5,302.73,302.78,NN9,"TDJ - C. calyculus, C. coalitus, D. hamatus present",G,D,,,,,,,,,C,,C,,,,C,,C,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,C,,F,,,,,,,F,C,,F,,,,,,,R,,R,F,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,D,18,X,CC,PAL,f0a12797daa6292f474fb46ddf58e41a
363-U1489D-19X-CC-PAL-NANNO,0,5,312.95,313.0,NN9,"TDJ - D. bellus, D. hamatus present",G,D,,,,,,,,,C,,C,,,,C,,C,F,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,F,C,,F,,,,,,,F,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,D,19,X,CC,PAL,b0f31149d311845469aab54f327af2e0
363-U1489D-20X-CC-PAL-NANNO,0,5,322.17,322.22,,TDJ - lost Catinasters. C. premac present.,G,D,,,,,,,,,C,,C,,,,C,,C,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,D,20,X,CC,PAL,b265014bddfb4153f9bcda3dd547b550
363-U1489D-21X-CC-PAL-NANNO,0,5,332.15,332.2,,TDJ -,G,D,,,,,,,,,C,,C,,,,C,R,C,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,D,21,X,CC,PAL,a074b0b77b32357abe80f612a2da0372
363-U1489D-22X-CC-PAL-NANNO,0,5,339.16,339.21,,TDJ - C. floridanus and C. nitescens present,G,D,,,,,,,,,C,,C,,,F,C,,C,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,D,22,X,CC,PAL,e0f2024d7ce83e6af8be266c669646cf
363-U1489D-23X-CC-PAL-NANNO,0,5,348.84,348.89,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,D,23,X,CC,PAL,60b9122481dccea02b1007b52f92a77b
363-U1489D-24X-CC-PAL-NANNO,0,5,361.19,361.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,D,24,X,CC,PAL,65f5b550222d08dd3f882c13bda1644c
363-U1489D-25X-CC-PAL-NANNO,0,5,371.05,371.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1489,D,25,X,CC,PAL,79de3939f5c173c4a94c61b52c5946bd
