Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Zone,Age,Preservation,Nannofossil abundance,Sphenolithus ciperoensis,Sphenolithus delphix,Sphenolithus disbelemnos,Helicosphaera ampliaperta,Sphenolithus belemnos,Triquetrorhabdulus carinatus,Sphenolithus heteromorphus,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Coronocyclus nitescens,Discoaster kugleri,Coccolithus miopelagicus,Catinaster coalitus,Catinaster calyculus,Discoaster hamatus,Discoaster berggrenii,Nicklithus amplificus,Discoaster quinqueramus,Ceratolithus acutus,Ceratolithus larrymayeri,Triquetrorhabdulus rugosus,Ceratolithus rugosus,Reticulofenestra pseudoumbilicus,Sphenolithus spp.,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster triradiatus,Discoaster brouweri,Gephyrocapsa (>4 μm),Calcidiscus macintyrei,Gephyrocapsa (> 5.5 μm),Helicosphaera sellii,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Emiliania huxleyi,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Calciosolenia murrayi,Catinaster mexicanus,Ceratolithus armatus,Ceratolithus atlanticus,Ceratolithus cristatus,Clausicoccus fenestratus,Coccolithus pelagicus,Cryptococcolithus mediaperforate,Cyclicargolithus abisectus,Dictyococcites antarcticus,Dictyococcites bisectus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster bergenii,Discoaster bollii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster loeblichii,Discoaster musicus,Discoaster neorectus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster variabilis,Discosphaera tubifera,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyroscapsa lumina,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Minylitha convallis,Oolithotus fragilis,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania ovata,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilicus (> 7 μm),Reticulofenestra pseudoumbilicus (5-7 µm),Reticulofenestra rotaria,Rhabdosphaera clavigera,Rhabdosphaera poculii,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera tubifera,Scyphosphaera ventriosa,Small Gephyrocapsa (< 4 μm),Solidopons petrae,Sphenolithus abies,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus moriformis,Syracolithus schilleri,Syracosphaera lamina,Syracosphaera pulchra,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus sp. (long needle-like),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,eodp_id
320-U1335A-3H-4-W 136/136,320,U1335,A,3,3-4,H,4,W,136/136,0,0,24.26,24.26,TDJ -,NN13-15,Pliocene,M,C,,,,,,,,,,,,,,,,,,,,,,,C,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96ba341b0eb81ab2dfd8e8bbf9539f74
320-U1335A-3H-6-W 88/88,320,U1335,A,3,3-6,H,6,W,88/88,0,0,26.78,26.78,TDJ - acutus present,NN12,Pliocene,M,C,,,,,,,,,,,,,,,,,,,,F,,,,,,,,C,,C,,C,,,,,,,R,,,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505c2241f991e330448e56be68b3e56f
320-U1335A-3H-CC-PAL-NANNO,320,U1335,A,3,3-CC,H,CC,PAL,NANNO,0,0,28.13,28.13,"TDJ - pseudoumbilicus, acutus present; no T. rugosus",NN12,Pliocene,M,C,,,,,,,,,,,,,,,,,,,,F,,,,F,,,F,F,,R,,,,,,,,,F,R,,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,C,C,,F,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,e84ef759c85b75e5dc8dafec0e51411a
320-U1335A-4H-1-W 132/132,320,U1335,A,4,4-1,H,1,W,132/132,0,0,29.22,29.22,"TDJ - T. rugosus present; no quinqueramus, C. acutus",NN12,late Miocene,M,C,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7b29f2462b7ae2ac1ad847c0f6a88a26
320-U1335A-4H-2-W 97/97,320,U1335,A,4,4-2,H,2,W,97/97,0,0,30.37,30.37,TDJ - T. rugosus; quinqueramus present,NN11,late Miocene,M,C,,,,,,,,,,,,,,,,,,,F,,,R,,C,,,,F,,C,,,,,,,,,R,,,,F,,,,,,,,,,C,,,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,C,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,bc8d057da0fe50914e653f884358d00b
320-U1335A-4H-4-W 80/80,320,U1335,A,4,4-4,H,4,W,80/80,0,0,33.2,33.2,TDJ - quinqueramus present,NN11,late Miocene,M,A,,,,,,,,,,,,,,,,,R,,R,,,R,,C,,,F,F,,F,,,,,,,,,F,,R,,C,,,,,,,,,,C,,,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,e5b5c9a4628195a00516579299122baf
320-U1335A-4H-5-W 37/37,320,U1335,A,4,4-5,H,5,W,37/37,0,0,34.27,34.27,TDJ - no amplificus,NN11,late Miocene,M,A,,,,,,,,,,,,,,,,,F,,F,,,R,,,,,F,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,4340039fbd751c0b727d779edddcde4b
320-U1335A-4H-6-W 66/66,320,U1335,A,4,4-6,H,6,W,66/66,0,0,36.06,36.06,TDJ - amplificus present,NN11,late Miocene,M,A,,,,,,,,,,,,,,,,,F,R,C,,,,,,,,F,,,C,,,,,,,,,R,,,,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313e7bbd3cd1187e48578309b8a079f9
320-U1335A-4H-CC-PAL-NANNO,320,U1335,A,4,4-CC,H,CC,PAL,NANNO,0,0,37.8,37.8,"TDJ - no ceratolithus, amaurolithus, ? no quinqueramus",NN11,late Miocene,M,C,,,,,,,,,,,,,,,,,,,R,,,R,,F,,,F,R,,F,,R,,,,,,,,R,,,F,,,,,,,,,,F,R,,,,,,,,,,,,,,,,R,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,F,F,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,R,,,579c36d3eb7e78241858f69d9f51a69f
320-U1335A-5H-1-W 120/120,320,U1335,A,5,5-1,H,1,W,120/120,0,0,38.6,38.6,"PB - quinqueramus, Amaurolithus",NN11,late Miocene,P,A,,,,,,,,,,,,,,,,,R,,F,,,,,C,,,R,R,,C,,R,,,,,,,R,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,C,C,R,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,4e9c1b7e8cf395968b17a51f62d5196d
320-U1335A-5H-3-W 10/10,320,U1335,A,5,5-3,H,3,W,10/10,0,0,40.5,40.5,"PB - berggrenii, Amaurolithus",NN11,late Miocene,M,A,,,,,,,,,,,,,,,,,R,,,,,,,C,,,R,F,,C,,F,,,,,,,,R,,,C,,,,,,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,C,C,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,31471179005ec24b613e6ded988013fc
320-U1335A-5H-5-W 50/50,320,U1335,A,5,5-5,H,5,W,50/50,0,0,43.9,43.9,PB - berggrenii; no amaurolithus,NN11,late Miocene,P,C,,,,,,,,,,,,,,,,,R,,F,,,F,,,,,R,R,,C,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ec2b709f637e4310ed7d1fa408b26072
320-U1335A-5H-6-W 110/110,320,U1335,A,5,5-6,H,6,W,110/110,0,0,46.0,46.0,PB -,NN11,late Miocene,P,A,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,,,C,,F,,,,,,,,,,,,,,,,,,,,,A,R,,,,,,R,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cad5fd1a1fa16f34971ab1e951994525
320-U1335A-5H-CC-PAL-NANNO,320,U1335,A,5,5-CC,H,CC,PAL,NANNO,0,0,46.45,46.45,"TDJ/PB - no ceratolithus, amaurolithus; quinqueramus present",NN11,late Miocene,M,F,,,,,,,,R,,,,,,,,,R,,F,,,,,,,,,R,,C,,R,,,,,,,,,,,F,,F,,,,,,,,C,R,,,,,,F,,,,,,,,R,,R,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,C,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,R,,,85da44d199756cbf8cbbffdf86960587
320-U1335A-6H-1-W 60/60,320,U1335,A,6,6-1,H,1,W,60/60,0,0,47.5,47.5,PB -,NN10,late Miocene,M,A,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,C,,R,,,,,,,,,,,C,,F,,,,,,,,C,R,,,,,,F,,,,,,,,C,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,A,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,ff72beea0f07633ac3dd2a8579201dd3
320-U1335A-6H-2-W 60/60,320,U1335,A,6,6-2,H,2,W,60/60,0,0,49.0,49.0,TDJ/PB -,NN10,late Miocene,M,C,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,F,,C,,R,,,,,,,,,,,F,,F,,,,,,,,C,,,,,,,F,,,,R,,,,,,,,,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,A,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,c84ccf347f14e04c567cc5a273ec17e2
320-U1335A-6H-4-W 60/60,320,U1335,A,6,6-4,H,4,W,60/60,0,0,52.0,52.0,TDJ/PB - no berggrenii,NN11,late Miocene,M,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,R,,,,,,,,,,,F,,,,,,,,,,C,,,,,,,F,,,,,,,,C,,,,,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,A,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,R,,,79bb8eba682afccd7ed88258e1f5ea72
320-U1335A-6H-6-W 96/96,320,U1335,A,6,6-6,H,6,W,96/96,0,0,55.36,55.36,TDJ/PB - ab. 3D 5 rayed discos,NN10,late Miocene,M,A,,,,,,,,,,,,,,,,F,,,,,,R,,F,,,,,,C,,R,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,A,,,,R,,,,,,,,R,C,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,4dd71d1d357726abe5d7765cfe0e107c
320-U1335A-6H-CC-PAL-NANNO,320,U1335,A,6,6-CC,H,CC,PAL,NANNO,0,0,56.45,56.45,TDJ/PB - large pseudoumbilicus >7 (some>10); no Catinaster,NN11,late Miocene,M,C,,,,,,,,,,,,,R,,,R,,,,,,R,,C,,,,,,C,,,,,,,,,,,,,C,,F,,,,,,,,C,,,,,,,A,,,,R,,,,F,,,,,C,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,C,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,R,,,23ffa0bb7863052e0e088574b2142104
320-U1335A-7H-2-W 10/10,320,U1335,A,7,7-2,H,2,W,10/10,0,0,58.0,58.0,"PB - no hamatus, no berggr.",NN11,late Miocene,M,C,,,,,,,,,,,,,,,,R,,,,,,R,,C,,,,,,C,,,,,,,,,,,,,C,,R,,,,,,,,C,,,,,,,R,,,,R,,,,,,,,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,7513b91f0a9f4cb439ea28bfc906189e
320-U1335A-7H-3-W 65/65,320,U1335,A,7,7-3,H,3,W,65/65,0,0,60.05,60.05,PB - hamatus,NN9,late Miocene,P,C,,,,,,,,,,,,R,R,R,,F,,,,,,R,,C,,,,,,R,,R,,,,,,,,,,,C,,R,,,,,,,,C,,,,,,,C,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f4087fcae486b95e5582aab32fc216e1
320-U1335A-7H-4-W 82/82,320,U1335,A,7,7-4,H,4,W,82/82,0,0,61.72,61.72,PB - hamatus,NN10,late Miocene,M,C,,,,,,,R,,,R,,,,R,,F,,,,,,R,,A,,,,,,F,,F,,,,,,,,,,,C,,R,,,,,,,,C,,,,,,,C,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37c41426539f6966bb199671775d4352
320-U1335A-7H-6-W 79/79,320,U1335,A,7,7-6,H,6,W,79/79,0,0,64.69,64.69,PB -,NN7,late Miocene,P,C,,,,,,R,,,,,,,F,,,,,,,,,R,,A,,,,,,,,R,,,,,,,,,,,C,,R,,,,,,,,C,F,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,915d3b0d5dd99da4ded46d6c7d0aa422
320-U1335A-7H-CC-PAL-NANNO,320,U1335,A,7,7-CC,H,CC,PAL,NANNO,0,0,66.24,66.24,TDJ - large pseudoumbilicus >7 (some>10); miopelagicus; no Catinaster,NN7,late Miocene,P,A,,,,,,,,,,,,,F,,,,,,,,,,,A,,,,,,R,,,,,,,,,,,,,C,,,,,,,,,,C,R,,,,,R,R,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad9eabba80fe3b3113ec1d9cf963eb8c
