Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],Ammobaculites agglutinans,Amphicoryna scalaris,Amphisorus hemprichii,Anomalinoides globulosus,Astalocus bradyi,Bigenerina nodosaria,Bigenerina spp.,Bolivina robusta,Bolivinita quadrilatera,Brizalina alata,Brizalina earlandi,Bulbobaculites problematicus,Bulimina aculeata,Bulimina gibba,Bulimina marginata,Ceratobulimina jonesiana,Chilostomella oolina,Cibicidoides bradyi,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cornuspira involvens,Corscinospora arietina,Cymbaloporella taballaeformis,Dentalina sp.,Dentalina spp.,Dorothia bradyana,Dorothia goesi,Edentostomina sp.,Eggerella bradyi,Ehrenbergina pacifica,Elphidium advenum,Epistominella spp.,Eubuliminella exilis,Fissurina sp.,Fissurina spp.,Fursenkoina texturata,Gaudryina spp.,Glandulina ovula,Globobulimina pacifica,Globocassidulina subglobosa,Globulotuba sp.,Gyroidinoides soldanii,Hoeglundina elegans,Hyalinea balthica,Hyperammina friabilis,Laticarinina pauperata,Laevidentalina aphelis,Lagena spp.,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marginulina obesa,Martinottiella communis,Melonis spp.,Nodosaria spp.,Nodogenerina spp.,Nonionella turgida,Oolina spp.,Oolina globosa,Operculina complanata,Oridorsalis umbonatus,Osangularia bengalensis,Osangularia culter,Peneroplis pertusus,Peneroplis planatus,Planulina wuellerstorfi,Planularia australis,Plectofrondicularia advena,Pleurostomella spp.,Poroeponides lateralis,Praeglobobulimina pupoides,Procerolagena gracilis,Pseudoglandulina glanduliformis,Pyramidulina spp.,Pyrgo spp.,Pyrgo lucernula,Pyrgo laevis,Pullenia bulloides,Pullenia quinqueloba,Quinqueloculina spp.,Rectuvigerina striata,Reophax spp.,Rotalinoides compressiusculus,Rosalina globularis,Saracenaria volpicelli,Saracenaria altifrons,Sigmoilopsis schlumbergeri,Siphogenerina columellaris,Sphaeroidina bulloides,Spiroloculina bradyi,Spiroloculina rotunda,Stilostomella spp.,Textularia agglutinans,Textulariella barrettii,Textularia pseudogramen,Tristix sp.,Trochammina inflata,Uvigerina spp.,Uvigerina bifurcata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina proboscidea,Vaginulina spp.,Vaginulinopsis reinformis,Vaginulinopsis spp.,Vulvulina pennatula,BF comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
363-U1487A-1H-CC,0,16,6.24,6.4,G [P46],,1,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,4,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,2,,,1,,,,1,,,,,,1,,1,,,,,,,,,363,U1487,A,1,H,CC,,a2073d4c2c841cda08ff0a1bc9cb1ef9
363-U1487A-2H-CC,0,22,15.68,15.9,G [P46],,1,,,,3,,,,,,,,,,,,1,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,9,,3,3,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,1,,,,,,,2,,3,,,,,,,,,,,3,1,,,,,,,,,,363,U1487,A,2,H,CC,,1ec3149d70d319ef39a9f93045917736
363-U1487A-3H-CC,0,23,25.61,25.84,G [P46],,1,,,,3,1,,,3,1,,,,,,,,,,,5,,4,,,,5,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,2,,,2,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,1,,,,,,,,,363,U1487,A,3,H,CC,,a79eb5b0644bcdd3eba6b93cacf6553b
363-U1487A-4H-CC,0,33,34.63,34.96,G [P46],,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,5,3,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,1,,,,,,,,,,,363,U1487,A,4,H,CC,,c0470ea5512492779f0b9579a3e52cda
363-U1487A-5H-CC,0,25,44.07,44.32,G [P46],,1,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,5,5,,,,,,,1,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,363,U1487,A,5,H,CC,,ebed70ca16e3949ccc31643a8e246208
363-U1487A-6H-CC,0,27,53.88,54.15,G [P46],,1,,,,2,,,,1,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,3,,,,,,,15,,3,2,,,,3,,,,,,,1,,,,,3,,,2,,,,,,,,,,,,,,,,,,4,,5,,,1,,,,,,,,,,,,,,,,,,,363,U1487,A,6,H,CC,,af163d3028cb2e0df3c8a642d506fb3f
363-U1487A-7H-CC,0,36,63.27,63.63,G [P46],,1,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,3,,,,,1,2,26,1,1,2,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,1,,,,,,10,,1,,,,,,,,,363,U1487,A,7,H,CC,,2d3180d49a99d62f0d0536e3c627adf3
363-U1487A-8H-CC,0,20,73.07,73.27,G [P46],,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,4,,4,,,,,,,,,,,,1,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,2,,,1,,,,,,,,,,3,,,,,,,,,363,U1487,A,8,H,CC,,37f73c11afd049f791dcc52f1d607684
363-U1487A-9H-CC,0,27,82.27,82.54,G [P46],,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,1,,,,,4,,1,,,,,,1,,,,,,,,,,,363,U1487,A,9,H,CC,,86f3a8969f92f174fad197a4018867a8
363-U1487A-10H-CC,0,28,91.63,91.91,G [P46],,1,,,,2,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,9,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,363,U1487,A,10,H,CC,,066ddfd9525f4123decb7a27d2a4d983
