Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],Ammobaculites agglutinans,Amphicoryna scalaris,Amphisorus hemprichii,Anomalinoides globulosus,Astalocus bradyi,Bigenerina nodosaria,Bigenerina spp.,Bolivina robusta,Bolivinita quadrilatera,Brizalina alata,Brizalina earlandi,Bulbobaculites problematicus,Bulimina aculeata,Bulimina gibba,Bulimina marginata,Ceratobulimina jonesiana,Chilostomella oolina,Cibicidoides bradyi,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cornuspira involvens,Corscinospora arietina,Cymbaloporella taballaeformis,Dentalina sp.,Dentalina spp.,Dorothia bradyana,Dorothia goesi,Edentostomina sp.,Eggerella bradyi,Ehrenbergina pacifica,Elphidium advenum,Epistominella spp.,Eubuliminella exilis,Fissurina sp.,Fissurina spp.,Fursenkoina texturata,Gaudryina spp.,Glandulina ovula,Globobulimina pacifica,Globocassidulina subglobosa,Globulotuba sp.,Gyroidinoides soldanii,Hoeglundina elegans,Hyalinea balthica,Hyperammina friabilis,Laticarinina pauperata,Laevidentalina aphelis,Lagena spp.,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marginulina obesa,Martinottiella communis,Melonis spp.,Nodosaria spp.,Nodogenerina spp.,Nonionella turgida,Oolina spp.,Oolina globosa,Operculina complanata,Oridorsalis umbonatus,Osangularia bengalensis,Osangularia culter,Peneroplis pertusus,Peneroplis planatus,Planulina wuellerstorfi,Planularia australis,Plectofrondicularia advena,Pleurostomella spp.,Poroeponides lateralis,Praeglobobulimina pupoides,Procerolagena gracilis,Pseudoglandulina glanduliformis,Pyramidulina spp.,Pyrgo spp.,Pyrgo lucernula,Pyrgo laevis,Pullenia bulloides,Pullenia quinqueloba,Quinqueloculina spp.,Rectuvigerina striata,Reophax spp.,Rotalinoides compressiusculus,Rosalina globularis,Saracenaria volpicelli,Saracenaria altifrons,Sigmoilopsis schlumbergeri,Siphogenerina columellaris,Sphaeroidina bulloides,Spiroloculina bradyi,Spiroloculina rotunda,Stilostomella spp.,Textularia agglutinans,Textulariella barrettii,Textularia pseudogramen,Tristix sp.,Trochammina inflata,Uvigerina spp.,Uvigerina bifurcata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina proboscidea,Vaginulina spp.,Vaginulinopsis reinformis,Vaginulinopsis spp.,Vulvulina pennatula,BF comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
363-U1483A-1H-CC,0,17,8.46,8.63,E [P46],R,1,,,,,,,,,,,,1,,,1,2,4,,,,,,,,,,1,,,,,,,,,,5,,,,,,,,,,,2,,,,,,,,1,,,,,,,2,,,,,11,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,9,,,,,,,,363,U1483,A,1,H,CC,
363-U1483A-2H-CC,0,29,18.32,18.61,E [P46],R,1,,,,,,,,,,,,,,,,,2,,,,,3,,,,,2,,,,1,,,,,,5,,,,,10,,1,,,,,,1,,,,,,1,,,,,,,1,,,,,4,,,2,,,,,,4,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,363,U1483,A,2,H,CC,
363-U1483A-3H-CC,0,25,27.79,28.04,E [P46],R,1,,,,3,,,,,,,,,,,1,,10,,,,,2,,,,,2,,1,,1,,,,,,6,,,,,3,,1,,,,3,,3,,,,,,4,,,,,,,7,,,,,2,,,1,,,,,1,8,,,,,4,,,,,1,,1,,,,,,,,,,,,,,,,3,,,1,,,,,363,U1483,A,3,H,CC,
363-U1483A-4H-CC,0,46,37.36,37.82,E [P46],R,1,,,,2,,,,,,,,1,,,2,1,3,,,,,,,,,,,,2,,1,,,,,,5,,,,,10,,1,,,,,,6,2,,,1,,1,,,,,,,,,,,,5,,,1,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,13,,,1,,,,,363,U1483,A,4,H,CC,
363-U1483A-5H-CC,0,28,46.8,47.08,E [P46],R,1,,,,3,,,,,,,,,,,,6,4,,,,,4,,,,,,,,,2,,,,,,,,,,,9,,,6,,,2,,3,,,,,,,,,,,,,,,,,,6,,1,1,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,363,U1483,A,5,H,CC,
363-U1483A-6H-CC,0,24,56.29,56.53,E [P46],R,1,,,,4,,,,,,,,,,,,4,1,,,,,,,,,,,,,,2,,,,,,,,,,,1,,1,12,,,2,,18,,,,1,,,,,,,,,2,,1,,,4,,,,,,,,,13,,,,,1,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,363,U1483,A,6,H,CC,
363-U1483A-7H-CC,0,43,65.74,66.17,E [P46],R,1,,,,3,1,,,,,,,3,,,2,1,3,,,,,1,,,,,3,,,,,,,,,,,,,,,9,,3,,,,,,6,,,,8,,1,,,,,,,,,,,,6,,,,,,,,,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,363,U1483,A,7,H,CC,
363-U1483A-8H-CC,0,21,75.3,75.51,E [P46],R,1,,,,,,1,,,,,2,,,,,4,1,,,,,1,,,,,1,,3,,,1,,,,,,,,,,4,,,4,,,5,,3,,,,3,,3,,,,,,,1,,,,,8,,,2,,,,,,2,,,,,,,,,,,,2,,,,,10,,,,,,,,,,,3,,,,,,,,363,U1483,A,8,H,CC,
363-U1483A-9H-CC,0,33,84.76,85.09,E [P46],R,1,,,,,,1,,,,,2,,,,1,2,,,,,,,,,,,10,,,,5,,,,,,,,,,,8,,,7,,,2,,4,,,,9,,2,,,,,,,,,,,,13,,,5,,,,,,5,,,,,,,,,,,,2,,3,,,3,,,,,,,,,,,1,,,,,,,,363,U1483,A,9,H,CC,
363-U1483A-10H-CC,0,34,94.31,94.65,E [P46],R,1,,,,,,,,,,,,,,,6,8,5,,,,,8,,,,,19,,5,,3,2,,,,,,,3,,,12,,,16,,,5,,5,9,,,7,,4,,,,,,,,,,,,9,,,2,,,,,,15,,,,,7,,,,,,,,,,,,5,,,,,,,,,,,7,,,,,,,,363,U1483,A,10,H,CC,
363-U1483A-11H-CC,0,23,103.86,104.09,E [P46],R,1,,,,,3,,,,,,,,,,1,,8,,,,,5,,,,,13,,4,,4,,,,,,,,,,,6,,,14,,,5,,4,3,,,4,,,,,,,,,,,,,,3,,,7,,,,,,9,,,,,3,,,,,,,5,,,,,,,,,,,,,,,,4,,,,,,,,363,U1483,A,11,H,CC,
