Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Morozovella sp.	Globigerinatheka sp.	Turborotalia increbescens	Turborotalia cerroazulensis cocoaensis	Turborotalia cerroazulensis cerroazulensis	Turborotalia centralis	Truncorotaloides topilensis	Tenuitella postcretacea	Tenuitella munda	Subbotina yeguaensis	Subbotina utilisindex	Subbotina linaperta	Subbotina gortanii	Subbotina eocaena	Subbotina corpulenta	Subbotina brevis	Subbotina angiporoides	Pseudohastigerina wilcoxensis	Pseudohastigerina micra	Pseudohastigerina danvillensis	Pseudohastigerina barbadoensis	Planorotalites sp. 2 (high-trochoid)	Planorotalites sp. 1 (low-trochoid)	Planorotalites renzi	Paragloborotalia opima nana	Morozovella spinulosa	Hantkenina alabamensis	Globorotaloides suteri	Globorotaloides permicus	Globigerinella obesa	Globigerinatheka subconglobata luterbacheri	Globigerinatheka sp cf. G. semiinvoluta	Globigerinatheka mexicana mexicana	Globigerinatheka mexicana barri	Globigerinatheka index tropicalis (high-spired)	Globigerinatheka index tropicalis	Globigerinatheka index index	Globigerina spp.	Globigerina sp. 1	Globigerina senilis	Globigerina pseudovenezuelana	Globigerina praebulloides	Globigerina ouachitaensis ?	Globigerina officinalis	Globigerina euapertura	Globigerina angustiumbilicata	Globigerina ampliapertura	Dentoglobigerina tripartita	Dentoglobigerina tapuriensis	Dentoglobigerina sp. cf. selli	Dentoglobigerina sellii	Dentoglobigerina galavisi	Chiloguembelina martini	Chiloguembelina cubensis	Catapsydrax unicavus	Catapsydrax sp. cf. C. martini	Catapsydrax sp. cf. C. howei	Catapsydrax pera	Catapsydrax martini	Catapsydrax howei	Catapsydrax globiformis	Catapsydrax dissimilis	Catapsydrax africanus	Cassigerinella chipolensis	Acarinina spinuloinflata	Acarinina densa	Globigerinoides ruber	Globoquadrina dehiscens	Globigerinoides extremus	Sphaeroidinellopsis spp.	Orbulina universa	Globorotalia sp.	Pulleniatina sp.	Globorotalia tumida ?plesiotumida	Comment



  SR	                 	                 	                  	              	135	 841	B	 20	R	 2	 111.00	    345.0900	Chaproniere	Planktonic Foraminifers                      	               	                  	               	                    	                         	                                      	                                          	                      	                           	                       	                	                    	                     	                   	                  	                 	                    	                	                      	                             	                       	                              	                              	                                    	                                   	                    	                           	                     	                      	                      	                        	                    	                                           	                                       	                                  	                               	                                               	                                 	                            	                	                 	                   	                             	                         	                           	                       	                      	                             	                         	                           	                            	                              	                       	                         	                       	                        	                    	                              	                            	                	                   	                 	                       	                      	                     	                          	                        	               	                     	                       	                        	                        	?                	                	                	                                 	indeterminate planktonic foraminifers = + from ODP Leg 135 Ch 15 Table 1 p 234-235

  SR	                 	                 	                  	              	135	 841	B	 20	R	 3	  66.00	    346.1400	Chaproniere	Planktonic Foraminifers                      	               	                  	               	                    	                         	                                      	                                          	                      	                           	                       	                	                    	                     	                   	                  	                 	                    	                	                      	                             	                       	                              	                              	                                    	                                   	                    	                           	                     	                      	                      	                        	                    	                                           	                                       	                                  	                               	                                               	                                 	                            	                	                 	                   	                             	                         	                           	                       	                      	                             	                         	                           	                            	                              	                       	                         	                       	                        	                    	                              	                            	                	                   	                 	                       	                      	                     	                          	                        	               	                     	                       	                        	                        	+                	                	+               	+                                	indeterminate planktonic foraminifers = + from ODP Leg 135 Ch 15 Table 1 p 234-235

  SR	                 	                 	                  	              	135	 841	B	 21	R	 2	 131.00	    354.9100	Chaproniere	Planktonic Foraminifers                      	               	                  	               	                    	                         	                                      	                                          	                      	                           	                       	                	                    	                     	                   	                  	                 	                    	                	                      	                             	                       	                              	                              	                                    	                                   	                    	                           	                     	                      	                      	                        	                    	                                           	                                       	                                  	                               	                                               	                                 	                            	                	                 	                   	                             	                         	                           	                       	                      	                             	                         	                           	                            	                              	                       	                         	                       	                        	                    	                              	                            	                	                   	                 	                       	                      	                     	                          	                        	               	                     	                       	                        	                        	?                	+               	                	                                 	indeterminate planktonic foraminifers = + from ODP Leg 135 Ch 15 Table 1 p 234-235

  SR	                 	                 	                  	              	135	 841	B	 21	R	 3	  88.00	    355.9500	Chaproniere	Planktonic Foraminifers                      	               	                  	               	                    	                         	                                      	                                          	                      	                           	                       	                	                    	                     	                   	                  	                 	                    	                	                      	                             	                       	                              	                              	                                    	                                   	                    	                           	                     	                      	                      	                        	                    	                                           	                                       	                                  	                               	                                               	                                 	                            	                	                 	                   	                             	                         	                           	                       	                      	                             	                         	                           	                            	                              	                       	                         	                       	                        	                    	                              	                            	                	                   	                 	                       	                      	                     	                          	                        	               	                     	                       	                        	+                       	                 	                	                	                                 	indeterminate planktonic foraminifers = + from ODP Leg 135 Ch 15 Table 1 p 234-235
