Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassiosira spp.,Thalassiosira oestrupii s. ampl.,Thalassiosira nidulus s. ampl.,Thalassiosira leptopus s. ampl.,Thalassiosira latimarginata,Thalassiosira jacksonii,Thalassiosira eccentrica,Thalassionema nitzschioides,Stephanopyxis spp.,Stellarima spp.,Simonseniella barboi,Rhizosolenia spp.,Paralia sulcata,Nitzschia spp.,Nitzschia reinholdii s. ampl.,Neodenticula koizumii,Neodenticula kamtschatica,Coscinodiscus marginatus,Chaetoceros spores,Actinocyclus curvatulus,Nitzschia cylindrica,Pyxidicula zabelinae,Hemidiscus cuneiformis,Nitzschia jouseae,Astl. and Astp. spp,Actinoptychus spp.,Thalassiosira convexa,Nitzschia fossilis,Benthic diatoms,Actinocyclus octonarius,Actinocyclus ellipticus,Azpeitia nodulifera,Azpeitia tabularis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 1,  25.00,    181.9500,Gladenkov,Diatoms                                      ,               ,                  ,6.2%                     ,.9%               ,1.5%                            ,                              ,5.0%                           ,1.2%                       ,                       ,                        ,2.2%                       ,.3%               ,               ,1.5%                ,.6%              ,               ,.2%           ,                             ,1.9%                 ,44.6%                    ,16.1%                   ,1.2%              ,2.2%                   ,                    ,                    ,12.7%                 ,                 ,                   ,.3%               ,.3%                  ,                  ,               ,.3%                    ,                       ,                   ,                  ,Other = 0.6%; Total count =  323;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 1,  51.00,    182.2100,Gladenkov,Diatoms                                      ,               ,                  ,6.9%                     ,1.3%              ,1.3%                            ,                              ,4.6%                           ,                           ,1.3%                   ,                        ,4.6%                       ,.3%               ,               ,                    ,                 ,               ,              ,.3%                          ,1.3%                 ,23.1%                    ,37.6%                   ,.7%               ,.7%                    ,                    ,.3%                 ,14.9%                 ,                 ,.7%                ,                  ,                     ,                  ,               ,                       ,                       ,                   ,                  ,Total count =  303;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 1,  81.00,    182.5100,Gladenkov,Diatoms                                      ,               ,                  ,6.6%                     ,1.0%              ,1.0%                            ,                              ,4.0%                           ,                           ,.7%                    ,.3%                     ,1.7%                       ,                  ,               ,.7%                 ,1.0%             ,               ,              ,                             ,.3%                  ,26.7%                    ,34.7%                   ,.3%               ,.7%                    ,                    ,                    ,20.5%                 ,                 ,                   ,                  ,                     ,                  ,               ,                       ,                       ,                   ,                  ,Total count =  303;from Leg 145 SR; Ch 3; Table 2; p. 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 881,C, 21,H, 1, 116.00,    182.8600,Gladenkov,Diatoms                                      ,               ,                  ,11.3%                    ,1.3%              ,.3%                             ,                              ,1.7%                           ,                           ,                       ,                        ,2.6%                       ,.3%               ,               ,                    ,.3%              ,               ,              ,.3%                          ,.7%                  ,27.5%                    ,29.5%                   ,1.0%              ,1.7%                   ,                    ,                    ,19.5%                 ,                 ,.3%                ,                  ,                     ,.3%               ,               ,                       ,                       ,.3%                ,.3%               ,Other =  0.7%; Total count =  302;from Leg 145 SR; Ch 3; Table 2; p. 46
