Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Verucate monocolpates cf.  A,Verrucate triletes cf. A,Verrucate monocolpates cf. A,Torate triletes cf. A,Thinpore triporates cf. A &  B  ,Thickpore triporates cf. A & B,Tetrads cf. A & B ,Subequatorial triporates cf. A & B  ,Straight bisaccates cf. A,Split inaperturates cf. A & B & C,Smooth triletes cf. A & B ,Smooth monocolpates cf. A & B,Smallpore triporates cf A,Small tricolpates cf. A & B & C,Small bisaccates cf. A,Round bisaccates cf A & B ,Ribbed elipticals cf. A,Reticulate multiporates cf. A,Reticulate monocolpate cf . A,Pointed monocolpates cf. A,Palaeogene bisaccates cf A & B & C,Large tricolporates cf. A &  B,Large tricolpates cf. A &  B &  C,Large bisaccates cf. A &  B,Granular inaperturates cf. A,Frilled monosaccates cf. A & B,Clavate tricolporates cf. A & B,Bigfrilled monosaccates cf A,Baculate triletes cf. A,Azolla cf. A,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 10,H, 1,  35.00,     81.6500,Manum    ,Pollen/Spores                                ,               ,                  ,-                           ,-                       ,-                           ,-                    ,-                               ,-                             ,-                 ,-                                   ,R                        ,R                                ,R                         ,-                            ,-                        ,-                              ,-                     ,C                         ,-                      ,-                            ,-                            ,R                         ,-                                 ,R                             ,-                                ,R                          ,-                           ,R                             ,-                              ,-                           ,-                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 11,H, 1,  30.00,     91.1000,Manum    ,Pollen/Spores                                ,               ,                  ,-                           ,-                       ,-                           ,-                    ,-                               ,?                             ,-                 ,-                                   ,R                        ,R                                ,R                         ,-                            ,-                        ,R                              ,R                     ,C                         ,-                      ,-                            ,-                            ,A                         ,-                                 ,R                             ,R                                ,-                          ,-                           ,C                             ,-                              ,-                           ,R                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 12,H, 4,  31.00,    105.1100,Manum    ,Pollen/Spores                                ,               ,                  ,-                           ,-                       ,-                           ,-                    ,-                               ,-                             ,R                 ,-                                   ,C                        ,-                                ,R                         ,R                            ,-                        ,R                              ,R                     ,A                         ,-                      ,R                            ,-                            ,R                         ,-                                 ,-                             ,-                                ,R                          ,?                           ,C                             ,-                              ,-                           ,-                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 643,A, 13,H, 1,  31.00,    110.1100,Manum    ,Pollen/Spores                                ,               ,                  ,-                           ,-                       ,-                           ,-                    ,R                               ,-                             ,-                 ,-                                   ,A                        ,-                                ,R                         ,-                            ,-                        ,R                              ,R                     ,A                         ,-                      ,-                            ,-                            ,R                         ,-                                 ,R                             ,R                                ,R                          ,-                           ,C                             ,-                              ,-                           ,R                      ,-           ,from ODP 104 SR  Chapter 32  Figure 8  p 637
