Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Amphistegina spp	Oridorsalis umbonatus	Melonis barleeanus	Hoeglundina elegans	Amphistegina madagascariensis	Trochammina globigeriniformis	Rhabdammina abyssorum	Marsipella cylindrica	Tosaia hanzawai	Stilostomella lepidula	Quinqueloculina seminulum	Quinqueloculina akneriana	Pyrgo murrhina	Pullenia salisburyi	Pullenia quinqueloba	Pullenia bulloides	Pseudoparrella  exigua	Pleurostomella brevis	Pleurostomella alternans	Parrelloides bradyi	Parafissurina lateralis	Orthomorphina sp.	Oridorsalis tener	Nuttallides umbonifera	Nodosaria longiscata	Laticarinina pauperata	Lagena sp.	Gyroidina altiformis	Globocassidulina subglobosa	Fissurina sp.	Fissurina orbignyana seguenza	Favocassidulina favus	Evolvocassidulina brevis	Cibicidoides sp.	Cibicidoides mundulus	Cibicides wuellerstorfi	Cibicides aknerianus	Bulimina fijiensis	Brizalina seminuda	Astrononion stelligerum	Anomalinoides globulosus	Anomalinoides glabrata	Sphaeroidina bulloides	Quinqueloculina lamarckiana	Gyroidinoides lamarckianus	Gyroidina orbicularis	Fissurina crebra	Ehrenbergina hystrix	Dentalina spp.	Cibicides robertsonianus	Ammobaculites sp.	Uvigerina proboscidea	Sigmavirgulina tortuosa	Melonis sphaeroides	Melonis parkerae	Gavelinopsis praegeri	Fissurina marginata	Cibicidoides mediocris	Bulimina rostrata	Stilostomella sp.	Stilostomella abyssorum	Osangularia culter	Heterolepa haidingerii	Globocassidulina subtumida	Globocassidulina moluccensis	Eponides tumidulus	Cibicides sp.	Rosalina sp.	Pseudononion sp.	Oridorsalis sp.	Melonis pacificus	Gyroidinoides nipponicus	Gyroidina soldanii	Globocassidulina paratortuosa	Globocassidulina oriangulata	Globocassidulina elegans	Glandulina laevigata	Cymbaloporetta bradyi	Cassidulina sp.	Abditodentrix asketocomptella	Uvigerina ampullacea	Trochammina conglobata	Quinqueloculina sp.	Oolina melo	Marginulinopsis bradyi	Lagena gracillima	Globocassidulina parviapertura	Globocassidulina crassa	Fissurina clathrata	Elphidium crispum	Brizalina plicatella	Triloculina tricarinata	Parafissurina pseudomarginata	Nodosaria flintii	Globocassidulina ornata	Globocassidulina oribunda	Globocassidulina brocha	Bolivina subspinescens	Uvigerina peregrina	Uvigerina hispidocostata	Sigmoilopsis schlumbergeri	Robulus gibbus	Planulina ariminensis	Oridorsalis sp. cf. O. umbonatus	Lagena sulcata laevicostata	Lagena laevis	Lagena gracilis	Fissurina sp.	Fissurina lacunata	Fissurina annectens	Fijiella simplex	Elphidium jenseni	Ehrenbergina trigona	Discorbinella convexa	Cibicides refulgens	Cassidulina norvangi	Bronnimannia hiliotis	Brizalina vescistriata	Brizalina macella	Brizalina decussata	Bolivina rhomboidalis	Amphicoryna hirsuta	Uvigerina porrecta	Rectobolivina limbata costulata	Parafissurina uncifera	Paracassidulina neocarinata	Oolina globosa	Nodosaria simplex	Lagena sulcata spicata	Lagena parri	Globocassidulina sp.	Fissurina palliolata	Fissurina auriculata duplicata	Valvulineria gunjii	Stilostomella consobrina	Robulus reniformis	Robulus limbosus	Paracassidulina sulcata	Lagena acuticosta	Heronallenia lingulata	Discorbinella bertheloti	Brizalina capitata	Amphistegina radiata	Alabamina tubulifera	Trifarina bradyi	Globocassidulina oblonga	Bulimina striata	Brizalina karreriana carinata	Amphicoryna separans	Robulus sp.	Quinqueloculina vulgaris	Patellinella carinata	Paracassidulina miuraensis	Miliolinella circularis	Cassidulina carinata	Bolivinita quadrilatera	Oolina hexagona	Lagena substriata	Globocassidulina parva	Fissurina fimbriata	Eggerella bradyi	Siphotexturalia concava	Marginulina glabra	Fissurina alveolata	Uvigerina aculeata	Trifarina angulosa	Rectobolivina raphana	Paracassidulina quasicarinata	Neoconorbina floridensis	Globocassidulina gemma	Ehrenbergina albatrossi	Discorbis mira	Cribrorbulina serpens	Bolivina sp.	Rectobolivina dimorpha pacifica	Uvigerina hispida	Rotalia murrayi	Pleurostomella rapa	Brizalina subreticulata	Ammonia beccarii koeboeensis	Tubulogenerina zanzibarica	Rutherfordoides tenuis	Rutherfordoides cornuta	Fissurina sp. aff. F. trigonomarginata	Elphidium advena	Bolivina schwagerina	Laterostomella voluta	Bolivina subangularis	Globobulimina pacifica	Chilostomella ovoidea	Brizalina karreriana	Rosalina floridana	Rectobolivina columellaris	Lernella seranensis	Hyalina balthica	Cyclogyra involvens	Brizalina alata	Pileolina patelliformis	Fissurina orbignyana seguenza var.	Fissurina kerguelenensis	Ammonia beccarii	Comment



  SR	                 	                 	                  	              	134	 832	B	  3	R	 1	  72.00	    164.5200	Akimoto  	Benthic Foraminifers                         	               	                  	                	19                   	2                 	1                  	                             	                             	                     	                     	14             	                      	                         	                         	6             	3                  	5                   	2                 	                      	                     	                        	2                  	1                      	                 	3                	7                     	                    	                      	          	                    	7                          	             	1                            	                     	                        	                	1                    	8                      	                    	                  	                  	6                      	1                       	1                     	                      	1                          	12                        	1                    	                	                    	1             	4                       	                 	                     	                       	2                  	                	                     	                   	                      	                 	                 	                       	                  	                      	                          	6                           	7                 	             	            	                	               	                 	1                       	2                 	1                            	                            	                        	                    	                     	               	                             	                    	                      	                   	           	                      	                 	                              	2                      	1                  	                 	                    	                       	2                            	                 	                       	                         	                       	                      	                   	                        	                          	              	                     	                                	1                          	3            	               	1            	                  	                   	                	                 	1                   	                     	                   	                    	                     	                      	                 	                   	2                    	                   	                  	                               	                      	                           	              	                 	                      	1           	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	4                       	                  	                    	                    	1               	                        	                	                             	                    	           	                        	                     	                          	                       	                    	1                      	               	                 	                      	                   	                	                       	                  	                   	                  	1                 	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	1                      	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	1                                 	1                       	1               	Misc. agglut. forams =  0; Total agglut. forams =  0; Total calc. forams =  153; Total benthic forams =  153; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 15	R	 1	  28.00	    279.6800	Akimoto  	Benthic Foraminifers                         	               	                  	                	                     	                  	1                  	                             	                             	                     	                     	               	                      	                         	                         	              	                   	                    	                  	                      	                     	                        	                   	                       	                 	                 	                      	                    	                      	          	                    	                           	             	                             	                     	                        	                	                     	                       	                    	                  	                  	                       	                        	                      	                      	                           	                          	                     	                	                    	              	                        	                 	                     	                       	                   	                	                     	                   	                      	                 	                 	                       	                  	                      	                          	1                           	                  	             	            	                	               	                 	                        	                  	                             	                            	                        	                    	                     	               	                             	                    	                      	                   	           	                      	                 	                              	                       	                   	                 	                    	                       	                             	                 	                       	                         	                       	                      	                   	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	                	                 	                    	                     	                   	                    	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	                       	                                  	                        	                	Misc. agglut. forams =  0; Total agglut. forams =  0; Total calc. forams =  2; Total benthic forams =  2; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 16	R	 1	 120.00	    290.2000	Akimoto  	Benthic Foraminifers                         	               	                  	                	                     	                  	                   	1                            	                             	                     	                     	               	                      	                         	                         	              	                   	                    	                  	                      	                     	                        	                   	                       	                 	                 	                      	                    	                      	          	                    	                           	             	                             	                     	                        	                	                     	                       	                    	                  	                  	                       	                        	                      	                      	                           	                          	                     	                	                    	              	                        	                 	                     	                       	                   	                	1                    	                   	                      	                 	                 	                       	                  	                      	                          	                            	                  	             	            	                	               	                 	                        	                  	                             	                            	                        	                    	                     	               	                             	                    	                      	                   	           	                      	                 	                              	                       	                   	                 	                    	                       	                             	                 	                       	                         	                       	                      	                   	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	                	                 	                    	                     	                   	                    	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	                  	                     	                             	                        	                      	                       	              	                     	            	                               	                 	               	                   	                       	                            	                          	                      	                       	                                      	                	                    	                     	                     	                      	                     	                    	                  	                          	                   	                	                   	               	1                      	                                  	                        	                	Misc. agglut. forams =  0; Total agglut. forams =  0; Total calc. forams =  3; Total benthic forams =  3; from ODP Leg 134 SR Chapter 12 Table 5 backpocket

  SR	                 	                 	                  	              	134	 832	B	 17	R	 1	  52.00	    299.2200	Akimoto  	Benthic Foraminifers                         	               	                  	                	                     	1                 	                   	                             	                             	62                   	                     	               	                      	                         	                         	              	                   	                    	                  	                      	                     	                        	                   	                       	                 	                 	                      	                    	1                     	          	                    	                           	             	                             	                     	1                       	                	                     	                       	1                   	                  	                  	                       	                        	                      	                      	                           	                          	                     	                	                    	1             	1                       	                 	                     	                       	                   	                	                     	1                  	                      	                 	1                	                       	                  	                      	                          	                            	                  	1            	            	                	               	                 	                        	                  	                             	                            	                        	                    	                     	               	                             	                    	                      	                   	           	                      	                 	                              	                       	                   	                 	                    	                       	                             	                 	                       	                         	                       	1                     	                   	                        	                          	              	                     	                                	                           	             	               	             	                  	                   	                	                 	                    	                     	                   	1                   	                     	                      	                 	                   	                     	                   	                  	                               	                      	                           	              	                 	                      	            	                    	                    	                              	                   	                        	                  	                	                       	                 	                      	                        	                  	                    	                    	                	                        	                	                             	                    	           	                        	                     	                          	                       	                    	                       	               	                 	                      	                   	                	                       	                  	                   	                  	2                 	                     	                             	                        	                      	                       	              	                     	            	2                              	                 	               	                   	                       	                            	                          	                      	2                      	                                      	                	                    	                     	                     	                      	                     	                    	1                 	1                         	2                  	1               	1                  	2              	                       	                                  	                        	                	Misc. agglut. forams =  0; Total agglut. forams =  62; Total calc. forams =  25; Total benthic forams =  87; from ODP Leg 134 SR Chapter 12 Table 5 backpocket
