Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Turborotalita quinqueloba	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	P-D intergrade	Orbulina universa	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina dutertrei	Globorotalia tumida	Globorotalia truncatulinoides (sin.)	Globorotalia truncatulinoides (dex.)	Globorotalia theyeri	Globorotalia scitula	Globorotalia menardii	Globorotalia inflata	Globorotalia hirsuta	Globorotalia flexuosa	Globorotalia crassaformis	Globorotalia anfracta	Globoquadrina hexagona	Globoquadrina conglomerata	Globigerinoides tenellus	Globigerinoides sacculifera (with sack)	Globigerinoides sacculifer (without sack)	Globigerinoides ruber (white)	Globigerinoides ruber (pink)	Globigerinoides conglobatus	Globigerinita glutinata	Globigerinella aequilateralis	Globigerina rubescens	Globigerina falconensis	Globigerina digitata	Globigerina calida	Globigerina bulloides	Comment



  SR	                 	                 	                  	              	138	 847	C	  1	H	 1	 120.00	      3.2000	Farrell  	Planktonic Foraminifers                      	               	                  	.0%                      	.0%                      	.7%                         	10.9%         	.7%              	.2%                                    	3.0%                                 	41.9%                     	2.1%               	.0%                                 	.0%                                 	.5%                 	.5%                 	9.5%                 	.0%                 	.0%                 	.0%                  	.0%                      	.0%                  	1.2%                  	.0%                       	.2%                     	2.1%                                   	1.6%                                     	9.1%                         	.0%                         	.5%                        	2.8%                   	1.2%                         	.9%                  	.2%                    	.5%                 	.9%               	7.9%                 	from ODP Leg 138 SR Chapter 34 Appendix pp 712-714

  SR	                 	                 	                  	              	138	 847	C	  1	H	 1	 135.00	      3.3500	Farrell  	Planktonic Foraminifers                      	               	                  	.0%                      	.0%                      	.6%                         	16.0%         	.2%              	.4%                                    	6.5%                                 	46.8%                     	.8%                	.0%                                 	.0%                                 	.4%                 	.0%                 	4.2%                 	.0%                 	.0%                 	.0%                  	.0%                      	.0%                  	1.2%                  	.4%                       	.0%                     	1.6%                                   	1.8%                                     	6.3%                         	.0%                         	.2%                        	1.4%                   	1.2%                         	.6%                  	.0%                    	.4%                 	.2%               	8.3%                 	from ODP Leg 138 SR Chapter 34 Appendix pp 712-714

  SR	                 	                 	                  	              	138	 847	C	  1	H	 2	   0.00	      3.5000	Farrell  	Planktonic Foraminifers                      	               	                  	.0%                      	.0%                      	.8%                         	3.0%          	1.0%             	.0%                                    	3.2%                                 	69.4%                     	.0%                	.0%                                 	.0%                                 	.0%                 	.2%                 	7.6%                 	.0%                 	.0%                 	.0%                  	.0%                      	.0%                  	.8%                   	.6%                       	.0%                     	.8%                                    	1.1%                                     	2.9%                         	.0%                         	.0%                        	1.7%                   	.6%                          	.0%                  	.2%                    	.4%                 	.8%               	5.1%                 	from ODP Leg 138 SR Chapter 34 Appendix pp 712-714

  SR	                 	                 	                  	              	138	 847	C	  1	H	 2	  15.00	      3.6500	Farrell  	Planktonic Foraminifers                      	               	                  	.0%                      	.0%                      	.9%                         	3.6%          	.6%              	.3%                                    	3.9%                                 	57.0%                     	.3%                	.0%                                 	.0%                                 	.0%                 	.3%                 	5.0%                 	.0%                 	.0%                 	.0%                  	.0%                      	.0%                  	2.1%                  	.3%                       	.3%                     	.9%                                    	2.4%                                     	6.8%                         	.0%                         	.0%                        	4.8%                   	.3%                          	.3%                  	.6%                    	.0%                 	.9%               	7.7%                 	from ODP Leg 138 SR Chapter 34 Appendix pp 712-714
