Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys peregrina,Stichocorys delmontensis,Lychnocanoma nipponica nipponica,Eucyrtidium biconicum,Cyrtocapsella japonica,Dictyophimus splendens,Spongoplegma churchii,Ommatartus sp C,Eucyrtidium cienkowskii,Ommatartus sp D,Lychnocanoma grande,Cannartus sp. C,Ommatartus didymus,Diartus hughesi,Stylacontarium acquilonium,Didymocyrtis penultima,Didymocyrtis antepenultima,Stylatractus universus,Spongoplegma antarcticum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B,  2,H,CC,  14.00,     12.7300,rads     ,Radiolarians                                 ,C              ,M                 ,                     ,                        ,                                ,R                    ,                      ,                      ,                     ,               ,                       ,               ,                   ,               ,                  ,               ,F                         ,                      ,                          ,C                     ,F                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B,  3,H,CC,  12.00,     22.1000,rads     ,Radiolarians                                 ,T              ,M                 ,                     ,                        ,                                ,F                    ,                      ,                      ,                     ,               ,                       ,               ,                   ,               ,                  ,               ,F                         ,                      ,                          ,R                     ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 11,H,CC,   0.00,     98.0600,rads     ,Radiolarians                                 ,R              ,G                 ,                     ,                        ,                                ,                     ,                      ,                      ,                     ,               ,                       ,               ,                   ,               ,                  ,               ,R                         ,                      ,                          ,                      ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 12,H,CC,  33.00,    107.9500,rads     ,Radiolarians                                 ,F              ,G                 ,R                    ,T                       ,                                ,                     ,                      ,                      ,                     ,               ,                       ,               ,                   ,               ,                  ,               ,R                         ,                      ,                          ,                      ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 13,H,CC,  69.00,    116.5200,rads     ,Radiolarians                                 ,C              ,G                 ,F                    ,R                       ,                                ,R                    ,                      ,R                     ,                     ,               ,T                      ,               ,R                  ,               ,                  ,               ,R                         ,F                     ,F                         ,                      ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1172,B, 14,H,CC,   9.00,    126.4600,rads     ,Radiolarians                                 ,C              ,G                 ,A                    ,R                       ,                                ,R                    ,                      ,                      ,R                    ,               ,F                      ,               ,R                  ,               ,R                 ,R              ,                          ,                      ,                          ,                      ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
