Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thecosphaera sp.,Tetrapyle octacantha,Stylodictya sp.,Stylacontarium bispiculum,Stichocorys peregrina,Spongodiscus sp.,Sphaeropyle langii,Phormocyrtis striata striata,Peripyramis sp.,Lychnocanoma sp.,Lophoconus biaurita (Form C),Larcopyle sp.,Lamprocyclas maritalis maritalis,Lamprocyclas hannai,Hexacontium sp.,Heliodiscus asteriscus,Eucyrtidium calvertense,Euchitonia sp.,Didymocyrtis sp.,Dictyoprora mongolfieri,Cyrtocapsella tetrapera,Anthocyrtidium ehrenbergi,Theocorythium vetulum,Stylatractus neptunus,Stichocorys sp.,Stichocorys delmontensis,Spongodiscus osculosus,Eucyrtidium sp.,Druppatractus irregularis,Cornutella profunda,Collosphaera sp.,Carpocanistrum sp.,Botryostrobus auritus/australis,Axoprunum angelinum,Amphipyndax stocki,Actinomma sp.,Gondwanaria dogieli,Amphirhopalum ypsilon,Prunopyle antarctica,Lithelius sp.,Dictyophimus hirundo,Stylosphaera timmsi,Saturnalis circularis,Pterocanium trilobum,Lamprocyrtis heteroporos,Cycladophora davisiana davisiana,Cycladophora davisiana cornutoides,Cycladophora bicornis bicornis,Ceratocyrtis sp.,Botryostrobus aquilonaris,Pterocanium prismatium,Phorticium clevei,Eucyrtidium teuscheri teuscheri,Eucyrtidium acuminatum,Stylatractus universus,Spongotrochus glacialis,Pterocanium sp.,Anthocyrtidium angulare,Theocorythium trachelium trachelium,Prunopyle hayesi,Gondwanaria sp.,Spongoplegma antarcticum,Pterocanium praetextum praetextum,Eucyrtidium matuyamai,Cycladophora pliocenica,Pylospira sp.,Didymocyrtis tetrathalamus tetrathalamus,Actinomma leptodermum,Pterocorys zancleus,Lithopera bacca,Lithelius nautiloides,Orodapis sp.,Lamprocyrtis nigriniae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A,  1,H,CC,   0.00,      5.9500,rads     ,Radiolarians                                 ,A              ,VG                ,                ,                    ,F              ,F                        ,                     ,A               ,                  ,                            ,F              ,                ,                            ,R            ,R                               ,C                  ,C              ,F                     ,                       ,R             ,                ,                       ,                       ,                         ,                     ,C                    ,               ,                        ,F                     ,               ,                         ,                   ,                ,                  ,                               ,                   ,                  ,A            ,R                  ,                     ,T                   ,             ,C                   ,                   ,                     ,                    ,                        ,F                               ,                                  ,                              ,                ,                         ,                      ,R                ,                               ,F                     ,                      ,C                      ,               ,                       ,F                                  ,                ,               ,                        ,F                                ,                     ,                       ,             ,                                        ,                     ,                   ,               ,                     ,F           ,R                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A,  2,H,CC,  16.00,     15.6100,rads     ,Radiolarians                                 ,A              ,VG                ,                ,                    ,F              ,C                        ,                     ,C               ,                  ,                            ,R              ,                ,                            ,R            ,F                               ,C                  ,C              ,R                     ,                       ,F             ,                ,                       ,                       ,F                        ,                     ,R                    ,               ,                        ,                      ,               ,                         ,                   ,R               ,R                 ,F                              ,                   ,                  ,A            ,R                  ,R                    ,                    ,             ,C                   ,                   ,T                    ,F                   ,                        ,F                               ,                                  ,                              ,                ,                         ,                      ,R                ,                               ,A                     ,                      ,R                      ,F              ,                       ,C                                  ,                ,R              ,F                       ,C                                ,                     ,R                      ,R            ,R                                       ,                     ,C                  ,T              ,                     ,R           ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A,  3,H,CC,   0.00,     23.2100,rads     ,Radiolarians                                 ,A              ,G                 ,                ,                    ,C              ,F                        ,                     ,A               ,                  ,                            ,R              ,                ,                            ,R            ,C                               ,C                  ,C              ,F                     ,                       ,R             ,                ,                       ,                       ,                         ,                     ,R                    ,               ,                        ,R                     ,               ,                         ,                   ,                ,                  ,C                              ,                   ,                  ,             ,R                  ,T                    ,R                   ,             ,C                   ,                   ,R                    ,C                   ,                        ,F                               ,                                  ,                              ,                ,                         ,                      ,F                ,                               ,C                     ,R                     ,R                      ,F              ,                       ,R                                  ,                ,T              ,C                       ,F                                ,                     ,R                      ,             ,                                        ,C                    ,C                  ,               ,                     ,            ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A,  4,H,CC,   0.00,     34.7000,rads     ,Radiolarians                                 ,A              ,G                 ,                ,                    ,C              ,F                        ,                     ,A               ,                  ,                            ,C              ,                ,                            ,R            ,C                               ,C                  ,C              ,F                     ,                       ,C             ,                ,                       ,                       ,                         ,                     ,R                    ,               ,                        ,R                     ,               ,                         ,                   ,R               ,R                 ,                               ,R                  ,                  ,A            ,R                  ,R                    ,F                   ,             ,C                   ,                   ,                     ,C                   ,                        ,A                               ,                                  ,                              ,                ,                         ,                      ,F                ,                               ,C                     ,F                     ,F                      ,R              ,                       ,C                                  ,R               ,               ,A                       ,R                                ,                     ,R                      ,             ,R                                       ,C                    ,R                  ,R              ,T                    ,            ,                      ,       
