Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichomitra asymbatos,Dictyomitra sp,Amphipyndax stocki,Amphisphaera aotea,Thecosphaera sp.,Periphaena sp.,Lychnocanoma babylonis,Lychnocanoma amphitrite,Lophocyrtis sp.,Liriospyris sp.,Druppatractus sp.,Dorcadospyris sp.,Dictyoprora sp.,Carpocanistrum sp.,Stylacontarium bispiculum,Actinomma sp.,Stylodictya sp.,Spongodiscus sp.,Peripyramis sp.,Heliodiscus tunicatus,Eucyrtidium sp.,Periphaena heliasteriscus,Dorcadospyris ateuchus,Amphirhopalum ypsilon,Dorcadospyris mahurangi,Stylatractus neptunus,Lychnocanoma conica,Lychnocanium neptunei,Hexacontium sp.,Clathrocorys? sp.,Calocycletta sp.,Stichocorys negripontensis,Lychnocanoma elongata,Larcopyle sp.,Heliodiscus asteriscus,Botryostrobus hollisi,Valkyria pukapuka,Theocorys puriri,Phormocyrtis alexandrae,Lophophaena tekopua,Lophophaena sp.,Lophocyrtis inaequalis,Lophocyrtis galenum,Lithomelissa maureenae,Lamprocyclas matakohe,Gorgospyris sp.,Euchitonia sp.,Didymocyrtis prismatica,Cornutella profunda,Botryostrobus sp.,Artophormis gracilis,Anthocyrtidium marieae,Stylosphaera timmsi,Spongodiscus osculosus,Lychnocanoma sp.,Lophocyrtis cf. inaequalis,Cyrtocapsella tetrapera,Stichocorys peregrina,Didymocyrtis sp.,Ceratocyrtis sp.,Lamprocyclas maritalis maritalis,Eucyrtidium calvertense,Botryostrobus auritus/australis,Axoprunum angelinum,Theocorythium vetulum,Sphaeropyle langii,Dictyophimus hirundo,Tetrapyle octacantha,Stichocorys sp.,Lamprocyrtis neoheteroporos,Lamprocyrtis heteroporos,Lamprocyclas hannai,Eucyrtidium teuscheri teuscheri,Didymocyrtis tetrathalamus tetrathalamus,Dictyophimus sp.,Collosphaera sp.,Anthocyrtidium ehrenbergi,Spongotrochus glacialis,Saturnalis circularis,Pterocanium trilobum,Pterocanium praetextum praetextum,Gondwanaria dogieli,Cycladophora davisiana davisiana,Actinomma medianum,Prunopyle antarctica,Phorticium clevei,Druppatractus irregularis,Actinomma leptodermum,Theocorythium trachelium trachelium,Stylacontarium acquilonium,Stylatractus sp.,Spongaster tetras tetras,Pterocorys zancleus,Pterocorys minythorax,Lithopera bacca,Lamprocyrtis nigriniae,Eucyrtidium acuminatum,Dictyophimus crisiae,Cycladophora pliocenica,Anthocyrtidium sp.,Cycladophora bicornis bicornis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  1,X,CC,   0.00,      9.3500,rads     ,Radiolarians                                 ,R              ,G                 ,                     ,              ,                  ,                  ,R               ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,T                 ,T                        ,             ,R              ,R               ,               ,                     ,               ,                         ,                      ,                     ,                       ,T                    ,                   ,                     ,               ,                 ,                ,                          ,                     ,             ,                      ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,R             ,                       ,                   ,                 ,                    ,                      ,                   ,T                     ,                ,                          ,                       ,                     ,                ,                ,T                               ,                       ,                               ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,R                  ,                               ,                                        ,                ,T               ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,T                ,                         ,R                    ,T                                  ,                          ,T               ,                        ,                   ,                     ,               ,                      ,                      ,T                   ,                       ,                  ,R                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  2,X,CC,  14.00,     25.1800,rads     ,Radiolarians                                 ,R              ,G                 ,                     ,              ,                  ,                  ,R               ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,                  ,R                        ,             ,R              ,C               ,R              ,                     ,               ,                         ,                      ,T                    ,                       ,                     ,                   ,                     ,R              ,                 ,                ,                          ,                     ,R            ,R                     ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,R             ,                       ,                   ,                 ,                    ,                      ,                   ,T                     ,                ,                          ,                       ,                     ,                ,                ,R                               ,                       ,T                              ,                   ,                     ,                  ,                    ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,T               ,                         ,                       ,                     ,                    ,                                 ,                   ,                                ,                  ,                    ,                 ,                         ,R                    ,R                                  ,                          ,R               ,                        ,                   ,                     ,               ,                      ,T                     ,                    ,                       ,                  ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  3,H,CC,   9.00,     37.1000,rads     ,Radiolarians                                 ,A              ,VG                ,                     ,              ,                  ,                  ,T               ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,R                 ,R                        ,C            ,C              ,C               ,R              ,                     ,               ,                         ,                      ,F                    ,                       ,                     ,                   ,                     ,C              ,                 ,                ,                          ,                     ,C            ,R                     ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,F             ,                       ,                   ,                 ,                    ,                      ,                   ,R                     ,                ,                          ,                       ,                     ,                ,R               ,F                               ,                       ,R                              ,T                  ,R                    ,R                 ,R                   ,R                   ,               ,                           ,                        ,C                  ,R                              ,F                                       ,                ,R               ,R                        ,                       ,R                    ,F                   ,                                 ,R                  ,F                               ,R                 ,T                   ,R                ,                         ,R                    ,C                                  ,                          ,R               ,T                       ,T                  ,R                    ,R              ,R                     ,F                     ,R                   ,R                      ,R                 ,                              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  4,H,CC,   0.00,     46.2900,rads     ,Radiolarians                                 ,C              ,G                 ,                     ,              ,                  ,                  ,C               ,              ,                      ,                       ,               ,               ,                 ,                 ,               ,                  ,A                        ,A            ,R              ,R               ,R              ,                     ,               ,                         ,                      ,                     ,                       ,C                    ,                   ,                     ,               ,                 ,                ,                          ,                     ,R            ,R                     ,                     ,                 ,                ,                       ,                   ,               ,                      ,                   ,                      ,                     ,               ,R             ,                       ,                   ,                 ,                    ,                      ,                   ,                      ,                ,                          ,                       ,                     ,                ,                ,R                               ,R                      ,                               ,R                  ,                     ,                  ,T                   ,                    ,               ,                           ,                        ,                   ,                               ,                                        ,                ,                ,                         ,                       ,                     ,                    ,T                                ,                   ,T                               ,                  ,                    ,                 ,                         ,                     ,                                   ,R                         ,                ,                        ,                   ,                     ,               ,                      ,                      ,                    ,                       ,                  ,                              ,       
