Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tuberculodinium vancampoae	Tectatodinium pellitum	Systematophora placacantha	Spiniferites spp.	Spiniferites pseudofurcatus	Riculacysta perforata	Reticulatosphaera actinocoronata	Pentadinium laticinctum	Palaeocystodinium golzowense	Operculodinium cf. israelianum (small)	Lingulodinium machaerophorum	Homotryblium vallum	Distatodinium paradoxum	Distatodinium biffii	Cordosphaeridium funiculatum	Cordosphaeridium cantharellus	Chiropteridium galea	Batiacasphaera sp. cf. B. sphaerica (thick wall)	Trinovantedinium? xylochoporum	Membranophoridium aspinatum	Hystrichokolpoma truncatum	Hystrichokolpoma rigaudiae	Cribroperidinium tenuitabulatum	Caligodinium amiculum	Thalassiphora pelagica	Nematosphaeropsis lemniscata	Hystrichosphaeropsis obscura	Pentadinium sp.1	Lejeunecysta sp.11	Lejeunecysta convexa	Impagidinium minor	Cyclopsiella elliptica/granosa complex	Ascostomocystis? sp.1	Apteodinium spiridoides	Sumatradinium soucouyantae	Lejeunecysta sp.7	Heteraulacacysta campanula	Dinopterygium cladoides	Batiacasphaera sphaerica	Polysphaeridium zoharyi	Dapsilidinium pseudocolligerum	Stoveracysta conerae	Lingulodinium multivirgatum	Evittosphaerula paratabulata	Cousteaudinium aubryae	Cerebrocysta satchelliae	Brigantedinium spp.	Melitasphaeridium choanophorum	Exochosphaeridium insigne	Operculodinium centrocarpum	Apteodinium tectatum	Labyrinthodinium truncatum modicum	Trinovantedinium sp.	Sumatradinium druggii	Operculodinium sp.	Operculodinium longispinigerum	Labyrinthodinium truncatum truncatum	Invertocysta lacrymosa	Unipontidinium aquaeductum	Impagidinium arachnion	Habibacysta tectata	Cyclopsiella sp. cf. C. vieta	Cerebrocysta poulsenii	Impagidinium? pallidum	Cordosphaeridium? minimum	Trinovantedinium harpagonium	Selenopemphix brevispinosa brevispinosa	Polykrikos kofoidii?	Lejeunecysta sp.8	Lejeunecysta sp.10	Lejeunecysta paratenella	Lejeunecysta mariae	Hystrichosphaeropsis sp. (serrate periblast)	Cristadinium sp.4	Batiacasphaera sp. cf. B. hirsuta	Cannosphaeropsis passio	Xandarodinium xanthum	Selenopemphix quanta	Leipokatium invisitatum	Brigantedinium? sp.5	Algidasphaeridium? sp.8	Algidasphaeridium? sp.11	Selenopemphix sp. cf. S. nephroides	Quadrina? condita	Lejeunecysta sp.9	Lejeunecysta sp.5	Selenopemphix dionaeacysta	Selenopemphix brevispinosa conspicua	Brigantedinium? sp.6	Lejeunecysta sp.3	Impagidinium patulum	Spiniferites membranosus	Cristadinium diminutivum	Algidasphaeridium? sp.9	Trinovantedinium ferugnomatum	Algidasphaeridium? sp.6	Achomosphaera ramulifera	Trinovantedinium? sp.2	Geonettia clineae	Spiniferites ramosus	Spiniferites mirabilis	Operculodinium israelianum s.l.	Operculodinium janduchenei	Trinovantedinium papulum	Impagidinium paradoxum	Cymatiosphaera invaginata	Barssidinium evangelineae	Trinovantedinium glorianum	Erymnodinium delectabile	Comment

  SR	Late Miocene     	                 	DN8               	              	150	 902	D	 22	X	CC	  28.00	    190.1000	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                     	                          	+                	                           	                     	+                               	                       	                            	                                      	                            	                   	                       	                    	                            	                             	                    	                                                	                              	                           	                          	                          	                               	                     	                      	                            	+                           	                	                  	+                   	                  	                                      	                     	                       	+                         	+                	                          	                       	                        	                       	+                             	                    	                           	                            	                      	                        	                   	                              	                         	+                          	                    	                                  	                    	                     	                  	                              	+                                   	                      	                          	                      	+                  	                             	                      	                      	                         	+                           	+                                      	+                   	+                	                  	                        	                   	                                            	                 	                                 	                       	                     	                    	                       	                    	                       	+                       	                                   	+                	                 	                 	+                         	                                    	+                   	                 	                    	                        	                        	                       	+                            	                       	                        	+                     	+                	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Late Miocene     	                 	DN8               	              	150	 902	D	 28	X	CC	  31.00	    248.2000	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                     	                          	+                	                           	                     	+                               	                       	+                           	                                      	+                           	                   	                       	                    	                            	                             	                    	                                                	                              	                           	                          	                          	                               	                     	                      	                            	+                           	                	                  	+                   	                  	                                      	                     	                       	                          	                 	+                         	                       	                        	                       	                              	                    	                           	                            	                      	                        	                   	                              	                         	+                          	                    	                                  	                    	+                    	                  	                              	+                                   	                      	                          	+                     	+                  	                             	                      	                      	                         	                            	                                       	                    	+                	                  	                        	                   	                                            	+                	                                 	                       	+                    	                    	                       	+                   	+                      	+                       	                                   	                 	                 	                 	+                         	+                                   	+                   	                 	                    	                        	                        	                       	+                            	+                      	+                       	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Late Miocene     	                 	DN8               	              	150	 902	D	 31	X	CC	  30.00	    277.1500	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                     	                          	+                	                           	                     	+                               	                       	                            	                                      	+                           	                   	                       	                    	                            	                             	                    	                                                	+                             	                           	                          	                          	                               	                     	                      	                            	+                           	                	                  	+                   	                  	                                      	                     	                       	+                         	                 	+                         	                       	                        	                       	                              	                    	                           	                            	                      	                        	+                  	                              	                         	                           	                    	                                  	                    	+                    	                  	                              	+                                   	                      	                          	                      	                   	                             	                      	                      	+                        	+                           	                                       	+                   	+                	                  	                        	                   	                                            	                 	                                 	                       	+                    	+                   	                       	                    	                       	                        	+                                  	                 	                 	                 	+                         	                                    	+                   	                 	                    	                        	+                       	+                      	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Middle Miocene   	                 	DN7               	              	150	 902	D	 32	X	CC	  33.00	    286.8600	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                      	                          	+                	                           	                     	+                               	                       	+                           	                                      	+                           	                   	                       	                    	                            	                             	                    	                                                	                              	                           	                          	                          	                               	                     	                      	+                           	+                           	                	                  	+                   	                  	                                      	                     	                       	                          	                 	                          	                       	                        	                       	+                             	                    	                           	                            	                      	                        	                   	                              	                         	+                          	                    	                                  	                    	+                    	                  	                              	+                                   	                      	                          	+                     	+                  	                             	                      	                      	                         	                            	+                                      	                    	                 	                  	                        	                   	                                            	                 	                                 	+                      	                     	+                   	+                      	+                   	                       	                        	                                   	                 	+                	                 	                          	                                    	+                   	                 	                    	+                       	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Middle Miocene   	                 	DN7               	              	150	 902	D	 33	X	CC	  35.00	    292.9500	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	                      	                          	+                	                           	                     	+                               	                       	+                           	                                      	+                           	                   	                       	                    	                            	                             	                    	                                                	+                             	                           	                          	                          	                               	                     	                      	+                           	+                           	                	                  	+                   	                  	                                      	                     	                       	+                         	                 	                          	                       	+                       	+                      	+                             	                    	                           	                            	                      	                        	                   	                              	                         	+                          	                    	                                  	                    	+                    	                  	                              	                                    	                      	                          	                      	                   	                             	                      	                      	                         	+                           	                                       	                    	+                	                  	                        	                   	                                            	                 	                                 	+                      	                     	+                   	                       	+                   	                       	                        	                                   	+                	                 	                 	                          	+                                   	                    	                 	+                   	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Middle Miocene   	                 	DN7               	              	150	 902	D	 35	X	CC	  44.00	    315.8300	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                      	                          	+                	                           	                     	+                               	                       	+                           	                                      	                            	                   	                       	                    	                            	                             	                    	                                                	+                             	                           	                          	+                         	                               	                     	                      	                            	                            	                	                  	                    	                  	                                      	                     	                       	                          	                 	                          	                       	+                       	+                      	+                             	                    	                           	                            	                      	                        	                   	                              	                         	                           	                    	                                  	                    	+                    	                  	                              	                                    	                      	                          	                      	+                  	                             	                      	                      	                         	+                           	                                       	+                   	                 	                  	                        	                   	                                            	                 	                                 	+                      	                     	+                   	                       	+                   	+                      	                        	+                                  	                 	                 	                 	                          	+                                   	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Middle Miocene   	                 	DN7               	              	150	 902	D	 38	X	CC	  35.00	    344.1100	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                     	                          	+                	                           	                     	+                               	                       	+                           	                                      	                            	                   	                       	                    	                            	                             	                    	                                                	+                             	                           	                          	                          	                               	                     	                      	+                           	+                           	                	                  	                    	                  	                                      	                     	                       	+                         	                 	                          	                       	                        	                       	+                             	                    	                           	                            	                      	                        	                   	                              	                         	+                          	                    	                                  	                    	                     	                  	                              	                                    	                      	                          	                      	+                  	                             	                      	                      	+                        	+                           	+                                      	                    	+                	                  	                        	                   	                                            	                 	                                 	+                      	+                    	                    	                       	+                   	                       	                        	+                                  	+                	                 	                 	+                         	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Middle Miocene   	                 	DN7               	              	150	 902	D	 43	X	CC	  31.00	    392.5900	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                     	                          	+                	                           	                     	+                               	                       	+                           	                                      	+                           	                   	                       	                    	                            	                             	                    	                                                	+                             	                           	                          	                          	                               	                     	                      	                            	+                           	                	                  	                    	                  	                                      	                     	                       	+                         	                 	                          	                       	                        	                       	                              	                    	                           	                            	                      	                        	                   	                              	                         	                           	                    	                                  	                    	+                    	                  	                              	                                    	                      	                          	                      	+                  	                             	                      	                      	                         	+                           	+                                      	+                   	                 	                  	                        	                   	                                            	+                	                                 	+                      	                     	                    	                       	+                   	                       	+                       	                                   	+                	                 	                 	                          	                                    	                    	+                	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Middle Miocene   	                 	DN7               	              	150	 902	D	 44	X	CC	  39.00	    401.7900	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                     	                          	+                	                           	                     	+                               	                       	                            	                                      	+                           	                   	                       	                    	                            	                             	                    	                                                	+                             	                           	                          	+                         	                               	                     	                      	                            	+                           	                	                  	+                   	                  	                                      	                     	                       	+                         	+                	                          	                       	                        	+                      	+                             	                    	                           	                            	                      	                        	                   	                              	                         	+                          	                    	                                  	                    	                     	+                 	                              	                                    	                      	                          	                      	                   	                             	                      	                      	                         	+                           	                                       	+                   	                 	                  	                        	                   	+                                           	+                	                                 	+                      	                     	                    	                       	+                   	                       	+                       	+                                  	                 	                 	                 	+                         	+                                   	+                   	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Middle Miocene   	                 	DN7               	              	150	 902	D	 45	X	CC	  33.00	    405.1100	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                     	                          	                 	+                          	                     	+                               	                       	                            	                                      	                            	                   	                       	                    	                            	                             	                    	                                                	+                             	                           	                          	                          	                               	                     	                      	                            	+                           	                	                  	                    	                  	                                      	+                    	                       	+                         	                 	                          	                       	                        	+                      	+                             	                    	                           	                            	                      	                        	+                  	                              	                         	+                          	                    	                                  	                    	+                    	                  	                              	                                    	                      	                          	                      	+                  	                             	                      	                      	+                        	+                           	                                       	+                   	                 	                  	                        	                   	+                                           	                 	                                 	+                      	                     	                    	                       	                    	+                      	+                       	+                                  	+                	+                	+                	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Middle Miocene   	                 	DN7               	              	150	 902	D	 49	X	CC	  45.00	    448.4100	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                      	                          	+                	+                          	                     	+                               	                       	+                           	                                      	                            	                   	                       	                    	                            	                             	                    	                                                	+                             	                           	                          	+                         	                               	                     	                      	+                           	                            	                	                  	+                   	                  	                                      	                     	                       	                          	+                	                          	                       	                        	                       	                              	                    	                           	                            	                      	                        	                   	                              	                         	+                          	                    	                                  	+                   	+                    	                  	                              	+                                   	                      	                          	                      	+                  	                             	                      	                      	                         	+                           	                                       	+                   	+                	+                 	                        	                   	                                            	                 	                                 	+                      	+                    	+                   	+                      	+                   	+                      	+                       	                                   	                 	                 	                 	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Middle Miocene   	                 	DN6               	              	150	 902	D	 50	X	 1	  93.00	    450.2300	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                      	                          	                 	                           	                     	+                               	                       	+                           	                                      	                            	                   	                       	                    	                            	                             	                    	                                                	                              	                           	                          	+                         	                               	                     	                      	                            	                            	                	                  	+                   	                  	                                      	                     	                       	                          	                 	                          	                       	                        	                       	                              	                    	                           	                            	                      	                        	                   	                              	                         	+                          	                    	                                  	+                   	+                    	                  	                              	                                    	                      	                          	+                     	+                  	                             	                      	                      	                         	                            	+                                      	+                   	                 	                  	                        	                   	                                            	                 	                                 	+                      	                     	                    	                       	                    	                       	                        	                                   	                 	                 	                 	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Middle Miocene   	                 	DN6               	              	150	 902	D	 51	X	 1	  14.00	    459.0400	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                     	                          	+                	                           	                     	                                	                       	+                           	                                      	+                           	                   	                       	                    	                            	                             	                    	                                                	+                             	                           	                          	                          	                               	                     	                      	+                           	+                           	                	                  	+                   	                  	                                      	                     	                       	+                         	                 	                          	                       	                        	+                      	+                             	                    	                           	                            	                      	                        	+                  	                              	                         	+                          	                    	                                  	+                   	+                    	+                 	                              	+                                   	                      	                          	+                     	+                  	                             	                      	                      	                         	+                           	+                                      	+                   	+                	+                 	+                       	+                  	+                                           	+                	+                                	                       	                     	                    	                       	                    	                       	                        	                                   	                 	                 	                 	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Middle Miocene   	                 	DN5               	              	150	 902	D	 51	X	 5	  95.00	    465.8500	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	                      	+                         	+                	                           	                     	                                	+                      	+                           	                                      	+                           	                   	                       	                    	                            	                             	                    	                                                	                              	                           	                          	+                         	                               	                     	                      	                            	+                           	                	                  	                    	                  	                                      	                     	                       	                          	                 	                          	                       	+                       	                       	+                             	                    	                           	                            	                      	                        	                   	                              	                         	                           	                    	                                  	                    	+                    	                  	                              	+                                   	                      	+                         	+                     	+                  	                             	                      	                      	+                        	                            	                                       	                    	                 	                  	                        	                   	                                            	                 	                                 	                       	                     	                    	                       	                    	                       	                        	                                   	                 	                 	                 	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Middle Miocene   	                 	DN5               	              	150	 902	D	 52	X	CC	  33.00	    478.1300	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	                      	+                         	+                	                           	                     	+                               	+                      	+                           	                                      	+                           	                   	                       	                    	                            	                             	                    	                                                	+                             	                           	                          	+                         	                               	                     	                      	                            	                            	                	                  	+                   	                  	                                      	                     	                       	                          	                 	                          	                       	+                       	                       	                              	                    	                           	                            	                      	                        	                   	                              	                         	+                          	                    	+                                 	                    	+                    	                  	                              	+                                   	                      	+                         	                      	+                  	                             	                      	+                     	                         	                            	                                       	                    	                 	                  	                        	                   	                                            	                 	                                 	                       	                     	                    	                       	                    	                       	                        	                                   	                 	                 	                 	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Middle Miocene   	                 	DN5               	              	150	 902	D	 53	X	CC	  37.00	    488.0400	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	                      	+                         	+                	+                          	                     	+                               	+                      	+                           	                                      	+                           	                   	                       	                    	                            	                             	                    	                                                	                              	                           	                          	+                         	                               	                     	                      	+                           	+                           	                	                  	+                   	                  	                                      	                     	                       	+                         	+                	                          	                       	+                       	                       	                              	                    	                           	                            	                      	                        	                   	+                             	                         	+                          	                    	                                  	                    	                     	+                 	                              	                                    	                      	+                         	+                     	+                  	+                            	+                     	                      	                         	                            	                                       	                    	                 	                  	                        	                   	                                            	                 	                                 	                       	                     	                    	                       	                    	                       	                        	                                   	                 	                 	                 	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Middle Miocene   	                 	DN5               	              	150	 902	D	 54	X	CC	  36.00	    497.7100	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                     	+                         	+                	+                          	                     	+                               	+                      	+                           	                                      	+                           	                   	                       	                    	                            	                             	                    	                                                	                              	                           	                          	+                         	                               	                     	                      	                            	                            	                	                  	                    	                  	                                      	                     	                       	+                         	+                	                          	                       	+                       	                       	                              	                    	                           	                            	+                     	                        	                   	                              	                         	+                          	+                   	+                                 	+                   	+                    	                  	                              	+                                   	                      	                          	                      	                   	                             	                      	                      	                         	                            	                                       	                    	                 	                  	                        	                   	                                            	                 	                                 	                       	                     	                    	                       	                    	                       	                        	                                   	                 	                 	                 	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Middle Miocene   	                 	DN4               	              	150	 902	D	 55	X	CC	  45.00	    507.5300	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                     	+                         	                 	+                          	                     	+                               	+                      	+                           	                                      	+                           	                   	+                      	                    	                            	                             	                    	                                                	                              	                           	                          	                          	                               	                     	                      	                            	+                           	                	                  	+                   	                  	+                                     	                     	                       	+                         	                 	                          	                       	+                       	                       	+                             	                    	                           	                            	                      	                        	+                  	+                             	                         	+                          	                    	+                                 	+                   	+                    	+                 	+                             	+                                   	+                     	                          	                      	                   	                             	                      	                      	                         	                            	                                       	                    	                 	                  	                        	                   	                                            	                 	                                 	                       	                     	                    	                       	                    	                       	                        	                                   	                 	                 	                 	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

  SR	Middle Miocene   	                 	DN4               	              	150	 902	D	 56	X	CC	  43.00	    515.9400	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                      	+                         	+                	+                          	                     	+                               	+                      	+                           	                                      	+                           	                   	+                      	                    	                            	                             	                    	                                                	                              	                           	                          	                          	                               	                     	                      	                            	                            	                	                  	+                   	                  	                                      	                     	                       	                          	                 	                          	                       	+                       	                       	+                             	                    	                           	                            	                      	                        	+                  	+                             	                         	+                          	                    	+                                 	                    	                     	                  	                              	                                    	                      	                          	                      	                   	                             	                      	                      	                         	                            	                                       	                    	                 	                  	                        	                   	                                            	                 	                                 	                       	                     	                    	                       	                    	                       	                        	                                   	                 	                 	                 	                          	                                    	                    	                 	                    	                        	                        	                       	                             	                       	                        	                      	                 	                    	                      	                               	                          	                        	                      	                         	                         	                          	                        	from 150SR. Ch 27. Table 1. p 440-441.

